"","year","month","pref_id","age","sex","deaths.adj","population","rate.adj","state_id","variable","pref","month.short"
"1",1981,1,1,55,1,214,207220.416666667,0.00103271677300137,1457,0,"Aichi","Jan"
"2",1981,2,1,55,1,208.142857142857,208176.333333333,0.000999839193101635,1457,0,"Aichi","Feb"
"3",1981,3,1,55,1,207,209132.25,0.000989804298476204,1457,0,"Aichi","Mar"
"4",1981,4,1,55,1,176.7,210088.166666667,0.00084107545324225,1457,0,"Aichi","Apr"
"5",1981,5,1,55,1,185,211044.083333333,0.000876594108103007,1457,0,"Aichi","May"
"6",1981,6,1,55,1,187.033333333333,212000,0.000882232704402516,1457,0,"Aichi","Jun"
"7",1981,7,1,55,1,188,213166.666666667,0.000881939014855356,1457,0,"Aichi","Jul"
"8",1981,8,1,55,1,184,214333.333333333,0.000858475894245723,1457,0,"Aichi","Aug"
"9",1981,9,1,55,1,180.833333333333,215500,0.000839133797370457,1457,0,"Aichi","Sep"
"10",1981,10,1,55,1,200,216666.666666667,0.000923076923076923,1457,0,"Aichi","Oct"
"11",1981,11,1,55,1,218.033333333333,217833.333333333,0.0010009181331293,1457,0,"Aichi","Nov"
"12",1981,12,1,55,1,179,219000,0.000817351598173516,1457,0,"Aichi","Dec"
"13",1982,1,1,55,1,199,220166.666666667,0.000903860711582135,1457,0,"Aichi","Jan"
"14",1982,2,1,55,1,210.357142857143,221333.333333333,0.000950408777969018,1457,0,"Aichi","Feb"
"15",1982,3,1,55,1,220,222500,0.00098876404494382,1457,0,"Aichi","Mar"
"16",1982,4,1,55,1,211.833333333334,223666.666666667,0.000947093889716842,1457,0,"Aichi","Apr"
"17",1982,5,1,55,1,226,224833.333333333,0.0010051890289103,1457,0,"Aichi","May"
"18",1982,6,1,55,1,198.4,226000,0.000877876106194692,1457,0,"Aichi","Jun"
"19",1982,7,1,55,1,180,227250,0.000792079207920792,1457,0,"Aichi","Jul"
"20",1982,8,1,55,1,178,228500,0.000778993435448578,1457,0,"Aichi","Aug"
"21",1982,9,1,55,1,187.033333333333,229750,0.000814073268044975,1457,0,"Aichi","Sep"
"22",1982,10,1,55,1,194,231000,0.00083982683982684,1457,0,"Aichi","Oct"
"23",1982,11,1,55,1,209.766666666666,232250,0.000903193397918908,1457,0,"Aichi","Nov"
"24",1982,12,1,55,1,202,233500,0.000865096359743041,1457,0,"Aichi","Dec"
"25",1983,1,1,55,1,236,234750,0.00100532481363152,1457,0,"Aichi","Jan"
"26",1983,2,1,55,1,231.392857142858,236000,0.000980478208232449,1457,0,"Aichi","Feb"
"27",1983,3,1,55,1,250,237250,0.00105374077976818,1457,0,"Aichi","Mar"
"28",1983,4,1,55,1,219.066666666667,238500,0.000918518518518519,1457,0,"Aichi","Apr"
"29",1983,5,1,55,1,202,239750,0.000842544316996872,1457,0,"Aichi","May"
"30",1983,6,1,55,1,210.8,241000,0.000874688796680498,1457,0,"Aichi","Jun"
"31",1983,7,1,55,1,188,242416.666666667,0.000775524235132348,1457,0,"Aichi","Jul"
"32",1983,8,1,55,1,219,243833.333333333,0.000898154477101846,1457,0,"Aichi","Aug"
"33",1983,9,1,55,1,183.933333333333,245250,0.000749983010533468,1457,0,"Aichi","Sep"
"34",1983,10,1,55,1,200,246666.666666667,0.000810810810810811,1457,0,"Aichi","Oct"
"35",1983,11,1,55,1,238.7,248083.333333333,0.00096217668794088,1457,0,"Aichi","Nov"
"36",1983,12,1,55,1,218,249500,0.00087374749498998,1457,0,"Aichi","Dec"
"37",1984,1,1,55,1,234,250916.666666667,0.000932580538027233,1457,0,"Aichi","Jan"
"38",1984,2,1,55,1,246.931034482759,252333.333333333,0.00097859062542705,1457,0,"Aichi","Feb"
"39",1984,3,1,55,1,220,253750,0.000866995073891626,1457,0,"Aichi","Mar"
"40",1984,4,1,55,1,224.233333333333,255166.666666667,0.000878772044415413,1457,0,"Aichi","Apr"
"41",1984,5,1,55,1,227,256583.333333333,0.000884702825592725,1457,0,"Aichi","May"
"42",1984,6,1,55,1,193.233333333334,258000,0.000748966408268735,1457,0,"Aichi","Jun"
"43",1984,7,1,55,1,189,259143.25,0.000729326347493134,1457,0,"Aichi","Jul"
"44",1984,8,1,55,1,190,260286.5,0.000729964865638441,1457,0,"Aichi","Aug"
"45",1984,9,1,55,1,214.933333333333,261429.75,0.000822145656082879,1457,0,"Aichi","Sep"
"46",1984,10,1,55,1,199,262573,0.000757884474031983,1457,0,"Aichi","Oct"
"47",1984,11,1,55,1,224.233333333334,263716.25,0.000850282579603396,1457,0,"Aichi","Nov"
"48",1984,12,1,55,1,240,264859.5,0.000906140802954019,1457,0,"Aichi","Dec"
"49",1985,1,1,55,1,270,266002.75,0.00101502710028374,1457,0,"Aichi","Jan"
"50",1985,2,1,55,1,250.214285714286,267146,0.000936619996983994,1457,0,"Aichi","Feb"
"51",1985,3,1,55,1,230,268289.25,0.0008572836966073,1457,0,"Aichi","Mar"
"52",1985,4,1,55,1,241.8,269432.5,0.000897441845360155,1457,0,"Aichi","Apr"
"53",1985,5,1,55,1,224,270575.75,0.000827864285694487,1457,0,"Aichi","May"
"54",1985,6,1,55,1,202.533333333333,271719,0.000745377884260333,1457,0,"Aichi","Jun"
"55",1985,7,1,55,1,202,273242.416666667,0.000739270287769499,1457,0,"Aichi","Jul"
"56",1985,8,1,55,1,204,274765.833333333,0.000742450389574153,1457,0,"Aichi","Aug"
"57",1985,9,1,55,1,221.133333333333,276289.25,0.000800368937022823,1457,0,"Aichi","Sep"
"58",1985,10,1,55,1,225,277812.666666667,0.000809898276776437,1457,0,"Aichi","Oct"
"59",1985,11,1,55,1,235.6,279336.083333333,0.000843428450734226,1457,0,"Aichi","Nov"
"60",1985,12,1,55,1,295,280859.5,0.00105034723767578,1457,0,"Aichi","Dec"
"61",1986,1,1,55,1,255,282382.916666667,0.000903029131542719,1457,0,"Aichi","Jan"
"62",1986,2,1,55,1,256.857142857143,283906.333333333,0.000904724948687806,1457,0,"Aichi","Feb"
"63",1986,3,1,55,1,252,285429.75,0.000882879237360506,1457,0,"Aichi","Mar"
"64",1986,4,1,55,1,212.866666666667,286953.166666667,0.000741816754069626,1457,0,"Aichi","Apr"
"65",1986,5,1,55,1,237,288476.583333333,0.000821557151230357,1457,0,"Aichi","May"
"66",1986,6,1,55,1,246.966666666666,290000,0.000851609195402297,1457,0,"Aichi","Jun"
"67",1986,7,1,55,1,258,291583.333333333,0.000884824235495856,1457,0,"Aichi","Jul"
"68",1986,8,1,55,1,221,293166.666666667,0.000753837407617965,1457,0,"Aichi","Aug"
"69",1986,9,1,55,1,199.433333333334,294750,0.000676618603336162,1457,0,"Aichi","Sep"
"70",1986,10,1,55,1,266,296333.333333333,0.00089763779527559,1457,0,"Aichi","Oct"
"71",1986,11,1,55,1,235.6,297916.666666667,0.000790825174825175,1457,0,"Aichi","Nov"
"72",1986,12,1,55,1,249,299500,0.000831385642737896,1457,0,"Aichi","Dec"
"73",1987,1,1,55,1,285,301083.333333333,0.000946581787987822,1457,0,"Aichi","Jan"
"74",1987,2,1,55,1,249.107142857143,302666.666666667,0.000823041220893644,1457,0,"Aichi","Feb"
"75",1987,3,1,55,1,248,304250,0.000815119145439606,1457,0,"Aichi","Mar"
"76",1987,4,1,55,1,257.3,305833.333333333,0.000841307901907357,1457,0,"Aichi","Apr"
"77",1987,5,1,55,1,257,307416.666666667,0.00083599891569531,1457,0,"Aichi","May"
"78",1987,6,1,55,1,252.133333333333,309000,0.000815965480043149,1457,0,"Aichi","Jun"
"79",1987,7,1,55,1,259,310333.333333333,0.000834586466165414,1457,0,"Aichi","Jul"
"80",1987,8,1,55,1,272,311666.666666667,0.000872727272727273,1457,0,"Aichi","Aug"
