"","year","month","pref_id","age","sex","deaths.adj","population","rate.adj","state_id","variable","pref","month.short"
"1",1981,1,1,15,1,32,464795.833333333,6.88474330127027e-05,1457,31,"Aichi","Jan"
"2",1981,2,1,15,1,27.6785714285714,464836.666666667,5.95447248751994e-05,1457,28,"Aichi","Feb"
"3",1981,3,1,15,1,22,464877.5,4.73242951100021e-05,1457,29,"Aichi","Mar"
"4",1981,4,1,15,1,23.7666666666667,464918.333333333,5.11200891912917e-05,1457,16,"Aichi","Apr"
"5",1981,5,1,15,1,34,464959.166666667,7.31247009145964e-05,1457,0,"Aichi","May"
"6",1981,6,1,15,1,25.8333333333333,465000,5.55555555555555e-05,1457,0,"Aichi","Jun"
"7",1981,7,1,15,1,39,466416.666666667,8.36162229765946e-05,1457,0,"Aichi","Jul"
"8",1981,8,1,15,1,34,467833.333333333,7.26754542215889e-05,1457,0,"Aichi","Aug"
"9",1981,9,1,15,1,31,469250,6.60628662759723e-05,1457,0,"Aichi","Sep"
"10",1981,10,1,15,1,28,470666.666666667,5.94900849858357e-05,1457,6,"Aichi","Oct"
"11",1981,11,1,15,1,31,472083.333333333,6.5666372462489e-05,1457,27,"Aichi","Nov"
"12",1981,12,1,15,1,24,473500,5.06863780359028e-05,1457,31,"Aichi","Dec"
"13",1982,1,1,15,1,26,474916.666666667,5.4746446745043e-05,1457,31,"Aichi","Jan"
"14",1982,2,1,15,1,29.8928571428571,476333.333333333,6.27561731480555e-05,1457,28,"Aichi","Feb"
"15",1982,3,1,15,1,16,477750,3.34903192046049e-05,1457,28,"Aichi","Mar"
"16",1982,4,1,15,1,34.1,479166.666666667,7.11652173913044e-05,1457,14,"Aichi","Apr"
"17",1982,5,1,15,1,30,480583.333333333,6.24241373331021e-05,1457,0,"Aichi","May"
"18",1982,6,1,15,1,20.6666666666666,482000,4.28769017980635e-05,1457,0,"Aichi","Jun"
"19",1982,7,1,15,1,37,483250,7.65649249870667e-05,1457,0,"Aichi","Jul"
"20",1982,8,1,15,1,42,484500,8.6687306501548e-05,1457,0,"Aichi","Aug"
"21",1982,9,1,15,1,33.0666666666667,485750,6.80734259735804e-05,1457,0,"Aichi","Sep"
"22",1982,10,1,15,1,29,487000,5.95482546201232e-05,1457,2,"Aichi","Oct"
"23",1982,11,1,15,1,32.0333333333333,488250,6.56084656084655e-05,1457,12,"Aichi","Nov"
"24",1982,12,1,15,1,24,489500,4.90296220633299e-05,1457,31,"Aichi","Dec"
"25",1983,1,1,15,1,36,490750,7.33571064696892e-05,1457,31,"Aichi","Jan"
"26",1983,2,1,15,1,35.4285714285715,492000,7.20092915214868e-05,1457,28,"Aichi","Feb"
"27",1983,3,1,15,1,30,493250,6.08210846426761e-05,1457,30,"Aichi","Mar"
"28",1983,4,1,15,1,24.8,494500,5.01516683518706e-05,1457,5,"Aichi","Apr"
"29",1983,5,1,15,1,37,495750,7.46343923348462e-05,1457,0,"Aichi","May"
"30",1983,6,1,15,1,36.1666666666667,497000,7.27699530516433e-05,1457,0,"Aichi","Jun"
"31",1983,7,1,15,1,26,498083.333333333,5.22001003848084e-05,1457,0,"Aichi","Jul"
"32",1983,8,1,15,1,37,499166.666666667,7.41235392320534e-05,1457,0,"Aichi","Aug"
"33",1983,9,1,15,1,36.1666666666666,500250,7.22971847409627e-05,1457,0,"Aichi","Sep"
"34",1983,10,1,15,1,32,501333.333333333,6.38297872340425e-05,1457,4,"Aichi","Oct"
"35",1983,11,1,15,1,33.0666666666666,502416.666666667,6.58152264057056e-05,1457,23,"Aichi","Nov"
"36",1983,12,1,15,1,26,503500,5.16385302879841e-05,1457,31,"Aichi","Dec"
"37",1984,1,1,15,1,30,504583.333333333,5.94549958711808e-05,1457,31,"Aichi","Jan"
"38",1984,2,1,15,1,20.3103448275862,505666.666666667,4.01654808719569e-05,1457,29,"Aichi","Feb"
"39",1984,3,1,15,1,28,506750,5.52540700542674e-05,1457,31,"Aichi","Mar"
"40",1984,4,1,15,1,23.7666666666667,507833.333333333,4.68001312766656e-05,1457,14,"Aichi","Apr"
"41",1984,5,1,15,1,37,508916.666666667,7.27034550515802e-05,1457,1,"Aichi","May"
"42",1984,6,1,15,1,34.1,510000,6.68627450980392e-05,1457,0,"Aichi","Jun"
"43",1984,7,1,15,1,36,510759.666666667,7.04832475025762e-05,1457,0,"Aichi","Jul"
"44",1984,8,1,15,1,35,511519.333333333,6.84236112287708e-05,1457,0,"Aichi","Aug"
"45",1984,9,1,15,1,31,512279,6.05138996523379e-05,1457,0,"Aichi","Sep"
"46",1984,10,1,15,1,30,513038.666666667,5.84751246819603e-05,1457,4,"Aichi","Oct"
"47",1984,11,1,15,1,28.9333333333333,513798.333333333,5.6312625900564e-05,1457,19,"Aichi","Nov"
"48",1984,12,1,15,1,25,514558,4.85853878474341e-05,1457,30,"Aichi","Dec"
"49",1985,1,1,15,1,29,515317.666666667,5.62759669925282e-05,1457,31,"Aichi","Jan"
"50",1985,2,1,15,1,28.7857142857143,516077.333333333,5.57779085157411e-05,1457,28,"Aichi","Feb"
"51",1985,3,1,15,1,29,516837,5.61105338820557e-05,1457,29,"Aichi","Mar"
"52",1985,4,1,15,1,24.8,517596.666666667,4.7913755240567e-05,1457,8,"Aichi","Apr"
"53",1985,5,1,15,1,39,518356.333333333,7.52378190292521e-05,1457,0,"Aichi","May"
"54",1985,6,1,15,1,31,519116,5.97169033510815e-05,1457,0,"Aichi","Jun"
"55",1985,7,1,15,1,28,520856.333333333,5.3757626063233e-05,1457,0,"Aichi","Jul"
"56",1985,8,1,15,1,44,522596.666666667,8.41949495787063e-05,1457,0,"Aichi","Aug"
"57",1985,9,1,15,1,35.1333333333333,524337,6.70052529829734e-05,1457,0,"Aichi","Sep"
"58",1985,10,1,15,1,33,526077.333333333,6.27284201562255e-05,1457,1,"Aichi","Oct"
"59",1985,11,1,15,1,32.0333333333333,527817.666666667,6.06901499444568e-05,1457,21,"Aichi","Nov"
"60",1985,12,1,15,1,43,529558,8.11997930349461e-05,1457,31,"Aichi","Dec"
"61",1986,1,1,15,1,32,531298.333333333,6.02298143855147e-05,1457,31,"Aichi","Jan"
"62",1986,2,1,15,1,42.0714285714285,533038.666666667,7.89275360350878e-05,1457,28,"Aichi","Feb"
"63",1986,3,1,15,1,28,534779,5.23580768878359e-05,1457,31,"Aichi","Mar"
"64",1986,4,1,15,1,33.0666666666667,536519.333333333,6.16318268742103e-05,1457,13,"Aichi","Apr"
"65",1986,5,1,15,1,43,538259.666666667,7.9887092908689e-05,1457,0,"Aichi","May"
"66",1986,6,1,15,1,35.1333333333334,540000,6.50617283950618e-05,1457,0,"Aichi","Jun"
"67",1986,7,1,15,1,34,541583.333333333,6.27788890598554e-05,1457,0,"Aichi","Jul"
"68",1986,8,1,15,1,46,543166.666666667,8.46885547714023e-05,1457,0,"Aichi","Aug"
"69",1986,9,1,15,1,36.1666666666667,544750,6.63913109989292e-05,1457,0,"Aichi","Sep"
"70",1986,10,1,15,1,30,546333.333333333,5.49115314215985e-05,1457,7,"Aichi","Oct"
"71",1986,11,1,15,1,26.8666666666666,547916.666666667,4.90342205323193e-05,1457,23,"Aichi","Nov"
"72",1986,12,1,15,1,30,549500,5.45950864422202e-05,1457,31,"Aichi","Dec"
"73",1987,1,1,15,1,23,551083.333333333,4.17359745954937e-05,1457,31,"Aichi","Jan"
"74",1987,2,1,15,1,28.7857142857143,552666.666666667,5.20851283818714e-05,1457,27,"Aichi","Feb"
"75",1987,3,1,15,1,21,554250,3.78890392422192e-05,1457,27,"Aichi","Mar"
"76",1987,4,1,15,1,34.1,555833.333333333,6.13493253373313e-05,1457,10,"Aichi","Apr"
"77",1987,5,1,15,1,26,557416.666666667,4.6643743459411e-05,1457,1,"Aichi","May"
"78",1987,6,1,15,1,28.9333333333334,559000,5.17590936195589e-05,1457,0,"Aichi","Jun"
"79",1987,7,1,15,1,33,560250,5.89022757697456e-05,1457,0,"Aichi","Jul"
"80",1987,8,1,15,1,31,561500,5.52092609082814e-05,1457,0,"Aichi","Aug"
"81",1987,9,1,15,1,23.7666666666667,562750,4.22330815933659e-05,1457,0,"Aichi","Sep"
"82",1987,10,1,15,1,22,564000,3.90070921985816e-05,1457,0,"Aichi","Oct"
"83",1987,11,1,15,1,34.1,565250,6.03272888102609e-05,1457,22,"Aichi","Nov"
"84",1987,12,1,15,1,27,566500,4.76610767872904e-05,1457,31,"Aichi","Dec"
"85",1988,1,1,15,1,23,567750,4.05107881990313e-05,1457,31,"Aichi","Jan"
"86",1988,2,1,15,1,29.9310344827586,569000,5.26028725531786e-05,1457,29,"Aichi","Feb"
"87",1988,3,1,15,1,22,570250,3.85795703638755e-05,1457,30,"Aichi","Mar"
"88",1988,4,1,15,1,35.1333333333333,571500,6.14756488772236e-05,1457,14,"Aichi","Apr"
"89",1988,5,1,15,1,38,572750,6.63465735486687e-05,1457,1,"Aichi","May"
"90",1988,6,1,15,1,26.8666666666667,574000,4.68060394889663e-05,1457,0,"Aichi","Jun"
"91",1988,7,1,15,1,34,575000,5.91304347826087e-05,1457,0,"Aichi","Jul"
"92",1988,8,1,15,1,38,576000,6.59722222222222e-05,1457,0,"Aichi","Aug"
"93",1988,9,1,15,1,45.4666666666667,577000,7.87983824378972e-05,1457,0,"Aichi","Sep"
"94",1988,10,1,15,1,44,578000,7.61245674740484e-05,1457,4,"Aichi","Oct"
"95",1988,11,1,15,1,41.3333333333333,579000,7.13874496257915e-05,1457,30,"Aichi","Nov"
"96",1988,12,1,15,1,28,580000,4.82758620689655e-05,1457,31,"Aichi","Dec"
"97",1989,1,1,15,1,30,581000,5.16351118760757e-05,1457,31,"Aichi","Jan"
"98",1989,2,1,15,1,31,582000,5.32646048109966e-05,1457,28,"Aichi","Feb"
