"","year","month","pref_id","age","sex","deaths.adj","population","rate.adj","state_id","variable","pref","month.short"
"1",1981,1,1,25,2,11,538067.916666667,2.04435158820564e-05,1457,31,"Aichi","Jan"
"2",1981,2,1,25,2,23.25,537854.333333333,4.32273174335306e-05,1457,28,"Aichi","Feb"
"3",1981,3,1,25,2,28,537640.75,5.20793857236454e-05,1457,29,"Aichi","Mar"
"4",1981,4,1,25,2,23.7666666666667,537427.166666667,4.42230466577952e-05,1457,16,"Aichi","Apr"
"5",1981,5,1,25,2,28,537213.583333333,5.21207967718612e-05,1457,0,"Aichi","May"
"6",1981,6,1,25,2,32.0333333333333,537000,5.96523898199875e-05,1457,0,"Aichi","Jun"
"7",1981,7,1,25,2,23,534750,4.3010752688172e-05,1457,0,"Aichi","Jul"
"8",1981,8,1,25,2,24,532500,4.50704225352113e-05,1457,0,"Aichi","Aug"
"9",1981,9,1,25,2,15.5,530250,2.92314945780292e-05,1457,0,"Aichi","Sep"
"10",1981,10,1,25,2,11,528000,2.08333333333333e-05,1457,6,"Aichi","Oct"
"11",1981,11,1,25,2,14.4666666666666,525750,2.75162466317958e-05,1457,27,"Aichi","Nov"
"12",1981,12,1,25,2,23,523500,4.39350525310411e-05,1457,31,"Aichi","Dec"
"13",1982,1,1,25,2,19,521250,3.64508393285372e-05,1457,31,"Aichi","Jan"
"14",1982,2,1,25,2,31,519000,5.97302504816956e-05,1457,28,"Aichi","Feb"
"15",1982,3,1,25,2,29,516750,5.61199806482825e-05,1457,28,"Aichi","Mar"
"16",1982,4,1,25,2,25.8333333333334,514500,5.02105604146421e-05,1457,14,"Aichi","Apr"
"17",1982,5,1,25,2,22,512250,4.29477794045876e-05,1457,0,"Aichi","May"
"18",1982,6,1,25,2,20.6666666666667,510000,4.05228758169935e-05,1457,0,"Aichi","Jun"
"19",1982,7,1,25,2,12,507416.666666667,2.36492034816883e-05,1457,0,"Aichi","Jul"
"20",1982,8,1,25,2,22,504833.333333333,4.35787388577088e-05,1457,0,"Aichi","Aug"
"21",1982,9,1,25,2,29.9666666666667,502250,5.96648415463747e-05,1457,0,"Aichi","Sep"
"22",1982,10,1,25,2,14,499666.666666667,2.80186791194129e-05,1457,2,"Aichi","Oct"
"23",1982,11,1,25,2,17.5666666666666,497083.333333333,3.53394803017602e-05,1457,12,"Aichi","Nov"
"24",1982,12,1,25,2,30,494500,6.06673407482305e-05,1457,31,"Aichi","Dec"
