"","year","month","pref_id","age","sex","deaths.adj","population","rate.adj","state_id","variable","pref","month.short"
"1",1981,1,1,55,2,121,254721.25,0.000475029075901598,1457,-1.8,"Aichi","Jan"
"2",1981,2,1,55,2,166.071428571429,255377,0.000650299081637849,1457,0.1,"Aichi","Feb"
"3",1981,3,1,55,2,140,256032.75,0.000546805047401163,1457,4.8,"Aichi","Mar"
"4",1981,4,1,55,2,146.733333333333,256688.5,0.00057163968519561,1457,10.4,"Aichi","Apr"
"5",1981,5,1,55,2,137,257344.25,0.000532360835728795,1457,14.8,"Aichi","May"
"6",1981,6,1,55,2,120.9,258000,0.000468604651162791,1457,19.4,"Aichi","Jun"
"7",1981,7,1,55,2,145,258833.333333333,0.00056020605280103,1457,23.9,"Aichi","Jul"
"8",1981,8,1,55,2,129,259666.666666667,0.000496790757381258,1457,23.4,"Aichi","Aug"
"9",1981,9,1,55,2,142.6,260500,0.000547408829174664,1457,19,"Aichi","Sep"
"10",1981,10,1,55,2,147,261333.333333333,0.0005625,1457,13,"Aichi","Oct"
"11",1981,11,1,55,2,129.166666666667,262166.666666667,0.000492689129052765,1457,5.5,"Aichi","Nov"
"12",1981,12,1,55,2,150,263000,0.000570342205323194,1457,1.9,"Aichi","Dec"
"13",1982,1,1,55,2,145,263833.333333333,0.000549589387239419,1457,0.5,"Aichi","Jan"
"14",1982,2,1,55,2,170.5,264666.666666667,0.000644206549118387,1457,0.5,"Aichi","Feb"
"15",1982,3,1,55,2,116,265500,0.000436911487758945,1457,5.7,"Aichi","Mar"
"16",1982,4,1,55,2,153.966666666667,266333.333333333,0.000578097622027535,1457,10.4,"Aichi","Apr"
"17",1982,5,1,55,2,120,267166.666666667,0.000449157829070493,1457,17.3,"Aichi","May"
"18",1982,6,1,55,2,116.766666666667,268000,0.000435696517412935,1457,18.9,"Aichi","Jun"
"19",1982,7,1,55,2,126,268750,0.000468837209302326,1457,20.9,"Aichi","Jul"
"20",1982,8,1,55,2,124,269500,0.000460111317254174,1457,23.6,"Aichi","Aug"
"21",1982,9,1,55,2,134.333333333333,270250,0.000497070613629356,1457,19.2,"Aichi","Sep"
"22",1982,10,1,55,2,137,271000,0.000505535055350554,1457,14,"Aichi","Oct"
"23",1982,11,1,55,2,130.2,271750,0.000479116835326587,1457,10.2,"Aichi","Nov"
"24",1982,12,1,55,2,143,272500,0.000524770642201835,1457,4,"Aichi","Dec"
"25",1983,1,1,55,2,141,273250,0.000516010978956999,1457,0.9,"Aichi","Jan"
"26",1983,2,1,55,2,147.25,274000,0.000537408759124088,1457,0.4,"Aichi","Feb"
"27",1983,3,1,55,2,152,274750,0.000553230209281165,1457,5,"Aichi","Mar"
"28",1983,4,1,55,2,114.7,275500,0.000416333938294011,1457,12.8,"Aichi","Apr"
"29",1983,5,1,55,2,135,276250,0.00048868778280543,1457,16.4,"Aichi","May"
"30",1983,6,1,55,2,145.7,277000,0.000525992779783393,1457,18.7,"Aichi","Jun"
"31",1983,7,1,55,2,147,278000,0.000528776978417266,1457,22.3,"Aichi","Jul"
"32",1983,8,1,55,2,121,279000,0.000433691756272401,1457,25.1,"Aichi","Aug"
"33",1983,9,1,55,2,131.233333333333,280000,0.000468690476190476,1457,20.8,"Aichi","Sep"
"34",1983,10,1,55,2,154,281000,0.000548042704626334,1457,14,"Aichi","Oct"
"35",1983,11,1,55,2,163.266666666667,282000,0.000578959810874705,1457,7.5,"Aichi","Nov"
"36",1983,12,1,55,2,142,283000,0.000501766784452297,1457,1.7,"Aichi","Dec"
"37",1984,1,1,55,2,153,284000,0.000538732394366197,1457,-1.6,"Aichi","Jan"
"38",1984,2,1,55,2,156.068965517241,285000,0.000547610405323654,1457,-2.1,"Aichi","Feb"
"39",1984,3,1,55,2,130,286000,0.000454545454545455,1457,1,"Aichi","Mar"
"40",1984,4,1,55,2,131.233333333333,287000,0.00045725900116144,1457,9.9,"Aichi","Apr"
"41",1984,5,1,55,2,159,288000,0.000552083333333333,1457,15.4,"Aichi","May"
"42",1984,6,1,55,2,128.133333333333,289000,0.000443367935409458,1457,20.3,"Aichi","Jun"
"43",1984,7,1,55,2,114,289685.5,0.000393530225019892,1457,24.1,"Aichi","Jul"
"44",1984,8,1,55,2,131,290371,0.000451146980931291,1457,25.2,"Aichi","Aug"
