"","year","month","pref_id","age","sex","deaths.adj","population","rate.adj","state_id","variable","pref","month.short"
"1",1981,1,1,25,1,41,552092.5,7.42629178987217e-05,1457,0,"Aichi","Jan"
"2",1981,2,1,25,1,29.8928571428571,551874,5.41660907070402e-05,1457,0,"Aichi","Feb"
"3",1981,3,1,25,1,38,551655.5,6.88835695465739e-05,1457,0,"Aichi","Mar"
"4",1981,4,1,25,1,38.2333333333334,551437,6.9334000680646e-05,1457,0,"Aichi","Apr"
"5",1981,5,1,25,1,38,551218.5,6.89381796873654e-05,1457,0,"Aichi","May"
"6",1981,6,1,25,1,27.9,551000,5.06352087114338e-05,1457,0,"Aichi","Jun"
"7",1981,7,1,25,1,28,548750,5.10250569476082e-05,1457,1,"Aichi","Jul"
"8",1981,8,1,25,1,38,546500,6.95333943275389e-05,1457,0,"Aichi","Aug"
"9",1981,9,1,25,1,35.1333333333333,544250,6.45536671260143e-05,1457,0,"Aichi","Sep"
"10",1981,10,1,25,1,37,542000,6.82656826568266e-05,1457,0,"Aichi","Oct"
"11",1981,11,1,25,1,25.8333333333333,539750,4.78616643507797e-05,1457,0,"Aichi","Nov"
"12",1981,12,1,25,1,44,537500,8.18604651162791e-05,1457,0,"Aichi","Dec"
"13",1982,1,1,25,1,37,535250,6.9126576366184e-05,1457,0,"Aichi","Jan"
"14",1982,2,1,25,1,45.3928571428572,533000,8.51648351648353e-05,1457,0,"Aichi","Feb"
"15",1982,3,1,25,1,41,530750,7.72491756947715e-05,1457,0,"Aichi","Mar"
"16",1982,4,1,25,1,34.1,528500,6.45222327341533e-05,1457,0,"Aichi","Apr"
"17",1982,5,1,25,1,34,526250,6.46080760095012e-05,1457,0,"Aichi","May"
"18",1982,6,1,25,1,27.9,524000,5.32442748091603e-05,1457,0,"Aichi","Jun"
"19",1982,7,1,25,1,37,521666.666666667,7.0926517571885e-05,1457,0,"Aichi","Jul"
"20",1982,8,1,25,1,36,519333.333333333,6.93196405648267e-05,1457,0,"Aichi","Aug"
"21",1982,9,1,25,1,39.2666666666667,517000,7.59509993552547e-05,1457,0,"Aichi","Sep"
"22",1982,10,1,25,1,28,514666.666666667,5.44041450777202e-05,1457,0,"Aichi","Oct"
"23",1982,11,1,25,1,34.1,512333.333333333,6.65582303188029e-05,1457,0,"Aichi","Nov"
"24",1982,12,1,25,1,38,510000,7.45098039215686e-05,1457,0,"Aichi","Dec"
"25",1983,1,1,25,1,40,507666.666666667,7.87918581746553e-05,1457,0,"Aichi","Jan"
"26",1983,2,1,25,1,32.1071428571428,505333.333333333,6.35365623822087e-05,1457,0,"Aichi","Feb"
"27",1983,3,1,25,1,43,503000,8.54870775347913e-05,1457,0,"Aichi","Mar"
"28",1983,4,1,25,1,53.7333333333333,500666.666666667,0.000107323568575233,1457,0,"Aichi","Apr"
"29",1983,5,1,25,1,36,498333.333333333,7.22408026755853e-05,1457,0,"Aichi","May"
"30",1983,6,1,25,1,35.1333333333333,496000,7.08333333333333e-05,1457,0,"Aichi","Jun"
"31",1983,7,1,25,1,20,494000,4.04858299595142e-05,1457,1,"Aichi","Jul"
"32",1983,8,1,25,1,32,492000,6.50406504065041e-05,1457,4,"Aichi","Aug"
"33",1983,9,1,25,1,39.2666666666666,490000,8.01360544217686e-05,1457,0,"Aichi","Sep"
"34",1983,10,1,25,1,32,488000,6.55737704918033e-05,1457,0,"Aichi","Oct"
"35",1983,11,1,25,1,32.0333333333334,486000,6.59122085048012e-05,1457,0,"Aichi","Nov"
"36",1983,12,1,25,1,33,484000,6.81818181818182e-05,1457,0,"Aichi","Dec"
"37",1984,1,1,25,1,41,482000,8.50622406639004e-05,1457,0,"Aichi","Jan"
"38",1984,2,1,25,1,37.4137931034483,480000,7.79454022988506e-05,1457,0,"Aichi","Feb"
"39",1984,3,1,25,1,35,478000,7.32217573221757e-05,1457,0,"Aichi","Mar"
"40",1984,4,1,25,1,40.3,476000,8.46638655462185e-05,1457,0,"Aichi","Apr"
"41",1984,5,1,25,1,42,474000,8.86075949367089e-05,1457,0,"Aichi","May"
"42",1984,6,1,25,1,22.7333333333334,472000,4.81638418079097e-05,1457,0,"Aichi","Jun"
"43",1984,7,1,25,1,32,470877.166666667,6.7958275034926e-05,1457,1,"Aichi","Jul"
"44",1984,8,1,25,1,24,469754.333333333,5.10905345560055e-05,1457,1,"Aichi","Aug"
"45",1984,9,1,25,1,22.7333333333333,468631.5,4.85100411161719e-05,1457,0,"Aichi","Sep"
"46",1984,10,1,25,1,37,467508.666666667,7.91429178496513e-05,1457,0,"Aichi","Oct"
"47",1984,11,1,25,1,20.6666666666667,466385.833333333,4.43123808434719e-05,1457,0,"Aichi","Nov"
"48",1984,12,1,25,1,27,465263,5.80316939021586e-05,1457,0,"Aichi","Dec"
"49",1985,1,1,25,1,34,464140.166666667,7.325373333702e-05,1457,0,"Aichi","Jan"
"50",1985,2,1,25,1,31,463017.333333333,6.69521371410142e-05,1457,0,"Aichi","Feb"
"51",1985,3,1,25,1,30,461894.5,6.49498965672897e-05,1457,0,"Aichi","Mar"
"52",1985,4,1,25,1,21.7,460771.666666667,4.70949096262429e-05,1457,0,"Aichi","Apr"
"53",1985,5,1,25,1,36,459648.833333333,7.83206600111027e-05,1457,0,"Aichi","May"
"54",1985,6,1,25,1,23.7666666666667,458526,5.1832756848394e-05,1457,0,"Aichi","Jun"
"55",1985,7,1,25,1,33,457815.5,7.20814389202637e-05,1457,1,"Aichi","Jul"
"56",1985,8,1,25,1,35,457105,7.65688408571335e-05,1457,1,"Aichi","Aug"
"57",1985,9,1,25,1,18.6,456394.5,4.07542159250385e-05,1457,1,"Aichi","Sep"
"58",1985,10,1,25,1,26,455684,5.7057083417456e-05,1457,0,"Aichi","Oct"
"59",1985,11,1,25,1,25.8333333333333,454973.5,5.67798637356534e-05,1457,0,"Aichi","Nov"
"60",1985,12,1,25,1,36,454263,7.9249245481142e-05,1457,0,"Aichi","Dec"
"61",1986,1,1,25,1,25,453552.5,5.51204105368177e-05,1457,0,"Aichi","Jan"
"62",1986,2,1,25,1,42.0714285714286,452842,9.29053148149434e-05,1457,0,"Aichi","Feb"
"63",1986,3,1,25,1,27,452131.5,5.97171398144124e-05,1457,0,"Aichi","Mar"
"64",1986,4,1,25,1,19.6333333333333,451421,4.34922906407396e-05,1457,0,"Aichi","Apr"
"65",1986,5,1,25,1,36,450710.5,7.98738880057154e-05,1457,0,"Aichi","May"
"66",1986,6,1,25,1,39.2666666666667,450000,8.72592592592593e-05,1457,0,"Aichi","Jun"
"67",1986,7,1,25,1,27,449666.666666667,6.00444773906598e-05,1457,1,"Aichi","Jul"
"68",1986,8,1,25,1,25,449333.333333333,5.56379821958457e-05,1457,1,"Aichi","Aug"
"69",1986,9,1,25,1,22.7333333333333,449000,5.06310319227913e-05,1457,0,"Aichi","Sep"
"70",1986,10,1,25,1,33,448666.666666667,7.35512630014859e-05,1457,0,"Aichi","Oct"
"71",1986,11,1,25,1,19.6333333333334,448333.333333333,4.37918215613384e-05,1457,0,"Aichi","Nov"
"72",1986,12,1,25,1,39,448000,8.70535714285714e-05,1457,0,"Aichi","Dec"
"73",1987,1,1,25,1,34,447666.666666667,7.59493670886076e-05,1457,0,"Aichi","Jan"
"74",1987,2,1,25,1,28.7857142857143,447333.333333333,6.43495848413881e-05,1457,0,"Aichi","Feb"
"75",1987,3,1,25,1,26,447000,5.8165548098434e-05,1457,0,"Aichi","Mar"
"76",1987,4,1,25,1,32.0333333333334,446666.666666667,7.17164179104479e-05,1457,0,"Aichi","Apr"
"77",1987,5,1,25,1,36,446333.333333333,8.06572068707991e-05,1457,0,"Aichi","May"
"78",1987,6,1,25,1,26.8666666666667,446000,6.0239162929746e-05,1457,0,"Aichi","Jun"
"79",1987,7,1,25,1,25,446083.333333333,5.60433401830749e-05,1457,1,"Aichi","Jul"
"80",1987,8,1,25,1,23,446166.666666667,5.15502428091147e-05,1457,2,"Aichi","Aug"
"81",1987,9,1,25,1,36.1666666666667,446250,8.1045751633987e-05,1457,0,"Aichi","Sep"
"82",1987,10,1,25,1,24,446333.333333333,5.37714712471994e-05,1457,0,"Aichi","Oct"
"83",1987,11,1,25,1,25.8333333333334,446416.666666667,5.78682098189287e-05,1457,0,"Aichi","Nov"
"84",1987,12,1,25,1,23,446500,5.1511758118701e-05,1457,0,"Aichi","Dec"
"85",1988,1,1,25,1,20,446583.333333333,4.4784474715432e-05,1457,0,"Aichi","Jan"
"86",1988,2,1,25,1,23.5172413793104,446666.666666667,5.26505404014412e-05,1457,0,"Aichi","Feb"
"87",1988,3,1,25,1,19,446750,4.252937884723e-05,1457,0,"Aichi","Mar"
"88",1988,4,1,25,1,17.5666666666667,446833.333333333,3.9313688922044e-05,1457,0,"Aichi","Apr"
"89",1988,5,1,25,1,20,446916.666666667,4.47510721611039e-05,1457,0,"Aichi","May"
"90",1988,6,1,25,1,26.8666666666666,447000,6.0104399701715e-05,1457,0,"Aichi","Jun"
"91",1988,7,1,25,1,19,447833.333333333,4.24264979531076e-05,1457,0,"Aichi","Jul"
"92",1988,8,1,25,1,27,448666.666666667,6.01783060921248e-05,1457,0,"Aichi","Aug"
"93",1988,9,1,25,1,26.8666666666667,449500,5.97701149425288e-05,1457,0,"Aichi","Sep"
"94",1988,10,1,25,1,31,450333.333333333,6.88378978534419e-05,1457,0,"Aichi","Oct"
"95",1988,11,1,25,1,25.8333333333334,451166.666666667,5.72589582563725e-05,1457,0,"Aichi","Nov"
"96",1988,12,1,25,1,29,452000,6.41592920353982e-05,1457,0,"Aichi","Dec"
"97",1989,1,1,25,1,25,452833.333333333,5.5207949944792e-05,1457,0,"Aichi","Jan"
"98",1989,2,1,25,1,42.0714285714286,453666.666666667,9.27364332948463e-05,1457,0,"Aichi","Feb"
"99",1989,3,1,25,1,23,454500,5.06050605060506e-05,1457,0,"Aichi","Mar"
"100",1989,4,1,25,1,26.8666666666667,455333.333333333,5.90043923865301e-05,1457,0,"Aichi","Apr"
"101",1989,5,1,25,1,25,456166.666666667,5.48045305078553e-05,1457,0,"Aichi","May"
"102",1989,6,1,25,1,34.1,457000,7.4617067833698e-05,1457,0,"Aichi","Jun"
"103",1989,7,1,25,1,28,457939,6.11435147475974e-05,1457,0,"Aichi","Jul"
"104",1989,8,1,25,1,30,458878,6.53768539786174e-05,1457,2,"Aichi","Aug"
"105",1989,9,1,25,1,31,459817,6.74181250366994e-05,1457,0,"Aichi","Sep"
"106",1989,10,1,25,1,23,460756,4.99179609164069e-05,1457,0,"Aichi","Oct"
"107",1989,11,1,25,1,25.8333333333334,461695,5.59532447467124e-05,1457,0,"Aichi","Nov"
"108",1989,12,1,25,1,33,462634,7.13306847313427e-05,1457,0,"Aichi","Dec"
"109",1990,1,1,25,1,27,463573,5.8243254029031e-05,1457,0,"Aichi","Jan"
"110",1990,2,1,25,1,36.5357142857143,464512,7.86539729559501e-05,1457,0,"Aichi","Feb"
"111",1990,3,1,25,1,21,465451,4.51175311686944e-05,1457,0,"Aichi","Mar"
"112",1990,4,1,25,1,41.3333333333333,466390,8.86239699250269e-05,1457,0,"Aichi","Apr"
"113",1990,5,1,25,1,32,467329,6.84742440550447e-05,1457,0,"Aichi","May"
"114",1990,6,1,25,1,17.5666666666666,468268,3.75141300850509e-05,1457,0,"Aichi","Jun"
"115",1990,7,1,25,1,24,468412.333333333,5.12369087918977e-05,1457,2,"Aichi","Jul"
"116",1990,8,1,25,1,26,468556.666666667,5.54895530245363e-05,1457,3,"Aichi","Aug"
"117",1990,9,1,25,1,26.8666666666667,468701,5.73215475679947e-05,1457,0,"Aichi","Sep"
"118",1990,10,1,25,1,24,468845.333333333,5.11895891751082e-05,1457,0,"Aichi","Oct"
"119",1990,11,1,25,1,20.6666666666666,468989.666666667,4.4066358249542e-05,1457,0,"Aichi","Nov"
"120",1990,12,1,25,1,23,469134,4.90265041544633e-05,1457,0,"Aichi","Dec"
"121",1991,1,1,25,1,29,469278.333333333,6.17970145649171e-05,1457,0,"Aichi","Jan"
"122",1991,2,1,25,1,25.4642857142857,469422.666666667,5.42459653580548e-05,1457,0,"Aichi","Feb"
