"","year","month","pref_id","age","sex","deaths.adj","population","rate.adj","state_id","variable","pref","month.short"
"1",1981,1,1,35,2,46,481662.5,9.55025562504866e-05,1457,1,"Aichi","Jan"
"2",1981,2,1,35,2,48.7142857142857,481330,0.000101207665664483,1457,2,"Aichi","Feb"
"3",1981,3,1,35,2,40,480997.5,8.31605153872941e-05,1457,2,"Aichi","Mar"
"4",1981,4,1,35,2,42.3666666666667,480665,8.8141775803661e-05,1457,0,"Aichi","Apr"
"5",1981,5,1,35,2,39,480332.5,8.11937564083213e-05,1457,0,"Aichi","May"
"6",1981,6,1,35,2,44.4333333333334,480000,9.25694444444446e-05,1457,0,"Aichi","Jun"
"7",1981,7,1,35,2,38,481250,7.8961038961039e-05,1457,0,"Aichi","Jul"
"8",1981,8,1,35,2,49,482500,0.000101554404145078,1457,0,"Aichi","Aug"
"9",1981,9,1,35,2,45.4666666666666,483750,9.39879414298018e-05,1457,0,"Aichi","Sep"
"10",1981,10,1,35,2,35,485000,7.21649484536082e-05,1457,0,"Aichi","Oct"
"11",1981,11,1,35,2,33.0666666666666,486250,6.80034275921164e-05,1457,2,"Aichi","Nov"
"12",1981,12,1,35,2,39,487500,8e-05,1457,1,"Aichi","Dec"
"13",1982,1,1,35,2,36,488750,7.36572890025575e-05,1457,2,"Aichi","Jan"
"14",1982,2,1,35,2,46.5,490000,9.48979591836735e-05,1457,2,"Aichi","Feb"
"15",1982,3,1,35,2,48,491250,9.77099236641221e-05,1457,3,"Aichi","Mar"
"16",1982,4,1,35,2,48.5666666666667,492500,9.86125211505923e-05,1457,0,"Aichi","Apr"
"17",1982,5,1,35,2,51,493750,0.000103291139240506,1457,0,"Aichi","May"
"18",1982,6,1,35,2,47.5333333333333,495000,9.6026936026936e-05,1457,0,"Aichi","Jun"
"19",1982,7,1,35,2,34,497000,6.841046277666e-05,1457,0,"Aichi","Jul"
"20",1982,8,1,35,2,29,499000,5.81162324649299e-05,1457,0,"Aichi","Aug"
"21",1982,9,1,35,2,41.3333333333333,501000,8.25016633399866e-05,1457,0,"Aichi","Sep"
"22",1982,10,1,35,2,41,503000,8.15109343936382e-05,1457,0,"Aichi","Oct"
"23",1982,11,1,35,2,35.1333333333334,505000,6.95709570957097e-05,1457,1,"Aichi","Nov"
"24",1982,12,1,35,2,54,507000,0.000106508875739645,1457,3,"Aichi","Dec"
"25",1983,1,1,35,2,42,509000,8.25147347740668e-05,1457,2,"Aichi","Jan"
"26",1983,2,1,35,2,43.1785714285714,511000,8.44981828347777e-05,1457,1,"Aichi","Feb"
"27",1983,3,1,35,2,43,513000,8.38206627680312e-05,1457,2,"Aichi","Mar"
"28",1983,4,1,35,2,40.3,515000,7.8252427184466e-05,1457,0,"Aichi","Apr"
"29",1983,5,1,35,2,48,517000,9.28433268858801e-05,1457,0,"Aichi","May"
"30",1983,6,1,35,2,44.4333333333333,519000,8.56133590237636e-05,1457,0,"Aichi","Jun"
"31",1983,7,1,35,2,46,521083.333333333,8.82776267391652e-05,1457,0,"Aichi","Jul"
"32",1983,8,1,35,2,40,523166.666666667,7.64574705320166e-05,1457,0,"Aichi","Aug"
"33",1983,9,1,35,2,39.2666666666666,525250,7.47580517214024e-05,1457,0,"Aichi","Sep"
"34",1983,10,1,35,2,47,527333.333333333,8.91276864728192e-05,1457,0,"Aichi","Oct"
"35",1983,11,1,35,2,44.4333333333333,529416.666666667,8.39288525106249e-05,1457,1,"Aichi","Nov"
"36",1983,12,1,35,2,48,531500,9.0310442144873e-05,1457,2,"Aichi","Dec"
"37",1984,1,1,35,2,43,533583.333333333,8.05872247384039e-05,1457,1,"Aichi","Jan"
"38",1984,2,1,35,2,49.1724137931034,535666.666666667,9.1796665450722e-05,1457,1,"Aichi","Feb"
"39",1984,3,1,35,2,49,537750,9.11204091120409e-05,1457,1,"Aichi","Mar"
"40",1984,4,1,35,2,36.1666666666667,539833.333333333,6.69959864155604e-05,1457,0,"Aichi","Apr"
"41",1984,5,1,35,2,47,541916.666666667,8.67292019068122e-05,1457,0,"Aichi","May"
"42",1984,6,1,35,2,51.6666666666666,544000,9.49754901960783e-05,1457,0,"Aichi","Jun"
"43",1984,7,1,35,2,45,544851.833333333,8.25912610492577e-05,1457,0,"Aichi","Jul"
"44",1984,8,1,35,2,40,545703.666666667,7.32998556603676e-05,1457,0,"Aichi","Aug"
"45",1984,9,1,35,2,39.2666666666667,546555.5,7.18438780081194e-05,1457,0,"Aichi","Sep"
"46",1984,10,1,35,2,43,547407.333333333,7.8552108058472e-05,1457,0,"Aichi","Oct"
"47",1984,11,1,35,2,34.1,548259.166666667,6.21968624935592e-05,1457,1,"Aichi","Nov"
"48",1984,12,1,35,2,54,549111,9.83407726306703e-05,1457,2,"Aichi","Dec"
"49",1985,1,1,35,2,45,549962.833333333,8.18237111174483e-05,1457,1,"Aichi","Jan"
"50",1985,2,1,35,2,38.75,550814.666666667,7.03503416757239e-05,1457,2,"Aichi","Feb"
"51",1985,3,1,35,2,46,551666.5,8.33837109920577e-05,1457,2,"Aichi","Mar"
"52",1985,4,1,35,2,46.5,552518.333333333,8.41601032846572e-05,1457,0,"Aichi","Apr"
"53",1985,5,1,35,2,38,553370.166666667,6.86701276812598e-05,1457,0,"Aichi","May"
"54",1985,6,1,35,2,52.7,554222,9.50882498349037e-05,1457,0,"Aichi","Jun"
"55",1985,7,1,35,2,30,554203.5,5.4131740416652e-05,1457,0,"Aichi","Jul"
"56",1985,8,1,35,2,43,554185,7.75914180282758e-05,1457,0,"Aichi","Aug"
"57",1985,9,1,35,2,51.6666666666666,554166.5,9.32331107468001e-05,1457,0,"Aichi","Sep"
"58",1985,10,1,35,2,44,554148,7.9401170806355e-05,1457,0,"Aichi","Oct"
"59",1985,11,1,35,2,45.4666666666667,554129.5,8.20506157255059e-05,1457,0,"Aichi","Nov"
"60",1985,12,1,35,2,53,554111,9.56487057647294e-05,1457,2,"Aichi","Dec"
"61",1986,1,1,35,2,52,554092.5,9.38471464602029e-05,1457,1,"Aichi","Jan"
"62",1986,2,1,35,2,38.75,554074,6.99365066760036e-05,1457,1,"Aichi","Feb"
"63",1986,3,1,35,2,51,554055.5,9.20485402635657e-05,1457,2,"Aichi","Mar"
"64",1986,4,1,35,2,44.4333333333333,554037,8.01992165384862e-05,1457,0,"Aichi","Apr"
"65",1986,5,1,35,2,44,554018.5,7.94197305685641e-05,1457,0,"Aichi","May"
"66",1986,6,1,35,2,37.2,554000,6.71480144404332e-05,1457,0,"Aichi","Jun"
"67",1986,7,1,35,2,41,553583.333333333,7.40629233779919e-05,1457,0,"Aichi","Jul"
"68",1986,8,1,35,2,44,553166.666666667,7.95420307321482e-05,1457,0,"Aichi","Aug"
"69",1986,9,1,35,2,50.6333333333333,552750,9.16025930951303e-05,1457,0,"Aichi","Sep"
"70",1986,10,1,35,2,44,552333.333333333,7.96620398310199e-05,1457,0,"Aichi","Oct"
"71",1986,11,1,35,2,40.3,551916.666666667,7.30182696663144e-05,1457,0,"Aichi","Nov"
"72",1986,12,1,35,2,41,551500,7.43427017225748e-05,1457,1,"Aichi","Dec"
"73",1987,1,1,35,2,50,551083.333333333,9.07303795554211e-05,1457,2,"Aichi","Jan"
"74",1987,2,1,35,2,42.0714285714285,550666.666666667,7.64008993427878e-05,1457,3,"Aichi","Feb"
"75",1987,3,1,35,2,34,550250,6.17900954111767e-05,1457,4,"Aichi","Mar"
"76",1987,4,1,35,2,44.4333333333333,549833.333333333,8.08123673840557e-05,1457,0,"Aichi","Apr"
"77",1987,5,1,35,2,39,549416.666666667,7.09843773699378e-05,1457,0,"Aichi","May"
"78",1987,6,1,35,2,40.3,549000,7.34061930783242e-05,1457,0,"Aichi","Jun"
"79",1987,7,1,35,2,45,548416.666666667,8.20543990275034e-05,1457,0,"Aichi","Jul"
"80",1987,8,1,35,2,46,547833.333333333,8.39671432917554e-05,1457,0,"Aichi","Aug"
"81",1987,9,1,35,2,37.2,547250,6.7976244860667e-05,1457,0,"Aichi","Sep"
"82",1987,10,1,35,2,45,546666.666666667,8.23170731707317e-05,1457,0,"Aichi","Oct"
"83",1987,11,1,35,2,42.3666666666667,546083.333333333,7.75827865099955e-05,1457,0,"Aichi","Nov"
"84",1987,12,1,35,2,44,545500,8.0659945004583e-05,1457,3,"Aichi","Dec"
"85",1988,1,1,35,2,40,544916.666666667,7.340571952898e-05,1457,4,"Aichi","Jan"
"86",1988,2,1,35,2,41.6896551724138,544333.333333333,7.65884663302152e-05,1457,1,"Aichi","Feb"
"87",1988,3,1,35,2,56,543750,0.000102988505747126,1457,3,"Aichi","Mar"
"88",1988,4,1,35,2,34.1,543166.666666667,6.27799938631482e-05,1457,1,"Aichi","Apr"
"89",1988,5,1,35,2,50,542583.333333333,9.21517432038089e-05,1457,0,"Aichi","May"
"90",1988,6,1,35,2,28.9333333333334,542000,5.33825338253383e-05,1457,0,"Aichi","Jun"
"91",1988,7,1,35,2,36,540916.666666667,6.65536897242336e-05,1457,0,"Aichi","Jul"
"92",1988,8,1,35,2,38,539833.333333333,7.03920963260265e-05,1457,0,"Aichi","Aug"
"93",1988,9,1,35,2,32.0333333333333,538750,5.94586233565351e-05,1457,0,"Aichi","Sep"
"94",1988,10,1,35,2,40,537666.666666667,7.43955362678239e-05,1457,0,"Aichi","Oct"
"95",1988,11,1,35,2,47.5333333333333,536583.333333333,8.85851840347879e-05,1457,1,"Aichi","Nov"
"96",1988,12,1,35,2,33,535500,6.1624649859944e-05,1457,4,"Aichi","Dec"
"97",1989,1,1,35,2,39,534416.666666667,7.29767659441759e-05,1457,3,"Aichi","Jan"
"98",1989,2,1,35,2,53.1428571428571,533333.333333333,9.9642857142857e-05,1457,3,"Aichi","Feb"
"99",1989,3,1,35,2,40,532250,7.51526538280883e-05,1457,2,"Aichi","Mar"
"100",1989,4,1,35,2,43.4,531166.666666667,8.17069344210857e-05,1457,0,"Aichi","Apr"
"101",1989,5,1,35,2,45,530083.333333333,8.48923125294765e-05,1457,0,"Aichi","May"
"102",1989,6,1,35,2,37.2,529000,7.03213610586011e-05,1457,0,"Aichi","Jun"
"103",1989,7,1,35,2,48,528865.583333333,9.07603018851514e-05,1457,0,"Aichi","Jul"
