"","cprov","nprov","year","month","pop","assault","drowning_submersion_suffocation","falls","suicide","transport","total","tmean","anomaly"
"1",1,"Álava",1999,1,282640,0,0,3,1,5,9,4.94,-0.12
"2",1,"Álava",1999,2,282736,0,1,0,2,4,7,4.8,-0.52
"3",1,"Álava",1999,3,282832,0,1,2,2,6,11,8.09,-0.01
"4",1,"Álava",1999,4,282928,1,0,2,1,6,10,9.72,-0.52
"5",1,"Álava",1999,5,283024,1,1,0,5,4,11,14.78,1.34
"6",1,"Álava",1999,6,283120,0,0,0,0,5,5,15.77,-1.62
"7",1,"Álava",1999,7,283216,0,0,0,1,6,7,19.5,0.14
"8",1,"Álava",1999,8,283314,0,4,0,2,3,9,19.73,0.12
"9",1,"Álava",1999,9,283411,0,1,0,2,2,5,17.52,0.69
"10",1,"Álava",1999,10,283508,0,1,0,2,8,11,12.5,-0.73
"11",1,"Álava",1999,11,283606,0,1,1,0,6,8,5.68,-2.41
"12",1,"Álava",1999,12,283704,0,1,1,1,3,6,4.77,-0.66
"13",1,"Álava",2000,1,283801,0,0,1,1,3,5,2.87,-2.19
"14",1,"Álava",2000,2,283909,2,1,2,2,3,10,7.5,2.19
"15",1,"Álava",2000,3,284017,0,0,1,1,4,6,7.71,-0.39
"16",1,"Álava",2000,4,284126,0,1,0,0,4,5,9.36,-0.87
"17",1,"Álava",2000,5,284234,0,1,1,2,0,4,14.18,0.74
"18",1,"Álava",2000,6,284342,0,0,1,3,3,7,17.07,-0.33
"19",1,"Álava",2000,7,284450,0,0,0,2,3,5,18.26,-1.1
"20",1,"Álava",2000,8,284575,0,2,0,1,6,9,19,-0.6
"21",1,"Álava",2000,9,284700,0,0,1,2,8,11,16.96,0.13
"22",1,"Álava",2000,10,284824,1,0,1,1,4,7,11.69,-1.54
"23",1,"Álava",2000,11,284949,0,0,0,0,3,3,7.39,-0.7
"24",1,"Álava",2000,12,285074,1,0,0,2,2,5,7.8,2.37
"25",1,"Álava",2001,1,285199,0,1,0,3,2,6,6.42,1.36
"26",1,"Álava",2001,2,285316,0,0,1,1,2,4,5.96,0.65
"27",1,"Álava",2001,3,285434,0,1,2,5,5,13,10.96,2.87
"28",1,"Álava",2001,4,285552,0,0,0,1,4,5,9.01,-1.23
"29",1,"Álava",2001,5,285669,0,1,2,1,4,8,13.23,-0.21
"30",1,"Álava",2001,6,285786,0,0,1,0,7,8,17.05,-0.35
"31",1,"Álava",2001,7,285904,0,0,0,4,2,6,18.28,-1.08
"32",1,"Álava",2001,8,286028,0,1,0,2,12,15,20.45,0.85
"33",1,"Álava",2001,9,286153,0,0,1,5,4,10,14.59,-2.24
"34",1,"Álava",2001,10,286277,0,2,1,0,2,5,14.66,1.43
"35",1,"Álava",2001,11,286401,1,1,0,2,1,5,5.82,-2.27
"36",1,"Álava",2001,12,286526,0,1,2,3,4,10,2.13,-3.29
"37",1,"Álava",2002,1,286650,0,2,1,1,4,8,6.17,1.11
"38",1,"Álava",2002,2,286958,0,0,0,4,3,7,7.23,1.92
"39",1,"Álava",2002,3,287267,0,0,3,1,3,7,9.02,0.93
"40",1,"Álava",2002,4,287576,0,0,2,2,5,9,9.49,-0.75
"41",1,"Álava",2002,5,287884,0,0,1,3,2,6,12.05,-1.38
"42",1,"Álava",2002,6,288192,0,0,1,1,1,3,16.78,-0.61
"43",1,"Álava",2002,7,288501,0,1,1,1,4,7,17.37,-1.98
"44",1,"Álava",2002,8,288876,0,0,1,1,6,8,17.55,-2.05
"45",1,"Álava",2002,9,289250,0,0,0,1,1,2,15.62,-1.21
"46",1,"Álava",2002,10,289624,0,0,1,0,1,2,12.99,-0.24
"47",1,"Álava",2002,11,289999,0,0,1,2,4,7,9.18,1.09
"48",1,"Álava",2002,12,290374,0,0,0,1,5,6,7.76,2.33
"49",1,"Álava",2003,1,290748,0,0,1,1,2,4,4.68,-0.38
"50",1,"Álava",2003,2,291030,0,0,1,2,3,6,4.48,-0.83
"51",1,"Álava",2003,3,291312,0,0,1,1,3,5,10.05,1.95
"52",1,"Álava",2003,4,291594,0,0,0,2,2,4,10.69,0.46
"53",1,"Álava",2003,5,291876,0,0,1,4,1,6,13.27,-0.17
"54",1,"Álava",2003,6,292158,0,0,0,0,4,4,20.38,2.99
"55",1,"Álava",2003,7,292440,0,0,1,3,3,7,20.07,0.72
"56",1,"Álava",2003,8,292751,0,3,2,3,5,13,23.04,3.44
"57",1,"Álava",2003,9,293061,0,0,1,2,4,7,17.11,0.28
"58",1,"Álava",2003,10,293372,0,0,1,3,3,7,11.47,-1.75
"59",1,"Álava",2003,11,293683,0,0,0,2,2,4,8.77,0.68
"60",1,"Álava",2003,12,293993,1,0,1,5,4,11,5.79,0.36
"61",1,"Álava",2004,1,294304,0,0,1,0,5,6,6.24,1.18
"62",1,"Álava",2004,2,294637,0,0,1,1,0,2,4.52,-0.79
