e,cprov,nprov,year,quarter,pop_tot,pop_men,pop_wom,pop25_39,pop40_49,pop50_64,pop65,suicide_men,suicide_wom,suicide_total,suicide_age40_49,suicide_age50_64,suicide_age65,suicide_age25_39,rate_tot_lag0,rate_men_lag0,rate_wom_lag0,rate_tot_lag3,rate_men_lag3,rate_wom_lag3,rate_tot_lag6,rate_men_lag6,rate_wom_lag6,rate_tot_lag9,rate_men_lag9,rate_wom_lag9,rate_tot_lag12,rate_men_lag12,rate_wom_lag12,rate_tot_lag15,rate_men_lag15,rate_wom_lag15,rate_tot_lag18,rate_men_lag18,rate_wom_lag18,rate_tot_lag21,rate_men_lag21,rate_wom_lag21,rate_tot_lag24,rate_men_lag24,rate_wom_lag24
1,1,Álava,1999,1,203686,99847,103839,71290,41450,49006,41940,1,3,4,0,0,3,1,10.34,6.09,17.3,8.84,4.82,15.15,11.85,7.67,18.3,11.71,7.08,19.32,13.56,8.41,21.72,15.99,9.9,24.64,13.96,7.95,22.44,14.6,7.7,24.86,15.28,8.38,25.84
2,1,Álava,1999,2,204566,100265,104300,71493,41586,49242,42244,5,0,5,1,1,2,1,9.72,4.87,17.5,10.34,6.09,17.3,8.84,4.82,15.15,11.85,7.67,18.3,11.71,7.08,19.32,13.56,8.41,21.72,15.99,9.9,24.64,13.96,7.95,22.44,14.6,7.7,24.86
3,1,Álava,1999,3,205456,100701,104755,71697,41723,49478,42558,3,2,5,2,1,1,1,11.52,6.71,18.73,9.72,4.87,17.5,10.34,6.09,17.3,8.84,4.82,15.15,11.85,7.67,18.3,11.71,7.08,19.32,13.56,8.41,21.72,15.99,9.9,24.64,13.96,7.95,22.44
4,1,Álava,1999,4,206368,101173,105195,71900,41860,49714,42894,3,0,3,0,0,1,2,10.26,5.48,16.9,11.52,6.71,18.73,9.72,4.87,17.5,10.34,6.09,17.3,8.84,4.82,15.15,11.85,7.67,18.3,11.71,7.08,19.32,13.56,8.41,21.72,15.99,9.9,24.64
5,1,Álava,2000,1,207275,101635,105640,72100,42019,49931,43225,3,1,4,1,1,1,1,12.76,6.47,22.2,10.26,5.48,16.9,11.52,6.71,18.73,9.72,4.87,17.5,10.34,6.09,17.3,8.84,4.82,15.15,11.85,7.67,18.3,11.71,7.08,19.32,13.56,8.41,21.72
6,1,Álava,2000,2,208171,102078,106094,72292,42223,50110,43547,3,1,4,0,2,0,2,9.47,4.52,16.85,12.76,6.47,22.2,10.26,5.48,16.9,11.52,6.71,18.73,9.72,4.87,17.5,10.34,6.09,17.3,8.84,4.82,15.15,11.85,7.67,18.3,11.71,7.08,19.32
7,1,Álava,2000,3,209088,102532,106557,72483,42428,50292,43886,4,1,5,0,2,3,0,9.13,5.7,14.42,9.47,4.52,16.85,12.76,6.47,22.2,10.26,5.48,16.9,11.52,6.71,18.73,9.72,4.87,17.5,10.34,6.09,17.3,8.84,4.82,15.15,11.85,7.67,18.3
8,1,Álava,2000,4,210047,103008,107039,72673,42633,50482,44259,1,1,2,0,0,1,1,9.44,5.06,16.3,9.13,5.7,14.42,9.47,4.52,16.85,12.76,6.47,22.2,10.26,5.48,16.9,11.52,6.71,18.73,9.72,4.87,17.5,10.34,6.09,17.3,8.84,4.82,15.15
9,1,Álava,2001,1,210998,103488,107510,72869,42839,50657,44633,6,3,9,0,2,4,3,9.75,5.38,16.42,9.44,5.06,16.3,9.13,5.7,14.42,9.47,4.52,16.85,12.76,6.47,22.2,10.26,5.48,16.9,11.52,6.71,18.73,9.72,4.87,17.5,10.34,6.09,17.3
10,1,Álava,2001,2,211934,103975,107959,73080,43046,50801,45007,1,1,2,0,0,1,1,7.14,3.99,11.81,9.75,5.38,16.42,9.44,5.06,16.3,9.13,5.7,14.42,9.47,4.52,16.85,12.76,6.47,22.2,10.26,5.48,16.9,11.52,6.71,18.73,9.72,4.87,17.5
11,1,Álava,2001,3,212867,104458,108409,73296,43257,50938,45376,7,3,10,0,2,4,4,7.9,4.69,13.26,7.14,3.99,11.81,9.75,5.38,16.42,9.44,5.06,16.3,9.13,5.7,14.42,9.47,4.52,16.85,12.76,6.47,22.2,10.26,5.48,16.9,11.52,6.71,18.73
12,1,Álava,2001,4,213795,104936,108860,73525,43477,51062,45732,3,2,5,0,1,3,1,9,4.68,15.54,7.9,4.69,13.26,7.14,3.99,11.81,9.75,5.38,16.42,9.44,5.06,16.3,9.13,5.7,14.42,9.47,4.52,16.85,12.76,6.47,22.2,10.26,5.48,16.9
13,1,Álava,2002,1,214799,105464,109337,73792,43695,51270,46042,5,1,6,1,1,3,1,7.98,3.72,14.27,9,4.68,15.54,7.9,4.69,13.26,7.14,3.99,11.81,9.75,5.38,16.42,9.44,5.06,16.3,9.13,5.7,14.42,9.47,4.52,16.85,12.76,6.47,22.2
14,1,Álava,2002,2,215955,106090,109866,74136,43912,51646,46260,5,1,6,0,0,4,2,8.25,6.65,10.58,7.98,3.72,14.27,9,4.68,15.54,7.9,4.69,13.26,7.14,3.99,11.81,9.75,5.38,16.42,9.44,5.06,16.3,9.13,5.7,14.42,9.47,4.52,16.85
