sex,age,train_end,lb,median,ub,min,max,age_str
Men,0,2020-02-15,-67,-13,33,-130,97,0-14
Men,15,2020-02-15,18,180,334,-130,489,15-44
Men,45,2020-02-15,2362,2876,3352,1561,3890,45-64
Men,65,2020-02-15,3665,4303,4932.025,2866,5593,65-74
Men,75,2020-02-15,7055,8393,9623.025,5216,10899,75-84
Men,85,2020-02-15,7315.9749999999995,9020,10617,5055,11955,85+
Women,0,2020-02-15,-46,2,47,-98,85,0-14
Women,15,2020-02-15,52,161,260,-71,331,15-44
Women,45,2020-02-15,1279,1556,1823,991,2049,45-64
Women,65,2020-02-15,1626,2130.5,2616,1035,3175,65-74
Women,75,2020-02-15,4637,5922,7124.025,3423,8409,75-84
Women,85,2020-02-15,8302,11195.5,13896.05,4602,15991,85+
