year,fips,Median_Household_Income_in_Dollars,All_Ages_in_Poverty_Percent
2015,0,"$55,775",14.7
2014,0,"$53,657",15.5
2013,0,"$52,250",15.8
2012,0,"$51,371",15.9
2011,0,"$50,502",15.9
2010,0,"$50,046",15.3
2009,0,"$50,221",14.3
2008,0,"$52,029",13.2
2007,0,"$50,740",13
2006,0,"$48,451",13.3
2005,0,"$46,242",13.3
2004,0,"$44,334",12.7
2003,0,"$43,318",12.5
2002,0,"$42,409",12.1
2001,0,"$42,228",11.7
2000,0,"$41,990",11.3
1999,0,"$40,696",11.9
1998,0,"$38,885",12.7
1997,0,"$37,005",13.3
1996,0,"$35,492",13.7
1995,0,"$34,076",13.8
1993,0,"$31,241",15.1
1989,0,"$28,906",12.8
2015,1000,"$44,833",18.5
2014,1000,"$42,917",19.2
2013,1000,"$42,882",18.9
2012,1000,"$41,610",19
2011,1000,"$41,427",19.1
2010,1000,"$40,538",18.9
2009,1000,"$40,547",17.5
2008,1000,"$42,586",15.9
2007,1000,"$40,596",16.6
2006,1000,"$38,811",16.6
2005,1000,"$36,936",16.9
2004,1000,"$37,062",16.1
2003,1000,"$36,131",15.3
2002,1000,"$35,943",15.4
2001,1000,"$34,761",15.7
2000,1000,"$34,923",14.6
1999,1000,"$33,840",15.3
1998,1000,"$33,204",15.7
1997,1000,"$30,790",16.2
1996,1000,"$29,618",16.7
1995,1000,"$27,357",17.6
1993,1000,"$25,907",18.8
1989,1000,"$22,202",17.7
2015,1001,"$56,580",12.7
2014,1001,"$54,366",13.1
2013,1001,"$51,868",13.5
2012,1001,"$51,441",12.7
2011,1001,"$48,863",14.9
2010,1001,"$53,049",11.9
2009,1001,"$53,081",11.2
2008,1001,"$51,622",10.7
2007,1001,"$50,375",10.4
2006,1001,"$46,491",12.5
2005,1001,"$45,019",10.4
2004,1001,"$45,379",11.6
2003,1001,"$44,241",10.4
2002,1001,"$42,841",10.3
2001,1001,"$42,183",10.8
2000,1001,"$42,463",10.5
1999,1001,"$39,702",11.4
1998,1001,"$38,260",11.3
1997,1001,"$36,803",11.8
1996,1001,NA,NA
1995,1001,"$34,842",13.4
1993,1001,"$30,906",15.2
1989,1001,"$26,898",14.3
2015,1003,"$52,387",12.9
2014,1003,"$49,626",13
2013,1003,"$47,539",14.2
2012,1003,"$48,867",13.9
2011,1003,"$50,144",13.4
2010,1003,"$47,618",13.3
2009,1003,"$48,637",13.3
2008,1003,"$51,957",9.9
2007,1003,"$49,163",10.3
2006,1003,"$45,493",11
2005,1003,"$42,804",11.4
2004,1003,"$42,227",10
2003,1003,"$41,961",10.1
2002,1003,"$40,818",10.7
2001,1003,"$40,406",11.1
2000,1003,"$41,283",9.7
1999,1003,"$39,194",10.5
1998,1003,"$37,162",11
1997,1003,"$35,438",11.1
1996,1003,NA,NA
1995,1003,"$35,014",12.4
1993,1003,"$29,040",13.6
1989,1003,"$24,043",13.2
2015,1005,"$31,433",32
2014,1005,"$34,971",25.4
2013,1005,"$30,981",28.2
2012,1005,"$30,287",29
2011,1005,"$30,117",29.5
2010,1005,"$33,074",25.3
2009,1005,"$28,802",32.8
2008,1005,"$30,896",24.5
2007,1005,"$30,370",26.1
2006,1005,"$28,692",28.7
2005,1005,"$29,534",22.4
2004,1005,"$26,495",23.9
2003,1005,"$26,062",22.2
2002,1005,"$25,279",23.6
2001,1005,"$25,480",24.2
2000,1005,"$26,612",22.2
1999,1005,"$25,837",22.3
1998,1005,"$27,603",22.7
1997,1005,"$25,925",23.8
1996,1005,NA,NA
1995,1005,"$24,423",24.9
1993,1005,"$22,446",25
1989,1005,"$18,673",26.2
2015,1007,"$40,767",22.2
2014,1007,"$39,546",18.1
2013,1007,"$39,781",23.1
2012,1007,"$37,392",21.5
2011,1007,"$37,347",22.2
2010,1007,"$35,472",20.9
2009,1007,"$38,294",18.1
2008,1007,"$41,076",18.5
2007,1007,"$38,907",18.2
2006,1007,"$36,794",18.8
2005,1007,"$34,212",16.6
2004,1007,"$34,055",17.1
2003,1007,"$32,924",16.8
2002,1007,"$31,387",17.7
2001,1007,"$31,074",18.2
2000,1007,"$31,776",17.8
1999,1007,"$30,594",17.1
1998,1007,"$29,692",16.9
1997,1007,"$28,039",17.4
1996,1007,NA,NA
1995,1007,"$26,651",18.1
1993,1007,"$22,789",20
1989,1007,"$19,604",18.9
2015,1009,"$50,487",14.7
2014,1009,"$45,567",17.5
2013,1009,"$44,392",17.2
2012,1009,"$44,225",16.2
2011,1009,"$41,940",14.9
2010,1009,"$42,906",16.5
2009,1009,"$41,520",14.6
2008,1009,"$46,086",13.1
2007,1009,"$43,266",13.1
2006,1009,"$41,494",12.8
2005,1009,"$40,588",11.4
2004,1009,"$38,643",12.4
2003,1009,"$37,758",11.9
2002,1009,"$36,386",12.6
2001,1009,"$36,175",13.6
2000,1009,"$36,863",12
1999,1009,"$35,304",12.3
1998,1009,"$35,623",12.9
1997,1009,"$32,676",13.3
1996,1009,NA,NA
1995,1009,"$30,584",13.7
1993,1009,"$27,607",15
1989,1009,"$24,035",13.4
2015,1011,"$28,251",39.6
2014,1011,"$26,580",35.1
2013,1011,"$25,937",35.2
2012,1011,"$25,854",32.3
2011,1011,"$26,038",32.8
2010,1011,"$25,969",31.1
2009,1011,"$24,206",34.7
2008,1011,"$26,980",33.6
2007,1011,"$24,969",34
2006,1011,"$23,095",32.9
2005,1011,"$21,728",38.2
2004,1011,"$20,485",30.3
2003,1011,"$20,903",26.5
2002,1011,"$20,137",31.4
2001,1011,"$20,367",32.9
2000,1011,"$21,400",28.6
1999,1011,"$21,183",26.6
1998,1011,"$22,231",28
1997,1011,"$20,401",29.2
1996,1011,NA,NA
1995,1011,"$19,063",33.7
1993,1011,"$15,734",33
1989,1011,"$13,273",34.1
2015,1013,"$33,868",25.8
2014,1013,"$32,512",25
2013,1013,"$31,041",28.8
2012,1013,"$30,605",26.3
2011,1013,"$30,489",24.1
2010,1013,"$29,500",28.1
2009,1013,"$27,794",29.4
2008,1013,"$31,449",22.3
2007,1013,"$30,460",23.2
2006,1013,"$29,158",22.8
2005,1013,"$28,058",23.1
2004,1013,"$27,244",21
2003,1013,"$26,951",20
2002,1013,"$25,826",20.4
2001,1013,"$25,284",21.6
2000,1013,"$25,763",20.7
1999,1013,"$24,715",21.9
1998,1013,"$23,988",23.4
1997,1013,"$22,813",23.4
1996,1013,NA,NA
1995,1013,"$21,918",25.4
1993,1013,"$19,053",27.1
1989,1013,"$16,683",26.3
2015,1015,"$42,091",20
2014,1015,"$41,123",20.5
2013,1015,"$37,898",21.4
2012,1015,"$39,212",21.4
2011,1015,"$39,060",20.9
2010,1015,"$37,916",23.5
2009,1015,"$37,340",19
2008,1015,"$39,997",17.6
2007,1015,"$37,478",17.1
2006,1015,"$36,684",17.6
2005,1015,"$35,937",16.9
2004,1015,"$34,813",16.9
2003,1015,"$33,137",16.4
2002,1015,"$32,013",15.8
2001,1015,"$31,849",16.3
2000,1015,"$32,604",15.1
1999,1015,"$31,389",16.3
