Id,Id2,Geography,Total:,Urban:,Urban: - Inside urbanized areas,Urban: - Inside urban clusters,Rural,Not defined for this file
0500000US01001,1001,"Autauga County, Alabama",54571,31650,31650,0,22921,0
0500000US01003,1003,"Baldwin County, Alabama",182265,105205,63649,41556,77060,0
0500000US01005,1005,"Barbour County, Alabama",27457,8844,0,8844,18613,0
0500000US01007,1007,"Bibb County, Alabama",22915,7252,0,7252,15663,0
0500000US01009,1009,"Blount County, Alabama",57322,5760,386,5374,51562,0
0500000US01011,1011,"Bullock County, Alabama",10914,5307,0,5307,5607,0
0500000US01013,1013,"Butler County, Alabama",20947,6026,0,6026,14921,0
0500000US01015,1015,"Calhoun County, Alabama",118572,78617,74951,3666,39955,0
0500000US01017,1017,"Chambers County, Alabama",34215,17399,0,17399,16816,0
0500000US01019,1019,"Cherokee County, Alabama",25989,3707,0,3707,22282,0
0500000US01021,1021,"Chilton County, Alabama",43643,5785,0,5785,37858,0
0500000US01023,1023,"Choctaw County, Alabama",13859,0,0,0,13859,0
0500000US01025,1025,"Clarke County, Alabama",25833,6205,0,6205,19628,0
0500000US01027,1027,"Clay County, Alabama",13932,0,0,0,13932,0
0500000US01029,1029,"Cleburne County, Alabama",14972,0,0,0,14972,0
0500000US01031,1031,"Coffee County, Alabama",49948,26375,0,26375,23573,0
0500000US01033,1033,"Colbert County, Alabama",54428,30537,30066,471,23891,0
0500000US01035,1035,"Conecuh County, Alabama",13228,2520,0,2520,10708,0
0500000US01037,1037,"Coosa County, Alabama",11539,0,0,0,11539,0
0500000US01039,1039,"Covington County, Alabama",37765,11461,0,11461,26304,0
0500000US01041,1041,"Crenshaw County, Alabama",13906,0,0,0,13906,0
0500000US01043,1043,"Cullman County, Alabama",80406,21517,0,21517,58889,0
0500000US01045,1045,"Dale County, Alabama",50251,24679,2561,22118,25572,0
0500000US01047,1047,"Dallas County, Alabama",43820,23821,0,23821,19999,0
0500000US01049,1049,"DeKalb County, Alabama",71109,7018,0,7018,64091,0
0500000US01051,1051,"Elmore County, Alabama",79303,36330,26957,9373,42973,0
0500000US01053,1053,"Escambia County, Alabama",38319,13982,0,13982,24337,0
0500000US01055,1055,"Etowah County, Alabama",104430,65286,64141,1145,39144,0
0500000US01057,1057,"Fayette County, Alabama",17241,3408,0,3408,13833,0
0500000US01059,1059,"Franklin County, Alabama",31704,9395,0,9395,22309,0
0500000US01061,1061,"Geneva County, Alabama",26790,2775,121,2654,24015,0
0500000US01063,1063,"Greene County, Alabama",9045,0,0,0,9045,0
0500000US01065,1065,"Hale County, Alabama",15760,1707,0,1707,14053,0
0500000US01067,1067,"Henry County, Alabama",17302,2119,0,2119,15183,0
0500000US01069,1069,"Houston County, Alabama",101547,67220,66099,1121,34327,0
0500000US01071,1071,"Jackson County, Alabama",53227,12233,0,12233,40994,0
0500000US01073,1073,"Jefferson County, Alabama",658466(r38264),593714,592559,1155,64752,0
0500000US01075,1075,"Lamar County, Alabama",14564,0,0,0,14564,0
0500000US01077,1077,"Lauderdale County, Alabama",92709,47008,47008,0,45701,0
0500000US01079,1079,"Lawrence County, Alabama",34339,2991,72,2919,31348,0
0500000US01081,1081,"Lee County, Alabama",140247(r38032),101806,101806,0,38441,0
0500000US01083,1083,"Limestone County, Alabama",82782,35092,10136,24956,47690,0
0500000US01085,1085,"Lowndes County, Alabama",11299,0,0,0,11299,0
0500000US01087,1087,"Macon County, Alabama",21452,9536,0,9536,11916,0
0500000US01089,1089,"Madison County, Alabama",334811,279763,276556,3207,55048,0
0500000US01091,1091,"Marengo County, Alabama",21027,6452,0,6452,14575,0
0500000US01093,1093,"Marion County, Alabama",30776,3430,0,3430,27346,0
0500000US01095,1095,"Marshall County, Alabama",93019,43469,0,43469,49550,0
0500000US01097,1097,"Mobile County, Alabama",412992(r38160),330310,326183,4127,82682,0
0500000US01099,1099,"Monroe County, Alabama",23068,4834,0,4834,18234,0
0500000US01101,1101,"Montgomery County, Alabama",229363,205300,205300,0,24063,0
0500000US01103,1103,"Morgan County, Alabama",119490,73370,70364,3006,46120,0
0500000US01105,1105,"Perry County, Alabama",10591,0,0,0,10591,0
0500000US01107,1107,"Pickens County, Alabama",19746,0,0,0,19746,0
0500000US01109,1109,"Pike County, Alabama",32899,15897,0,15897,17002,0
0500000US01111,1111,"Randolph County, Alabama",22913,4275,0,4275,18638,0
0500000US01113,1113,"Russell County, Alabama",52947,34199,34199,0,18748,0
0500000US01115,1115,"St. Clair County, Alabama",83593,22740,8869,13871,60853,0
0500000US01117,1117,"Shelby County, Alabama",195085,150323,147681,2642,44762,0
0500000US01119,1119,"Sumter County, Alabama",13763,0,0,0,13763,0
0500000US01121,1121,"Talladega County, Alabama",82291,36360,4876,31484,45931,0
0500000US01123,1123,"Tallapoosa County, Alabama",41616,10726,0,10726,30890,0
0500000US01125,1125,"Tuscaloosa County, Alabama",194656,145003,139114,5889,49653,0
0500000US01127,1127,"Walker County, Alabama",67023,17367,0,17367,49656,0
0500000US01129,1129,"Washington County, Alabama",17581,0,0,0,17581,0
0500000US01131,1131,"Wilcox County, Alabama",11670,0,0,0,11670,0
0500000US01133,1133,"Winston County, Alabama",24484,3699,0,3699,20785,0
0500000US02013,2013,"Aleutians East Borough, Alaska",3141,0,0,0,3141,0
0500000US02016,2016,"Aleutians West Census Area, Alaska",5561,0,0,0,5561,0
0500000US02020,2020,"Anchorage Municipality, Alaska",291826,279811,251243,28568,12015,0
0500000US02050,2050,"Bethel Census Area, Alaska",17013,4434,0,4434,12579,0
0500000US02060,2060,"Bristol Bay Borough, Alaska",997,0,0,0,997,0
0500000US02068,2068,"Denali Borough, Alaska",1826,0,0,0,1826,0
0500000US02070,2070,"Dillingham Census Area, Alaska",4847,0,0,0,4847,0
0500000US02090,2090,"Fairbanks North Star Borough, Alaska",97581,67457,64513,2944,30124,0
0500000US02100,2100,"Haines Borough, Alaska",2508,0,0,0,2508,0
0500000US02105,2105,"Hoonah-Angoon Census Area, Alaska",2150,0,0,0,2150,0
0500000US02110,2110,"Juneau City and Borough, Alaska",31275,24537,0,24537,6738,0
0500000US02122,2122,"Kenai Peninsula Borough, Alaska",55400,11447,0,11447,43953,0
0500000US02130,2130,"Ketchikan Gateway Borough, Alaska",13477,10352,0,10352,3125,0
0500000US02150,2150,"Kodiak Island Borough, Alaska",13592,9335,0,9335,4257,0
0500000US02164,2164,"Lake and Peninsula Borough, Alaska",1631(r38835),0,0,0,1631,0
0500000US02170,2170,"Matanuska-Susitna Borough, Alaska",88995,44236,0,44236,44759,0
0500000US02180,2180,"Nome Census Area, Alaska",9492,3222,0,3222,6270,0
0500000US02185,2185,"North Slope Borough, Alaska",9430,3835,0,3835,5595,0
0500000US02188,2188,"Northwest Arctic Borough, Alaska",7523,3200,0,3200,4323,0
0500000US02195,2195,"Petersburg Census Area, Alaska",3815,0,0,0,3815,0
0500000US02198,2198,"Prince of Wales-Hyder Census Area, Alaska",5559,0,0,0,5559,0
0500000US02220,2220,"Sitka City and Borough, Alaska",8881,7027,0,7027,1854,0
0500000US02230,2230,"Skagway Municipality, Alaska",968,0,0,0,968,0
0500000US02240,2240,"Southeast Fairbanks Census Area, Alaska",7029,0,0,0,7029,0
0500000US02261,2261,"Valdez-Cordova Census Area, Alaska",9636,0,0,0,9636,0
0500000US02270,2270,"Wade Hampton Census Area, Alaska",7459,0,0,0,7459,0
0500000US02275,2275,"Wrangell City and Borough, Alaska",2369,0,0,0,2369,0
0500000US02282,2282,"Yakutat City and Borough, Alaska",662,0,0,0,662,0
0500000US02290,2290,"Yukon-Koyukuk Census Area, Alaska",5588,0,0,0,5588,0
0500000US04001,4001,"Apache County, Arizona",71518,18551,0,18551,52967,0
0500000US04003,4003,"Cochise County, Arizona",131346,83666,52745,30921,47680,0
0500000US04005,4005,"Coconino County, Arizona",134421,92124,71957,20167,42297,0
0500000US04007,4007,"Gila County, Arizona",53597,31589,0,31589,22008,0
0500000US04009,4009,"Graham County, Arizona",37220,19936,0,19936,17284,0
0500000US04011,4011,"Greenlee County, Arizona",8437,4508,0,4508,3929,0
0500000US04012,4012,"La Paz County, Arizona",20489,8948,0,8948,11541,0
0500000US04013,4013,"Maricopa County, Arizona",3817117,3726888,3686117,40771,90229,0
0500000US04015,4015,"Mohave County, Arizona",200186,154216,53427,100789,45970,0
0500000US04017,4017,"Navajo County, Arizona",107449,49278,0,49278,58171,0
0500000US04019,4019,"Pima County, Arizona",980263,906513,834443,72070,73750,0
0500000US04021,4021,"Pinal County, Arizona",375770,293459,200094,93365,82311,0
0500000US04023,4023,"Santa Cruz County, Arizona",47420,34672,0,34672,12748,0
0500000US04025,4025,"Yavapai County, Arizona",211033,140976,84744,56232,70057,0
0500000US04027,4027,"Yuma County, Arizona",195751,175335,134256,41079,20416,0
0500000US05001,5001,"Arkansas County, Arkansas",19019,12418,0,12418,6601,0
0500000US05003,5003,"Ashley County, Arkansas",21853,10559,0,10559,11294,0
0500000US05005,5005,"Baxter County, Arkansas",41513,14180,0,14180,27333,0
0500000US05007,5007,"Benton County, Arkansas",221339,165650,147000,18650,55689,0
0500000US05009,5009,"Boone County, Arkansas",36903,13950,0,13950,22953,0
0500000US05011,5011,"Bradley County, Arkansas",11508,5801,0,5801,5707,0
0500000US05013,5013,"Calhoun County, Arkansas",5368,0,0,0,5368,0
0500000US05015,5015,"Carroll County, Arkansas",27446,7456,0,7456,19990,0
0500000US05017,5017,"Chicot County, Arkansas",11800,5395,0,5395,6405,0
0500000US05019,5019,"Clark County, Arkansas",22995,10491,0,10491,12504,0
0500000US05021,5021,"Clay County, Arkansas",16083,6617,0,6617,9466,0
0500000US05023,5023,"Cleburne County, Arkansas",25970,6357,0,6357,19613,0
0500000US05025,5025,"Cleveland County, Arkansas",8689,0,0,0,8689,0
0500000US05027,5027,"Columbia County, Arkansas",24552,10438,0,10438,14114,0
0500000US05029,5029,"Conway County, Arkansas",21273,6272,0,6272,15001,0
0500000US05031,5031,"Craighead County, Arkansas",96443,65419,65419,0,31024,0
0500000US05033,5033,"Crawford County, Arkansas",61948,29759,29759,0,32189,0
0500000US05035,5035,"Crittenden County, Arkansas",50902,40270,40270,0,10632,0
0500000US05037,5037,"Cross County, Arkansas",17870,7722,0,7722,10148,0
0500000US05039,5039,"Dallas County, Arkansas",8116,3844,0,3844,4272,0
0500000US05041,5041,"Desha County, Arkansas",13008,8921,0,8921,4087,0
0500000US05043,5043,"Drew County, Arkansas",18509,9512,0,9512,8997,0
0500000US05045,5045,"Faulkner County, Arkansas",113237,69346,65277,4069,43891,0
0500000US05047,5047,"Franklin County, Arkansas",18125,3153,0,3153,14972,0
0500000US05049,5049,"Fulton County, Arkansas",12245,867,0,867,11378,0
0500000US05051,5051,"Garland County, Arkansas",96024,60588,55103,5485,35436,0
0500000US05053,5053,"Grant County, Arkansas",17853,4458,0,4458,13395,0
0500000US05055,5055,"Greene County, Arkansas",42090,24620,0,24620,17470,0
0500000US05057,5057,"Hempstead County, Arkansas",22609,10000,0,10000,12609,0
