"","Age group","Sex","Cause","Deaths added"
"1","All ages","Both","Transport"," 448.0, ( 394.0, 501.0)"
"2","All ages","Both","Falls","-131.0, (-193.0, -68.0)"
"3","All ages","Both","Other unintentional injuries","  71.0, ( -54.0, 197.0)"
"4","All ages","Both","Drownings"," 143.0, ( 130.0, 157.0)"
"5","All ages","Both","Intentional self-harm"," 315.0, ( 256.0, 375.0)"
"6","All ages","Both","Assault"," 165.0, ( 129.0, 201.0)"
"7","0-4","Male","Transport","   6.0, (   3.0,   8.0)"
"8","0-4","Male","Falls","   0.0, (   0.0,   0.0)"
"9","0-4","Male","Other unintentional injuries","  -2.0, ( -10.0,   6.0)"
"10","0-4","Male","Drownings","   9.0, (   6.0,  13.0)"
"11","0-4","Male","Intentional self-harm","   0.0, (   0.0,   0.0)"
"12","0-4","Male","Assault","   1.0, (  -2.0,   4.0)"
"13","5-14","Male","Transport","   5.0, (   1.0,   9.0)"
"14","5-14","Male","Falls","   0.0, (   0.0,   0.0)"
"15","5-14","Male","Other unintentional injuries","  -1.0, (  -3.0,   1.0)"
"16","5-14","Male","Drownings","  10.0, (   8.0,  13.0)"
"17","5-14","Male","Intentional self-harm","   1.0, (  -2.0,   5.0)"
"18","5-14","Male","Assault","   1.0, (  -1.0,   3.0)"
"19","15-24","Male","Transport","  76.0, (  59.0,  94.0)"
"20","15-24","Male","Falls","   2.0, (   0.0,   4.0)"
"21","15-24","Male","Other unintentional injuries","  16.0, (  -4.0,  36.0)"
"22","15-24","Male","Drownings","  40.0, (  35.0,  45.0)"
"23","15-24","Male","Intentional self-harm","  20.0, (   3.0,  38.0)"
"24","15-24","Male","Assault","  38.0, (  18.0,  58.0)"
"25","25-34","Male","Transport","  71.0, (  51.0,  90.0)"
"26","25-34","Male","Falls","   3.0, (   1.0,   6.0)"
"27","25-34","Male","Other unintentional injuries","  22.0, ( -30.0,  75.0)"
"28","25-34","Male","Drownings","  25.0, (  20.0,  29.0)"
"29","25-34","Male","Intentional self-harm","  41.0, (  20.0,  62.0)"
"30","25-34","Male","Assault","  55.0, (  35.0,  76.0)"
"31","35-44","Male","Transport","  48.0, (  32.0,  64.0)"
"32","35-44","Male","Falls","   2.0, (  -1.0,   6.0)"
"33","35-44","Male","Other unintentional injuries","  42.0, (  -7.0,  92.0)"
"34","35-44","Male","Drownings","  15.0, (  11.0,  19.0)"
"35","35-44","Male","Intentional self-harm","  47.0, (  28.0,  67.0)"
"36","35-44","Male","Assault","  18.0, (   4.0,  32.0)"
"37","45-54","Male","Transport","  65.0, (  47.0,  83.0)"
"38","45-54","Male","Falls","   4.0, (  -3.0,  11.0)"
"39","45-54","Male","Other unintentional injuries","  22.0, ( -27.0,  72.0)"
"40","45-54","Male","Drownings","  12.0, (   7.0,  17.0)"
"41","45-54","Male","Intentional self-harm","  36.0, (  12.0,  60.0)"
"42","45-54","Male","Assault","   9.0, (  -1.0,  19.0)"
"43","55-64","Male","Transport","  73.0, (  51.0,  94.0)"
"44","55-64","Male","Falls"," -16.0, ( -29.0,  -3.0)"
"45","55-64","Male","Other unintentional injuries"," -11.0, ( -55.0,  34.0)"
"46","55-64","Male","Drownings","   8.0, (   4.0,  13.0)"
"47","55-64","Male","Intentional self-harm","  58.0, (  34.0,  84.0)"
"48","55-64","Male","Assault","   9.0, (   1.0,  18.0)"
"49","65-74","Male","Transport","  23.0, (   8.0,  38.0)"
"50","65-74","Male","Falls","  -6.0, ( -23.0,  11.0)"
"51","65-74","Male","Other unintentional injuries","   3.0, ( -21.0,  28.0)"
"52","65-74","Male","Drownings","   6.0, (   2.0,   9.0)"
"53","65-74","Male","Intentional self-harm","  26.0, (   9.0,  43.0)"
"54","65-74","Male","Assault","   2.0, (  -2.0,   6.0)"
"55","75-84","Male","Transport","  16.0, (   5.0,  26.0)"
"56","75-84","Male","Falls"," -31.0, ( -53.0,  -9.0)"
"57","75-84","Male","Other unintentional injuries","  -4.0, ( -24.0,  16.0)"
"58","75-84","Male","Drownings","   3.0, (   1.0,   5.0)"
"59","75-84","Male","Intentional self-harm","  14.0, (   2.0,  26.0)"
"60","75-84","Male","Assault","   1.0, (  -1.0,   3.0)"
"61","85+","Male","Transport","   4.0, (  -4.0,  11.0)"
"62","85+","Male","Falls"," -46.0, ( -76.0, -15.0)"
"63","85+","Male","Other unintentional injuries","  -8.0, ( -27.0,  11.0)"
"64","85+","Male","Drownings","   0.0, (  -1.0,   1.0)"
"65","85+","Male","Intentional self-harm","   9.0, (   1.0,  18.0)"
"66","85+","Male","Assault","   0.0, (   0.0,   1.0)"
"67","All ages","Male","Transport"," 385.0, ( 339.0, 431.0)"
"68","All ages","Male","Falls"," -87.0, (-130.0, -44.0)"
"69","All ages","Male","Other unintentional injuries","  80.0, ( -27.0, 190.0)"
