"","month","deaths.attributable.median","deaths.attributable.mean","deaths.attributable.ll","deaths.attributable.ul"
"1",1,-25.0090364216453,-23.678769097642,-526.131570611057,478.012319610801
"2",2,-241.452463888301,-244.149480012799,-787.94513748195,274.646046074356
"3",3,84.0339743215158,96.6920551487036,-511.308734285608,765.106375532188
"4",4,31.7004642074901,25.5156382389679,-418.142899641305,479.069099734713
"5",5,201.937506268971,207.044601905465,-218.629903448204,702.152339172625
"6",6,371.189520234048,371.960204971052,-167.218670366003,858.725916561596
"7",7,219.993479384587,226.218031172483,-130.24462624648,619.208450410271
"8",8,69.3893550170627,69.2700214180695,-342.743571212185,499.828540864208
"9",9,-4.40971819746088,-0.464363378390211,-436.046877190222,437.002824556439
"10",10,-339.63721736618,-339.165462247524,-900.441419641328,166.973301044894
"11",11,-416.15847800028,-424.285753593624,-1059.32087010237,152.751299127009
"12",12,287.895152563917,300.417602080801,-174.833307808407,832.191944616608
