age,sex,corr.temp.terms,corr.state.intercept.terms,corr.month.intercept.terms,corr.state.month.intercept.terms,corr.state.slope.terms,corr.month.slope.terms,corr.state.month.slope.terms,scale.new.temp.slope
0,1,0.995,0.781,0.984,0.785,0.993,0.942,0.955,3.344
5,1,1.000,0.763,0.997,0.856,0.998,0.981,0.979,3.085
15,1,1.000,0.945,0.992,0.859,1.000,0.997,0.981,2.361
25,1,1.000,0.902,0.990,0.831,1.000,0.974,0.976,2.605
35,1,0.999,0.865,0.948,0.726,1.000,0.995,0.974,2.748
45,1,1.000,0.890,0.700,0.641,0.999,0.993,0.960,2.854
55,1,0.997,0.842,0.342,0.591,0.999,0.995,0.960,3.016
65,1,0.994,0.921,-0.151,0.510,0.997,0.994,0.940,2.983
75,1,0.999,0.910,-0.328,0.431,0.996,0.992,0.950,2.997
85,1,0.998,0.339,-0.285,0.545,0.994,0.929,0.953,3.314
0,2,0.993,0.731,0.995,0.764,0.991,0.835,0.939,3.447
5,2,0.996,0.788,0.993,0.717,0.993,0.854,0.948,3.367
15,2,1.000,0.905,0.987,0.707,0.999,0.983,0.969,2.993
25,2,0.997,0.837,0.882,0.649,0.999,0.733,0.969,3.108
35,2,0.995,0.834,0.633,0.566,0.998,0.869,0.960,3.271
45,2,0.994,0.878,0.292,0.482,0.998,0.887,0.933,3.270
55,2,0.997,0.842,0.212,0.409,0.996,0.905,0.916,3.339
65,2,0.997,0.821,0.370,0.417,0.995,0.363,0.928,3.283
75,2,0.999,0.718,-0.018,0.362,0.995,0.979,0.946,3.183
85,2,0.996,0.668,0.078,0.616,0.983,0.880,0.931,3.311
