"","model.2.mean","age","sex","cause"
"1",-0.0619442312312042,0,1,"Accidental drowning and submersion"
"2",-0.0620399025759043,0,1,"Accidental drowning and submersion"
"3",-0.070646005024483,0,1,"Accidental drowning and submersion"
"4",-0.0733353907187102,0,1,"Accidental drowning and submersion"
"5",-0.0702477403192881,0,1,"Accidental drowning and submersion"
"6",-0.0626563792864634,0,1,"Accidental drowning and submersion"
"7",-0.0595583003956079,0,1,"Accidental drowning and submersion"
"8",-0.0614886303597551,0,1,"Accidental drowning and submersion"
"9",-0.0703347475558314,0,1,"Accidental drowning and submersion"
"10",-0.0808254503910042,0,1,"Accidental drowning and submersion"
"11",-0.0823349343944017,0,1,"Accidental drowning and submersion"
"12",-0.0759673114891833,0,1,"Accidental drowning and submersion"
"13",-0.0809474838496609,5,1,"Accidental drowning and submersion"
"14",-0.0956638324269662,5,1,"Accidental drowning and submersion"
"15",-0.097627136941423,5,1,"Accidental drowning and submersion"
"16",-0.0913989596968391,5,1,"Accidental drowning and submersion"
"17",-0.0674137568811921,5,1,"Accidental drowning and submersion"
"18",-0.0540769133403905,5,1,"Accidental drowning and submersion"
"19",-0.0548959423280521,5,1,"Accidental drowning and submersion"
"20",-0.0630063487576194,5,1,"Accidental drowning and submersion"
"21",-0.0794993286434554,5,1,"Accidental drowning and submersion"
"22",-0.112175238869745,5,1,"Accidental drowning and submersion"
"23",-0.126307954735094,5,1,"Accidental drowning and submersion"
"24",-0.105098080648891,5,1,"Accidental drowning and submersion"
"25",-0.0845199461164313,15,1,"Accidental drowning and submersion"
"26",-0.0828805069967465,15,1,"Accidental drowning and submersion"
"27",-0.0858340951321455,15,1,"Accidental drowning and submersion"
"28",-0.0773035462291553,15,1,"Accidental drowning and submersion"
"29",-0.062557653904551,15,1,"Accidental drowning and submersion"
"30",-0.0507818430798582,15,1,"Accidental drowning and submersion"
"31",-0.0515242690011205,15,1,"Accidental drowning and submersion"
"32",-0.0573183231316561,15,1,"Accidental drowning and submersion"
"33",-0.0671736575580714,15,1,"Accidental drowning and submersion"
"34",-0.097499387121631,15,1,"Accidental drowning and submersion"
"35",-0.10919698878221,15,1,"Accidental drowning and submersion"
"36",-0.0919165789313438,15,1,"Accidental drowning and submersion"
"37",-0.0782609669807441,25,1,"Accidental drowning and submersion"
"38",-0.0795478302405107,25,1,"Accidental drowning and submersion"
"39",-0.0858163419424914,25,1,"Accidental drowning and submersion"
"40",-0.0866674709667524,25,1,"Accidental drowning and submersion"
"41",-0.0711121949513635,25,1,"Accidental drowning and submersion"
"42",-0.0537756676236826,25,1,"Accidental drowning and submersion"
"43",-0.054430128829519,25,1,"Accidental drowning and submersion"
"44",-0.0576473346039895,25,1,"Accidental drowning and submersion"
"45",-0.0719205370818581,25,1,"Accidental drowning and submersion"
"46",-0.0925845632296049,25,1,"Accidental drowning and submersion"
"47",-0.106993919660351,25,1,"Accidental drowning and submersion"
"48",-0.0955237334062664,25,1,"Accidental drowning and submersion"
"49",-0.074151793366679,35,1,"Accidental drowning and submersion"
"50",-0.075718882310325,35,1,"Accidental drowning and submersion"
"51",-0.0827610349762597,35,1,"Accidental drowning and submersion"
"52",-0.0827654777253569,35,1,"Accidental drowning and submersion"
"53",-0.0751535646980641,35,1,"Accidental drowning and submersion"
"54",-0.062446622168502,35,1,"Accidental drowning and submersion"
"55",-0.0574114485050486,35,1,"Accidental drowning and submersion"
"56",-0.0613029043899558,35,1,"Accidental drowning and submersion"
"57",-0.0744467066250308,35,1,"Accidental drowning and submersion"
"58",-0.0867556947192124,35,1,"Accidental drowning and submersion"
"59",-0.0880409071819508,35,1,"Accidental drowning and submersion"
"60",-0.0819691981531509,35,1,"Accidental drowning and submersion"
"61",-0.0674407117321548,45,1,"Accidental drowning and submersion"
"62",-0.0712752311459743,45,1,"Accidental drowning and submersion"
"63",-0.0790773166459342,45,1,"Accidental drowning and submersion"
"64",-0.0844117607418931,45,1,"Accidental drowning and submersion"
"65",-0.0783312328795582,45,1,"Accidental drowning and submersion"
"66",-0.0673820867732725,45,1,"Accidental drowning and submersion"
"67",-0.0609696504916984,45,1,"Accidental drowning and submersion"
"68",-0.062043039380672,45,1,"Accidental drowning and submersion"
"69",-0.0733720849105574,45,1,"Accidental drowning and submersion"
"70",-0.0897702716830649,45,1,"Accidental drowning and submersion"
"71",-0.0871182897926523,45,1,"Accidental drowning and submersion"
"72",-0.0741160354079943,45,1,"Accidental drowning and submersion"
"73",-0.0576508007275643,55,1,"Accidental drowning and submersion"
"74",-0.0639120615668974,55,1,"Accidental drowning and submersion"
"75",-0.0771004825751777,55,1,"Accidental drowning and submersion"
"76",-0.0809014615823222,55,1,"Accidental drowning and submersion"
"77",-0.076474022119876,55,1,"Accidental drowning and submersion"
"78",-0.0681107934591789,55,1,"Accidental drowning and submersion"
"79",-0.0621108111983135,55,1,"Accidental drowning and submersion"
"80",-0.0652465879151617,55,1,"Accidental drowning and submersion"
"81",-0.0729710439501623,55,1,"Accidental drowning and submersion"
"82",-0.0869252871694482,55,1,"Accidental drowning and submersion"
"83",-0.0834600576216263,55,1,"Accidental drowning and submersion"
"84",-0.0681424814752902,55,1,"Accidental drowning and submersion"
"85",-0.0622186608756736,65,1,"Accidental drowning and submersion"
"86",-0.0672297299219869,65,1,"Accidental drowning and submersion"
"87",-0.0814182925204469,65,1,"Accidental drowning and submersion"
"88",-0.0836988242045775,65,1,"Accidental drowning and submersion"
"89",-0.0776891909003765,65,1,"Accidental drowning and submersion"
"90",-0.0686135004460279,65,1,"Accidental drowning and submersion"
"91",-0.0649373795898656,65,1,"Accidental drowning and submersion"
"92",-0.0658402063907763,65,1,"Accidental drowning and submersion"
"93",-0.07152389026464,65,1,"Accidental drowning and submersion"
"94",-0.079940157926271,65,1,"Accidental drowning and submersion"
"95",-0.0781869010403235,65,1,"Accidental drowning and submersion"
"96",-0.0685039898294194,65,1,"Accidental drowning and submersion"
"97",-0.0541511833303994,75,1,"Accidental drowning and submersion"
"98",-0.0601575136285464,75,1,"Accidental drowning and submersion"
"99",-0.0784724336030072,75,1,"Accidental drowning and submersion"
"100",-0.0822635404700794,75,1,"Accidental drowning and submersion"
"101",-0.0753235917860579,75,1,"Accidental drowning and submersion"
"102",-0.06564276841162,75,1,"Accidental drowning and submersion"
"103",-0.062296297340303,75,1,"Accidental drowning and submersion"
"104",-0.0619201062342246,75,1,"Accidental drowning and submersion"
"105",-0.0729229761325892,75,1,"Accidental drowning and submersion"
"106",-0.0816826564398074,75,1,"Accidental drowning and submersion"
"107",-0.0778702887089348,75,1,"Accidental drowning and submersion"
"108",-0.0640148662861939,75,1,"Accidental drowning and submersion"
"109",-0.0503524287941574,85,1,"Accidental drowning and submersion"
"110",-0.0542135085141745,85,1,"Accidental drowning and submersion"
"111",-0.0669933717642938,85,1,"Accidental drowning and submersion"
"112",-0.0718725996989814,85,1,"Accidental drowning and submersion"
"113",-0.0693440534142893,85,1,"Accidental drowning and submersion"
"114",-0.0615645468383352,85,1,"Accidental drowning and submersion"
"115",-0.0565879447958517,85,1,"Accidental drowning and submersion"
"116",-0.0584778361209685,85,1,"Accidental drowning and submersion"
"117",-0.0657463668996745,85,1,"Accidental drowning and submersion"
"118",-0.0749203856814497,85,1,"Accidental drowning and submersion"
"119",-0.0711450280280048,85,1,"Accidental drowning and submersion"
"120",-0.0601225118285065,85,1,"Accidental drowning and submersion"
"121",-0.077627604619047,0,2,"Accidental drowning and submersion"
"122",-0.0772108628506326,0,2,"Accidental drowning and submersion"
"123",-0.0793507038079573,0,2,"Accidental drowning and submersion"
