"","model.2.mean","age","sex","cause"
"1",-1.71204600195918,0,1,"Accidental drowning and submersion"
"2",-1.8080611496374,5,1,"Accidental drowning and submersion"
"3",-1.76967222465924,15,1,"Accidental drowning and submersion"
"4",-1.79014499238275,25,1,"Accidental drowning and submersion"
"5",-1.799014144341,35,1,"Accidental drowning and submersion"
"6",-1.7847849174896,45,1,"Accidental drowning and submersion"
"7",-1.77066982571155,55,1,"Accidental drowning and submersion"
"8",-1.74066140570828,65,1,"Accidental drowning and submersion"
"9",-1.662606631895,75,1,"Accidental drowning and submersion"
"10",-1.50726967972469,85,1,"Accidental drowning and submersion"
"11",-1.74834786640107,0,2,"Accidental drowning and submersion"
"12",-1.86245357128252,5,2,"Accidental drowning and submersion"
"13",-1.88265953571316,15,2,"Accidental drowning and submersion"
"14",-1.89155742767188,25,2,"Accidental drowning and submersion"
"15",-1.87771764446526,35,2,"Accidental drowning and submersion"
"16",-1.84851308046142,45,2,"Accidental drowning and submersion"
"17",-1.83028439695095,55,2,"Accidental drowning and submersion"
"18",-1.83028439695095,65,2,"Accidental drowning and submersion"
"19",-1.74266501070111,75,2,"Accidental drowning and submersion"
"20",-1.62784764252769,85,2,"Accidental drowning and submersion"
