"","model.2.mean","age","sex","cause"
"1",-1.92930843123705,0,1,"Accidental falls"
"2",-2.03491669113122,5,1,"Accidental falls"
"3",-1.95612771380052,15,1,"Accidental falls"
"4",-1.93366133092485,25,1,"Accidental falls"
"5",-1.89826636535941,35,1,"Accidental falls"
"6",-1.84280359054578,45,1,"Accidental falls"
"7",-1.78761273128493,55,1,"Accidental falls"
"8",-1.69867894536091,65,1,"Accidental falls"
"9",-1.52932658818066,75,1,"Accidental falls"
"10",-1.323911591257,85,1,"Accidental falls"
"11",-1.93742551400347,0,2,"Accidental falls"
"12",-2.04767710694849,5,2,"Accidental falls"
"13",-2.04574257193811,15,2,"Accidental falls"
"14",-2.0401012799579,25,2,"Accidental falls"
"15",-2.00423405460272,35,2,"Accidental falls"
"16",-1.94390078815799,45,2,"Accidental falls"
"17",-1.88340247532929,55,2,"Accidental falls"
"18",-1.77192538365586,65,2,"Accidental falls"
"19",-1.58141878831808,75,2,"Accidental falls"
"20",-1.37326373889413,85,2,"Accidental falls"
