"","model.2.mean","age","sex","cause"
"1",-1.83211863327352,0,1,"Assault"
"2",-1.958268772238,5,1,"Assault"
"3",-1.692029022511,15,1,"Assault"
"4",-1.68770482218035,25,1,"Assault"
"5",-1.72634679323931,35,1,"Assault"
"6",-1.74910043178776,45,1,"Assault"
"7",-1.77808512952309,55,1,"Assault"
"8",-1.78847778205037,65,1,"Assault"
"9",-1.74118249565897,75,1,"Assault"
"10",-1.60057443763046,85,1,"Assault"
"11",-1.83876553786146,0,2,"Assault"
"12",-1.97069998214869,5,2,"Assault"
"13",-1.83406924643048,15,2,"Assault"
"14",-1.82577996461195,25,2,"Assault"
"15",-1.8482966634841,35,2,"Assault"
"16",-1.86748984185157,45,2,"Assault"
"17",-1.88422643591568,55,2,"Assault"
"18",-1.86868917052018,65,2,"Assault"
"19",-1.81874484787263,75,2,"Assault"
"20",-1.71985668382711,85,2,"Assault"
