"","model.2.mean","age","sex","cause"
"1",-1.77292534647374,0,1,"Transport accidents"
"2",-1.7759596782786,5,1,"Transport accidents"
"3",-1.52108457829138,15,1,"Transport accidents"
"4",-1.57263813890583,25,1,"Transport accidents"
"5",-1.61193591092149,35,1,"Transport accidents"
"6",-1.62572045531181,45,1,"Transport accidents"
"7",-1.62909161960596,55,1,"Transport accidents"
"8",-1.60754187707269,65,1,"Transport accidents"
"9",-1.53323827481197,75,1,"Transport accidents"
"10",-1.45264228273189,85,1,"Transport accidents"
"11",-1.78874578368405,0,2,"Transport accidents"
"12",-1.83042203917653,5,2,"Transport accidents"
"13",-1.66278562497886,15,2,"Transport accidents"
"14",-1.73607954379149,25,2,"Transport accidents"
"15",-1.74945955395716,35,2,"Transport accidents"
"16",-1.74849352265684,45,2,"Transport accidents"
"17",-1.73132289760075,55,2,"Transport accidents"
"18",-1.69223788774454,65,2,"Transport accidents"
"19",-1.63622789330018,75,2,"Transport accidents"
"20",-1.61617357475394,85,2,"Transport accidents"
