"year","cause","sex","deaths","percentage"
1980,"Cancer",1,227942,21.2932395445077
1980,"Cardiopulmonary",1,581430,54.3143793963512
1980,"External",1,114028,10.6519444366598
1980,"Other",1,147090,13.7404366224813
1980,"Cancer",2,193271,21.1898580406363
1980,"Cardiopulmonary",2,537670,58.9490972401907
1980,"External",2,42827,4.69546931669174
1980,"Other",2,138324,15.1655754024813
1981,"Cancer",1,230072,21.7109068827516
1981,"Cardiopulmonary",1,572727,54.0457881282279
1981,"External",1,111298,10.5027144295546
1981,"Other",1,145610,13.740590559466
1981,"Cancer",2,196745,21.5956489286969
1981,"Cardiopulmonary",2,532815,58.4842597471022
1981,"External",2,41835,4.59200474183351
1981,"Other",2,139645,15.3280865823674
1982,"Cancer",1,236320,22.4726153038586
1982,"Cardiopulmonary",1,564947,53.7230729437586
1982,"External",1,105512,10.0335586744276
1982,"Other",1,144812,13.7707530779552
1982,"Cancer",2,202442,22.1130151350973
1982,"Cardiopulmonary",2,531436,58.0494774371701
1982,"External",2,40251,4.3966715019749
1982,"Other",2,141359,15.4408359257576
1983,"Cancer",1,240358,22.5250874358523
1983,"Cardiopulmonary",1,575781,53.9591666135616
1983,"External",1,101396,9.50229975971541
1983,"Other",1,149533,14.0134461908707
1983,"Cancer",2,207356,21.9625603992654
1983,"Cardiopulmonary",2,549720,58.2247858884438
1983,"External",2,39878,4.2237648469391
1983,"Other",2,147180,15.5888888653517
1984,"Cancer",1,244621,22.8285995585854
1984,"Cardiopulmonary",1,571066,53.2932047351746
1984,"External",1,102405,9.55667231266711
1984,"Other",1,153463,14.3215233935729
1984,"Cancer",2,213481,22.243929784199
1984,"Cardiopulmonary",2,553255,57.6471225671467
1984,"External",2,40534,4.2234927224096
1984,"Other",2,152457,15.8854549262447
1985,"Cancer",1,248780,22.7722708836589
1985,"Cardiopulmonary",1,578268,52.9322113487888
1985,"External",1,102615,9.39294387300692
1985,"Other",1,162806,14.9025738945453
1985,"Cancer",2,217564,22.0830973420787
1985,"Cardiopulmonary",2,566660,57.51690509396
1985,"External",2,40576,4.11852952580476
1985,"Other",2,160406,16.2814680381565
1986,"Cancer",1,252609,22.9903500397266
1986,"Cardiopulmonary",1,570537,51.9254869803351
1986,"External",1,107060,9.74370222459661
1986,"Other",1,168555,15.3404607553417
1986,"Cancer",2,221555,22.2079106691793
1986,"Cardiopulmonary",2,569210,57.0556513371557
1986,"External",2,41737,4.18357323282948
1986,"Other",2,165138,16.5528647608356
1987,"Cancer",1,256588,23.2723591983631
1987,"Cardiopulmonary",1,564430,51.1934217591316
1987,"External",1,105518,9.57041170239011
1987,"Other",1,176008,15.9638073401152
1987,"Cancer",2,224971,22.2320495057919
1987,"Cardiopulmonary",2,572861,56.6111814942258
1987,"External",2,42239,4.17413595118991
1987,"Other",2,171851,16.9826330487923
1988,"Cancer",1,259910,23.2015061206236
1988,"Cardiopulmonary",1,570962,50.9683287970585
1988,"External",1,107024,9.55376088281949
1988,"Other",1,182333,16.2764041994985
1988,"Cancer",2,229839,22.1201310044088
1988,"Cardiopulmonary",2,586304,56.4269827505729
1988,"External",2,43065,4.14465535311617
1988,"Other",2,179841,17.3082308919021
1989,"Cancer",1,265223,23.9229085280659
1989,"Cardiopulmonary",1,548487,49.4731012387059
1989,"External",1,105869,9.54930154231652
1989,"Other",1,189078,17.0546886909116
1989,"Cancer",2,235555,22.8107075865902
1989,"Cardiopulmonary",2,570623,55.25806879575
1989,"External",2,42583,4.12365842864627
1989,"Other",2,183890,17.8075651890135
1990,"Cancer",1,270043,24.3795049762383
1990,"Cardiopulmonary",1,542429,48.9705361914804
1990,"External",1,106408,9.6065232778171
1990,"Other",1,188784,17.0434355544642
1990,"Cancer",2,239860,23.2587455443202
1990,"Cardiopulmonary",2,565801,54.8645938786038
1990,"External",2,41696,4.04317791301582
1990,"Other",2,183911,17.8334826640602
1991,"Cancer",1,274306,24.5815052190869
1991,"Cardiopulmonary",1,542124,48.5815984170681
1991,"External",1,105603,9.46344846868548
1991,"Other",1,193871,17.3734478951594
1991,"Cancer",2,245134,23.4795260303075
1991,"Cardiopulmonary",2,569519,54.5499040739134
1991,"External",2,41631,3.9875176359368
1991,"Other",2,187749,17.9830522598424
1992,"Cancer",1,276752,24.7871722048915
1992,"Cardiopulmonary",1,538706,48.2489679923118
1992,"External",1,103171,9.24046562825511
1992,"Other",1,197884,17.7233941745416
1992,"Cancer",2,248560,23.6867734871284
1992,"Cardiopulmonary",2,569171,54.2397189911584
1992,"External",2,40607,3.86968462742123
1992,"Other",2,191024,18.203822894292
1993,"Cancer",1,281428,24.3519975910016
1993,"Cardiopulmonary",1,558691,48.3435972473039
1993,"External",1,106436,9.20991946642069
1993,"Other",1,209112,18.0944856952738
1993,"Cancer",2,253556,22.9943973170966
1993,"Cardiopulmonary",2,601002,54.5034579200244
1993,"External",2,42518,3.85585742450707
1993,"Other",2,205610,18.6462873383719
1994,"Cancer",1,282509,24.4246133469127
1994,"Cardiopulmonary",1,552358,47.7546930507488
1994,"External",1,106358,9.19529298659845
1994,"Other",1,215432,18.62540061574
1994,"Cancer",2,256933,23.1023692847188
1994,"Cardiopulmonary",2,599318,53.8882345007418
1994,"External",2,42534,3.82448410735962
1994,"Other",2,213365,19.1849121071798
1995,"Cancer",1,283680,24.31588015206
1995,"Cardiopulmonary",1,556579,47.7076574279237
1995,"External",1,105189,9.01636744682401
1995,"Other",1,221197,18.9600949731924
1995,"Cancer",2,260054,22.9154366863405
1995,"Cardiopulmonary",2,609231,53.6842133089893
1995,"External",2,43114,3.79911917253679
1995,"Other",2,222443,19.6012308321335
1996,"Cancer",1,283869,24.532288674334
1996,"Cardiopulmonary",1,556132,48.0615733490966
1996,"External",1,103799,8.97043013540468
1996,"Other",1,213324,18.4357078411648
1996,"Cancer",2,260733,22.7413707987866
1996,"Cardiopulmonary",2,613706,53.5279987858849
1996,"External",2,44303,3.86414819182321
1996,"Other",2,227772,19.8664822235053
1997,"Cancer",1,283047,24.6628589353165
1997,"Cardiopulmonary",1,556785,48.514592672949
1997,"External",1,103209,8.99295526133497
1997,"Other",1,204624,17.8295931303996
1997,"Cancer",2,261676,22.6419534953747
1997,"Cardiopulmonary",2,614581,53.1776487761235
1997,"External",2,44598,3.85891653031505
1997,"Other",2,234858,20.3214811981867
1998,"Cancer",1,284088,24.6843725073465
1998,"Cardiopulmonary",1,555937,48.3052997614004
1998,"External",1,102833,8.93514713063546
1998,"Other",1,208024,18.0751806006176
1998,"Cancer",2,262706,22.3522124526292
1998,"Cardiopulmonary",2,622908,52.9998247259002
1998,"External",2,45717,3.88980874702842
1998,"Other",2,243971,20.7581540744421
1999,"Cancer",1,290895,24.8856855657976
1999,"Cardiopulmonary",1,551862,47.2110700002139
1999,"External",1,97128,8.30917295805976
1999,"Other",1,229040,19.5940714759287
1999,"Cancer",2,269552,22.2560562775567
1999,"Cardiopulmonary",2,627194,51.7854253017818
1999,"External",2,44591,3.68173786680318
1999,"Other",2,269803,22.2767805538583
2000,"Cancer",1,291131,24.8625701453763
2000,"Cardiopulmonary",1,545744,46.6065052550854
2000,"External",1,97558,8.33144741797549
2000,"Other",1,236528,20.1994771815628
2000,"Cancer",2,272784,22.3441246167569
2000,"Cardiopulmonary",2,621742,50.9277696913004
2000,"External",2,44272,3.62638235759085
2000,"Other",2,282033,23.1017233343518
2001,"Cancer",1,292257,24.8357565142905
2001,"Cardiopulmonary",1,536546,45.5952323287946
2001,"External",1,101418,8.61841719502464
2001,"Other",1,246538,20.9505939618902
2001,"Cancer",2,272398,22.1844876844242
2001,"Cardiopulmonary",2,615300,50.1109232528366
2001,"External",2,46014,3.74744681058999
2001,"Other",2,294164,23.9571422521492
2002,"Cancer",1,293772,24.6376957449378
2002,"Cardiopulmonary",1,540362,45.318391637481
2002,"External",1,104336,8.75031869355769
2002,"Other",1,253898,21.2935939240235
2002,"Cancer",2,274071,22.1233387577977
2002,"Cardiopulmonary",2,612191,49.4167893628837
2002,"External",2,47828,3.86073333591641
2002,"Other",2,304742,24.5991385434022
2003,"Cancer",1,293020,24.5227183712001
2003,"Cardiopulmonary",1,534604,44.7407799198589
2003,"External",1,105221,8.80590044958038
2003,"Other",1,262047,21.9306012593607
2003,"Cancer",2,274489,22.1201903782583
2003,"Cardiopulmonary",2,603105,48.6023025260739
2003,"External",2,48650,3.92054786130689
2003,"Other",2,314654,25.3569592343609
2004,"Cancer",1,291969,24.8558717164631
2004,"Cardiopulmonary",1,514260,43.7799238580409
2004,"External",1,106360,9.05462742881272
2004,"Other",1,262059,22.3095769966833
2004,"Cancer",2,272597,22.5186280502916
2004,"Cardiopulmonary",2,573457,47.3719992730517
2004,"External",2,50046,4.13418804830902
2004,"Other",2,314440,25.9751846283477
2005,"Cancer",1,295606,24.6198410569993
2005,"Cardiopulmonary",1,518634,43.1949508695891
2005,"External",1,110212,9.17911653543569
2005,"Other",1,276230,23.0060915379759
2005,"Cancer",2,274439,22.2258126170253
2005,"Cardiopulmonary",2,576702,46.7049894069856
2005,"External",2,50877,4.1203424750724
2005,"Other",2,332758,26.9488555009168
2006,"Cancer",1,295414,24.7255957213522
2006,"Cardiopulmonary",1,502345,42.045330900508
2006,"External",1,112139,9.38582321283594
2006,"Other",1,284872,23.8432501653038
2006,"Cancer",2,275540,22.6132715299617
2006,"Cardiopulmonary",2,546953,44.8878446074151
2006,"External",2,51878,4.25757167899889
2006,"Other",2,344117,28.2413121836243
2007,"Cancer",1,298374,24.9331701060003
2007,"Cardiopulmonary",1,496720,41.5076523257806
2007,"External",1,113621,9.49456628464229
2007,"Other",1,287980,24.0646112835769
2007,"Cancer",2,275571,22.7020601239518
2007,"Cardiopulmonary",2,535842,44.1436773134277
2007,"External",2,53135,4.37736178584168
2007,"Other",2,349311,28.7769007767789
2008,"Cancer",1,300963,24.6903077397633
2008,"Cardiopulmonary",1,504767,41.4099160590409
2008,"External",1,112346,9.21660574001273
2008,"Other",1,300876,24.683170461183
2008,"Cancer",2,275821,22.2456024324738
2008,"Cardiopulmonary",2,543713,43.8517126519288
2008,"External",2,52936,4.26941099613675
2008,"Other",2,367420,29.6332739194606
2009,"Cancer",1,302516,25.0063855904708
2009,"Cardiopulmonary",1,496288,41.0238436708259
2009,"External",1,108906,9.00231865129716
2009,"Other",1,302045,24.9674520874061
2009,"Cancer",2,276482,22.7815392424171
2009,"Cardiopulmonary",2,521717,42.9883909583124
2009,"External",2,52397,4.31740334519039
2009,"Other",2,363027,29.9126664540801
2010,"Cancer",1,306971,25.0600232010796
2010,"Cardiopulmonary",1,497617,40.6236861633562
2010,"External",1,110283,9.00311279790162
2010,"Other",1,310072,25.3131778376626
2010,"Cancer",2,279428,22.7172987822179
2010,"Cardiopulmonary",2,519090,42.2016498878476
2010,"External",2,54166,4.40365749258347
2010,"Other",2,377339,30.677393837351
2011,"Cancer",1,308157,24.7052909730529
2011,"Cardiopulmonary",1,503725,40.3841960280022
2011,"External",1,113562,9.10439241517094
2011,"Other",1,321888,25.806120583774
2011,"Cancer",2,280207,22.341136323771
2011,"Cardiopulmonary",2,523116,41.70847219786
2011,"External",2,56361,4.49370923761382
2011,"Other",2,394536,31.4566822407552
2012,"Cancer",1,311738,24.6253135059344
2012,"Cardiopulmonary",1,507464,40.086419021664
2012,"External",1,115014,9.08537235618224
2012,"Other",1,331709,26.2028951162194
2012,"Cancer",2,282628,22.3770709210031
2012,"Cardiopulmonary",2,520791,41.2336256210289
2012,"External",2,57217,4.53015577680568
2012,"Other",2,402389,31.8591476811623
2013,"Cancer",1,313761,24.1707508346802
2013,"Cardiopulmonary",1,525729,40.4998220478822
2013,"External",1,115057,8.86347914108445
2013,"Other",1,343555,26.4659479763532
2013,"Cancer",2,282916,22.0294612781504
2013,"Cardiopulmonary",2,530585,41.3143891199771
2013,"External",2,57822,4.50235232374702
2013,"Other",2,412939,32.1537972781255
2014,"Cancer",1,317857,24.0796379459767
2014,"Cardiopulmonary",1,531259,40.2461621909905
2014,"External",1,118080,8.94529190378357
2014,"Other",1,352828,26.7289079592492
2014,"Cancer",2,286317,22.1720161320299
2014,"Cardiopulmonary",2,529054,40.9692537387404
2014,"External",2,59474,4.60558921557695
2014,"Other",2,416499,32.2531409136528
2015,"Cancer",1,320594,23.4853979040026
2015,"Cardiopulmonary",1,549647,40.2648786369717
2015,"External",1,125588,9.20006036285106
2015,"Other",1,369249,27.0496630961747
2015,"Cancer",2,288068,21.6253467308768
2015,"Cardiopulmonary",2,552009,41.4394727063213
2015,"External",2,62414,4.68543674014796
2015,"Other",2,429594,32.249743822654
2016,"Cancer",1,321062,23.0688259516568
2016,"Cardiopulmonary",1,554848,39.8667296086889
2016,"External",1,133894,9.62050128003667
2016,"Other",1,381953,27.4439431596177
2016,"Cancer",2,289259,21.6356733290749
2016,"Cardiopulmonary",2,545860,40.828629855627
2016,"External",2,65541,4.90226290508125
2016,"Other",2,436294,32.6334339102168
