"cause","sex","age","year","deaths"
"Unintentional",1,0,1980,2731
"Unintentional",1,0,1981,2548
"Unintentional",1,0,1982,2474
"Unintentional",1,0,1983,2452
"Unintentional",1,0,1984,2243
"Unintentional",1,0,1985,2301
"Unintentional",1,0,1986,2288
"Unintentional",1,0,1987,2382
"Unintentional",1,0,1988,2295
"Unintentional",1,0,1989,2265
"Unintentional",1,0,1990,2121
"Unintentional",1,0,1991,2157
"Unintentional",1,0,1992,2005
"Unintentional",1,0,1993,2092
"Unintentional",1,0,1994,2049
"Unintentional",1,0,1995,1815
"Unintentional",1,0,1996,1782
"Unintentional",1,0,1997,1667
"Unintentional",1,0,1998,1653
"Unintentional",1,0,1999,1694
"Unintentional",1,0,2000,1650
"Unintentional",1,0,2001,1652
"Unintentional",1,0,2002,1651
"Unintentional",1,0,2003,1650
"Unintentional",1,0,2004,1642
"Unintentional",1,0,2005,1717
"Unintentional",1,0,2006,1675
"Unintentional",1,0,2007,1775
"Unintentional",1,0,2008,1728
"Unintentional",1,0,2009,1734
"Unintentional",1,0,2010,1613
"Unintentional",1,0,2011,1551
"Unintentional",1,0,2012,1574
"Unintentional",1,0,2013,1575
"Unintentional",1,0,2014,1492
"Unintentional",1,0,2015,1604
"Unintentional",1,0,2016,1568
"Unintentional",1,5,1980,3604
"Unintentional",1,5,1981,3389
"Unintentional",1,5,1982,3064
"Unintentional",1,5,1983,2996
"Unintentional",1,5,1984,2925
"Unintentional",1,5,1985,2920
"Unintentional",1,5,1986,2949
"Unintentional",1,5,1987,2954
"Unintentional",1,5,1988,2847
"Unintentional",1,5,1989,2742
"Unintentional",1,5,1990,2453
"Unintentional",1,5,1991,2520
"Unintentional",1,5,1992,2309
"Unintentional",1,5,1993,2286
"Unintentional",1,5,1994,2351
"Unintentional",1,5,1995,2319
"Unintentional",1,5,1996,2214
"Unintentional",1,5,1997,2144
"Unintentional",1,5,1998,2136
"Unintentional",1,5,1999,2010
"Unintentional",1,5,2000,1909
"Unintentional",1,5,2001,1838
"Unintentional",1,5,2002,1764
"Unintentional",1,5,2003,1697
"Unintentional",1,5,2004,1696
"Unintentional",1,5,2005,1529
"Unintentional",1,5,2006,1417
"Unintentional",1,5,2007,1356
"Unintentional",1,5,2008,1228
"Unintentional",1,5,2009,1081
"Unintentional",1,5,2010,1081
"Unintentional",1,5,2011,1086
"Unintentional",1,5,2012,1011
"Unintentional",1,5,2013,985
"Unintentional",1,5,2014,1002
"Unintentional",1,5,2015,966
"Unintentional",1,5,2016,1031
"Unintentional",1,15,1980,21209
"Unintentional",1,15,1981,18934
"Unintentional",1,15,1982,17202
"Unintentional",1,15,1983,15698
"Unintentional",1,15,1984,15651
"Unintentional",1,15,1985,15035
"Unintentional",1,15,1986,15785
"Unintentional",1,15,1987,14575
"Unintentional",1,15,1988,14498
"Unintentional",1,15,1989,12907
"Unintentional",1,15,1990,12685
"Unintentional",1,15,1991,11764
"Unintentional",1,15,1992,10508
"Unintentional",1,15,1993,10912
"Unintentional",1,15,1994,10747
"Unintentional",1,15,1995,10591
"Unintentional",1,15,1996,10553
"Unintentional",1,15,1997,10057
"Unintentional",1,15,1998,10135
"Unintentional",1,15,1999,9939
"Unintentional",1,15,2000,10198
"Unintentional",1,15,2001,10542
"Unintentional",1,15,2002,11049
"Unintentional",1,15,2003,10788
"Unintentional",1,15,2004,10739
"Unintentional",1,15,2005,11071
"Unintentional",1,15,2006,11393
"Unintentional",1,15,2007,10944
"Unintentional",1,15,2008,9581
"Unintentional",1,15,2009,8269
"Unintentional",1,15,2010,8122
"Unintentional",1,15,2011,8114
"Unintentional",1,15,2012,7798
"Unintentional",1,15,2013,7368
"Unintentional",1,15,2014,7599
"Unintentional",1,15,2015,7778
"Unintentional",1,15,2016,8448
"Unintentional",1,25,1980,14473
"Unintentional",1,25,1981,14689
"Unintentional",1,25,1982,13520
"Unintentional",1,25,1983,13078
"Unintentional",1,25,1984,13286
"Unintentional",1,25,1985,13316
"Unintentional",1,25,1986,14112
"Unintentional",1,25,1987,13698
"Unintentional",1,25,1988,13723
"Unintentional",1,25,1989,13355
"Unintentional",1,25,1990,12927
"Unintentional",1,25,1991,11989
"Unintentional",1,25,1992,11276
"Unintentional",1,25,1993,11487
"Unintentional",1,25,1994,10950
"Unintentional",1,25,1995,10843
"Unintentional",1,25,1996,10182
"Unintentional",1,25,1997,10093
"Unintentional",1,25,1998,9620
"Unintentional",1,25,1999,8454
"Unintentional",1,25,2000,8446
"Unintentional",1,25,2001,8504
"Unintentional",1,25,2002,8839
"Unintentional",1,25,2003,8567
"Unintentional",1,25,2004,8839
"Unintentional",1,25,2005,9231
"Unintentional",1,25,2006,9731
"Unintentional",1,25,2007,9639
"Unintentional",1,25,2008,9263
"Unintentional",1,25,2009,8616
"Unintentional",1,25,2010,8827
"Unintentional",1,25,2011,9103
"Unintentional",1,25,2012,9185
"Unintentional",1,25,2013,9156
"Unintentional",1,25,2014,9495
"Unintentional",1,25,2015,10433
"Unintentional",1,25,2016,12122
"Unintentional",1,35,1980,7644
"Unintentional",1,35,1981,7592
"Unintentional",1,35,1982,7327
"Unintentional",1,35,1983,7458
"Unintentional",1,35,1984,7585
"Unintentional",1,35,1985,7989
"Unintentional",1,35,1986,8309
"Unintentional",1,35,1987,8750
"Unintentional",1,35,1988,9252
"Unintentional",1,35,1989,9409
"Unintentional",1,35,1990,9365
"Unintentional",1,35,1991,9399
"Unintentional",1,35,1992,9844
"Unintentional",1,35,1993,10876
"Unintentional",1,35,1994,11067
"Unintentional",1,35,1995,11535
"Unintentional",1,35,1996,11405
"Unintentional",1,35,1997,11723
"Unintentional",1,35,1998,11919
"Unintentional",1,35,1999,9974
"Unintentional",1,35,2000,10165
"Unintentional",1,35,2001,10446
"Unintentional",1,35,2002,10435
"Unintentional",1,35,2003,10416
"Unintentional",1,35,2004,9968
"Unintentional",1,35,2005,9993
"Unintentional",1,35,2006,10076
"Unintentional",1,35,2007,9846
"Unintentional",1,35,2008,9095
"Unintentional",1,35,2009,8504
"Unintentional",1,35,2010,8089
"Unintentional",1,35,2011,8290
"Unintentional",1,35,2012,8164
"Unintentional",1,35,2013,7967
"Unintentional",1,35,2014,8140
"Unintentional",1,35,2015,8954
"Unintentional",1,35,2016,10152
"Unintentional",1,45,1980,6685
"Unintentional",1,45,1981,6482
"Unintentional",1,45,1982,5797
"Unintentional",1,45,1983,5496
"Unintentional",1,45,1984,5456
"Unintentional",1,45,1985,5283
"Unintentional",1,45,1986,5380
"Unintentional",1,45,1987,5196
"Unintentional",1,45,1988,5618
"Unintentional",1,45,1989,5570
"Unintentional",1,45,1990,5422
"Unintentional",1,45,1991,5324
"Unintentional",1,45,1992,5635
"Unintentional",1,45,1993,6121
"Unintentional",1,45,1994,6624
"Unintentional",1,45,1995,7043
"Unintentional",1,45,1996,7411
"Unintentional",1,45,1997,7976
"Unintentional",1,45,1998,8379
"Unintentional",1,45,1999,7718
"Unintentional",1,45,2000,8181
"Unintentional",1,45,2001,8889
"Unintentional",1,45,2002,9198
"Unintentional",1,45,2003,9805
"Unintentional",1,45,2004,10448
"Unintentional",1,45,2005,10906
"Unintentional",1,45,2006,11356
"Unintentional",1,45,2007,11460
"Unintentional",1,45,2008,11176
"Unintentional",1,45,2009,10958
"Unintentional",1,45,2010,10591
"Unintentional",1,45,2011,11222
"Unintentional",1,45,2012,10717
"Unintentional",1,45,2013,10395
"Unintentional",1,45,2014,10510
"Unintentional",1,45,2015,10688
"Unintentional",1,45,2016,11248
"Unintentional",1,55,1980,6476
"Unintentional",1,55,1981,6388
"Unintentional",1,55,1982,5898
"Unintentional",1,55,1983,5702
"Unintentional",1,55,1984,5652
"Unintentional",1,55,1985,5724
"Unintentional",1,55,1986,5442
"Unintentional",1,55,1987,5450
"Unintentional",1,55,1988,5227
"Unintentional",1,55,1989,5262
"Unintentional",1,55,1990,4975
"Unintentional",1,55,1991,4567
"Unintentional",1,55,1992,4465
"Unintentional",1,55,1993,4410
"Unintentional",1,55,1994,4451
"Unintentional",1,55,1995,4567
"Unintentional",1,55,1996,4697
"Unintentional",1,55,1997,4889
"Unintentional",1,55,1998,5033
"Unintentional",1,55,1999,4956
"Unintentional",1,55,2000,5159
"Unintentional",1,55,2001,5197
"Unintentional",1,55,2002,5637
"Unintentional",1,55,2003,6136
"Unintentional",1,55,2004,6375
"Unintentional",1,55,2005,7064
"Unintentional",1,55,2006,7221
"Unintentional",1,55,2007,7613
"Unintentional",1,55,2008,8060
"Unintentional",1,55,2009,8003
"Unintentional",1,55,2010,8490
"Unintentional",1,55,2011,9127
"Unintentional",1,55,2012,9373
"Unintentional",1,55,2013,9792
"Unintentional",1,55,2014,10092
"Unintentional",1,55,2015,10964
"Unintentional",1,55,2016,12040
"Unintentional",1,65,1980,5444
"Unintentional",1,65,1981,5517
"Unintentional",1,65,1982,5001
