"","age","sex","median.error","median.abs.error","rmse"
"1",0,1,0.318610496057466,0.413743320522566,0.79046885839684
"2",0,2,0.2973216272571,0.353299343290901,0.652542332035098
"3",5,1,0.143227885939785,0.179798426349846,0.401770619527068
"4",5,2,0.129965969913097,0.144619141690334,0.317440620761122
"5",15,1,0.155018360429463,0.220052083608226,0.504612917360111
"6",15,2,0.123599256456886,0.134346182097509,0.271467721100523
"7",25,1,0.161552709181659,0.220019359943781,0.435716921488835
"8",25,2,0.124098784368293,0.135522877266852,0.273108749885419
"9",35,1,0.174104850203421,0.225215339529639,0.428791776510163
"10",35,2,0.131757123786304,0.143829382810613,0.287385129099798
"11",45,1,0.207471660437586,0.255870807666263,0.471560661431339
"12",45,2,0.150210192489988,0.163741083889926,0.342936566318318
"13",55,1,0.262485632338693,0.303824680083219,0.51789516010151
"14",55,2,0.178656177865829,0.192900366666566,0.386650466286487
"15",65,1,0.336643966811338,0.381655836696507,0.697230520757496
"16",65,2,0.219330085346178,0.235766862156537,0.490907048839653
"17",75,1,0.580693836575691,0.648658211618449,1.23553539860172
"18",75,2,0.327608954375778,0.358938963306607,0.758460047930001
"19",85,1,1.67611626340182,1.79640017705495,3.77004371598937
"20",85,2,0.708086317484458,0.746957538835359,1.6782698864712
