"","age","sex","median.error","median.abs.error","rmse"
"1",0,1,0.229653067330233,0.244620350959112,0.517525730736758
"2",0,2,0.221924999807622,0.231436526001066,0.521124664153694
"3",5,1,0.113166470796848,0.119107875739671,0.269343137476927
"4",5,2,0.110425889719123,0.113013632610684,0.263968646882639
"5",15,1,0.159008187383831,0.189153478282398,0.351749059464993
"6",15,2,0.112373347748045,0.119565274766471,0.250559025932277
"7",25,1,0.188948409629702,0.229037612824602,0.39639158441122
"8",25,2,0.118966515696592,0.127689918649105,0.266715984612062
"9",35,1,0.239139756702379,0.290275426879738,0.467638513536306
"10",35,2,0.139166732889099,0.155947341545928,0.305857678388172
"11",45,1,0.228207177638242,0.41164901878124,0.65581424217127
"12",45,2,0.200899385167114,0.228093451240683,0.422507257329938
"13",55,1,0.243970862886298,0.570580926097078,0.898434594071656
"14",55,2,0.299985950302245,0.353427024282764,0.590095141191176
"15",65,1,0.331822458850131,0.852546134599307,1.5353318839648
"16",65,2,0.31034556766036,0.6862080796791,1.05509579847756
"17",75,1,0.62590728829098,1.98261123513343,4.02101449237853
"18",75,2,0.405009967712983,1.36904750657188,2.70918251002265
"19",85,1,2.15007675767923,7.17587337007256,15.5999963195892
"20",85,2,0.910051696429916,3.88902246471125,8.9285763925824
