"","age","sex","median.error","median.abs.error","rmse"
"1",0,1,0.30475134464661,2.45535376812264,5.38876875759926
"2",0,2,0.30896674540328,2.26568682013907,4.99242756115432
"3",5,1,0.154853560776938,0.609420130439975,1.32138199756071
"4",5,2,0.162360298644082,0.539310613802563,1.14121930983444
"5",15,1,0.144688712543595,1.19060254271586,3.08185452667657
"6",15,2,0.158194373145369,0.813863429855096,1.74425832470501
"7",25,1,0.13053431219124,1.27858872032818,3.14955293829374
"8",25,2,0.142241437093051,0.921549404217557,1.96784886390103
"9",35,1,0.130814755549093,1.46883211495349,4.25570466010855
"10",35,2,0.15724655573862,1.29810782740121,2.98868829821485
"11",45,1,0.162180431036659,2.75297907047021,6.8399320624934
"12",45,2,0.171781019850113,2.24935272656062,5.06887027322852
"13",55,1,0.212116848223858,5.10097597945316,11.5430969298869
"14",55,2,0.259001866756339,3.87166313850202,8.5835004986825
"15",65,1,0.583717128255917,9.14814941529937,20.9011523148698
"16",65,2,0.218211997646874,6.60803892635789,15.3326198198775
"17",75,1,0.561405455594237,19.0324444969111,47.0986189348046
"18",75,2,0.464384366614425,12.093068057926,30.853073487037
"19",85,1,2.52797756673372,53.1354850595287,146.385439362074
"20",85,2,1.03668521527749,28.0914602579767,87.1416020853987
