"","age","sex","median.error","median.abs.error","rmse"
"1",0,1,0.193118617224573,0.193118617224573,0.452449261844988
"2",0,2,0.201843291475502,0.201843291475502,0.472109975788208
"3",5,1,0.170208256047562,0.198128101599331,0.373988893606616
"4",5,2,0.136833609963385,0.14932610020381,0.310435135721555
"5",15,1,0.137709752104161,0.548006555662477,1.19631970707454
"6",15,2,0.156973024281207,0.32592372699135,0.57400855647077
"7",25,1,0.141278028905325,0.606100600956849,1.28394457429063
"8",25,2,0.151229814238865,0.346894753213634,0.627063060991857
"9",35,1,0.158637382018122,0.62744643250321,1.32200197494344
"10",35,2,0.152257582179639,0.385540751607181,0.740755780076687
"11",45,1,0.183752745734098,0.70533896272705,1.44696261776917
"12",45,2,0.179715197409266,0.43745361303099,0.846843318293568
"13",55,1,0.229614508529903,0.78518126687313,1.61735966878976
"14",55,2,0.240419700088014,0.502130913185044,0.842985420447215
"15",65,1,0.321697095692236,1.04944646448983,2.06922335325608
"16",65,2,0.385522245540418,0.535716047582355,0.88239718021771
"17",75,1,0.637763553033674,1.80971636807993,3.79808637459309
"18",75,2,0.540401747175631,0.636530906267141,1.11167495168596
"19",85,1,2.85959551634204,5.10313355711713,8.66668224880105
"20",85,2,0.889528910942585,1.00605523908596,1.94879044307946
