"","age","sex","median.error","median.abs.error","rmse"
"1",0,1,0.427627032789897,0.497063710764329,0.839154507305733
"2",0,2,0.420027374375981,0.479890822481008,0.819495573735771
"3",5,1,0.219648120105747,0.271224334385971,0.474034486465916
"4",5,2,0.190363950573978,0.21741723067905,0.405950506661628
"5",15,1,0.134789610872595,0.675454626978641,1.84186392070163
"6",15,2,0.162772951779973,0.404299303209555,0.760018268987438
"7",25,1,0.139299058467023,0.73876942847794,1.62417175601057
"8",25,2,0.146246888551245,0.42918909572815,0.806015058572009
"9",35,1,0.145220911451616,0.724351600829405,1.55919334397277
"10",35,2,0.143358933830531,0.452910232453494,0.887602437515702
"11",45,1,0.163587577533923,0.775719432480503,1.6775502105664
"12",45,2,0.179486226426905,0.493644369755936,0.948707090697471
"13",55,1,0.222237345878843,0.854594732892735,1.78165237075658
"14",55,2,0.232088905548519,0.534623454705625,0.937232557742168
"15",65,1,0.311454574820662,1.10447776073122,2.19371269303407
"16",65,2,0.341098132845321,0.604941780923869,0.994680873690541
"17",75,1,0.614349139002598,1.87402224901717,3.96175883253752
"18",75,2,0.590748489582103,0.768854625072567,1.27892275237955
"19",85,1,2.6536254365855,5.22039405498443,9.04359770745823
"20",85,2,1.04287632334556,1.22436749319151,2.2478292429278
