"","age","sex","median.error","median.abs.error","rmse"
"1",0,1,0.338966057570582,0.819156508240898,1.52286967152379
"2",0,2,0.355047054776483,0.786837277959699,1.36849074698039
"3",5,1,0.163317088417062,0.408936060584011,0.862802016793243
"4",5,2,0.184500660872722,0.360076113914375,0.693125902521901
"5",15,1,0.137645373949802,0.765143635103879,1.7779093166554
"6",15,2,0.142783324777135,0.51458630050188,1.14813099896659
"7",25,1,0.138857192968505,0.777466919778676,1.74912332453861
"8",25,2,0.131506713446568,0.483057228127195,1.05146843714079
"9",35,1,0.144486846492467,0.759216911673979,1.7419984480904
"10",35,2,0.142870068868282,0.512728520798823,1.07759606109605
"11",45,1,0.176553948297849,0.867083287771957,1.94707758435818
"12",45,2,0.169178368513223,0.590690027960366,1.23924725016941
"13",55,1,0.22090064674836,1.02162708599875,2.21717470709113
"14",55,2,0.201890459984078,0.703903688155849,1.3933287194948
"15",65,1,0.351068708123233,1.43727157374908,3.09326802402433
"16",65,2,0.255316664600373,0.973913641548515,2.01354806134691
"17",75,1,0.600279629905179,3.01096615070446,6.43552671558544
"18",75,2,0.39323930386801,1.84761824811036,3.96539101241627
"19",85,1,1.97869546849266,9.57726644274111,20.7372572803835
"20",85,2,0.871128536904696,4.99370323014612,11.0945019957258
