"fips","sex","age","year","stateFips","countyFips","pop"
"02230",2,0,2005,"02","230",28
"02158",2,20,2005,"02","158",277
"02195",2,35,2005,"02","195",130
"02158",2,15,2005,"02","158",475
"02195",1,70,2005,"02","195",30
"02105",2,20,2005,"02","105",57
"02230",1,30,2005,"02","230",48
"46102",2,70,2005,"46","102",89
"46102",2,60,2005,"46","102",200
"46102",2,50,2005,"46","102",316
"46102",2,40,2005,"46","102",406
"46102",2,35,2005,"46","102",402
"46102",2,20,2005,"46","102",539
"46102",2,15,2005,"46","102",807
"46102",2,10,2005,"46","102",844
"46102",2,5,2005,"46","102",430
"46102",1,70,2005,"46","102",85
"46102",1,55,2005,"46","102",234
"46102",1,50,2005,"46","102",236
"46102",1,35,2005,"46","102",379
"46102",1,20,2005,"46","102",628
"46102",1,65,2005,"46","102",124
"02275",2,65,2005,"02","275",50
"02105",2,15,2005,"02","105",81
"46102",1,80,2005,"46","102",25
"02158",2,25,2005,"02","158",310
"02275",1,0,2005,"02","275",57
"02198",2,80,2005,"02","198",22
"02275",2,70,2005,"02","275",33
"02230",1,75,2005,"02","230",3
"02158",1,40,2005,"02","158",212
"02275",2,5,2005,"02","275",40
"46102",1,5,2005,"46","102",329
"02275",1,40,2005,"02","275",80
"46102",1,15,2005,"46","102",829
"46102",2,65,2005,"46","102",143
"02198",2,0,2005,"02","198",156
"02158",1,20,2005,"02","158",303
"46102",2,30,2005,"46","102",407
"46102",1,40,2005,"46","102",438
"02230",1,15,2005,"02","230",19
"02158",2,55,2005,"02","158",109
"02195",2,70,2005,"02","195",48
"46102",2,85,2005,"46","102",29
"02195",1,65,2005,"02","195",69
"02105",2,35,2005,"02","105",68
"02230",2,55,2005,"02","230",33
"02105",1,60,2005,"02","105",82
"02195",1,55,2005,"02","195",159
"02230",2,10,2005,"02","230",17
"02230",1,85,2005,"02","230",4
"46102",1,60,2005,"46","102",135
"02195",2,60,2005,"02","195",78
"02105",2,0,2005,"02","105",62
"02158",1,75,2005,"02","158",26
"02158",1,5,2005,"02","158",198
"46102",1,30,2005,"46","102",377
"46102",2,55,2005,"46","102",211
"02230",1,60,2005,"02","230",27
"02275",2,60,2005,"02","275",69
"46102",1,25,2005,"46","102",670
"02230",2,80,2005,"02","230",5
"02195",1,30,2005,"02","195",104
"02198",2,40,2005,"02","198",234
"02275",2,30,2005,"02","275",50
"02230",1,5,2005,"02","230",31
"02198",2,5,2005,"02","198",136
"02275",2,15,2005,"02","275",81
"02158",1,70,2005,"02","158",48
"02158",1,45,2005,"02","158",233
"02195",1,5,2005,"02","195",96
"02198",2,60,2005,"02","198",115
"02230",1,70,2005,"02","230",8
"02158",1,30,2005,"02","158",193
"02198",1,70,2005,"02","198",59
"02158",2,35,2005,"02","158",210
"02198",1,10,2005,"02","198",253
"02230",2,60,2005,"02","230",28
"02198",2,85,2005,"02","198",14
"02198",1,15,2005,"02","198",215
"02275",2,10,2005,"02","275",89
"02275",1,75,2005,"02","275",33
"02158",2,45,2005,"02","158",171
"02105",1,5,2005,"02","105",62
"02195",2,10,2005,"02","195",145
"46102",2,45,2005,"46","102",330
"02230",2,20,2005,"02","230",24
"02195",2,5,2005,"02","195",94
"02198",1,50,2005,"02","198",291
"02105",2,55,2005,"02","105",85
"02195",2,25,2005,"02","195",129
"46102",1,0,2005,"46","102",769
"02105",1,65,2005,"02","105",69
"02105",1,25,2005,"02","105",50
"46102",1,75,2005,"46","102",46
"02198",1,40,2005,"02","198",242
"02275",2,45,2005,"02","275",92
"02158",1,25,2005,"02","158",419
"46102",2,25,2005,"46","102",657
"02198",1,5,2005,"02","198",179
"02198",1,30,2005,"02","198",133
"02158",2,50,2005,"02","158",136
"02158",1,15,2005,"02","158",500
"02158",1,50,2005,"02","158",142
"02195",2,75,2005,"02","195",37
"02105",2,80,2005,"02","105",9
"02230",1,55,2005,"02","230",44
"46102",2,75,2005,"46","102",61
"02198",2,35,2005,"02","198",183
"02275",2,35,2005,"02","275",60
"02198",2,25,2005,"02","198",181
"02195",2,65,2005,"02","195",48
"02158",2,0,2005,"02","158",397
"46102",1,85,2005,"46","102",19
"02275",2,25,2005,"02","275",70
"02198",1,75,2005,"02","198",43
"02195",2,50,2005,"02","195",158
"02195",1,35,2005,"02","195",139
"02230",2,45,2005,"02","230",42
"02105",2,65,2005,"02","105",54
"02198",2,45,2005,"02","198",232
"46102",2,80,2005,"46","102",47
"02195",2,55,2005,"02","195",153
"02158",1,60,2005,"02","158",79
"02195",2,30,2005,"02","195",91
"02275",2,85,2005,"02","275",29
"02158",1,65,2005,"02","158",64
"02158",2,70,2005,"02","158",65
"02198",1,45,2005,"02","198",284
"02195",2,15,2005,"02","195",172
"02195",1,40,2005,"02","195",146
"02105",1,85,2005,"02","105",4
"02195",1,10,2005,"02","195",185
"02158",2,85,2005,"02","158",19
"02158",2,30,2005,"02","158",187
"02195",2,85,2005,"02","195",25
"02275",1,50,2005,"02","275",130
"02230",1,65,2005,"02","230",17
"02105",2,70,2005,"02","105",23
"02105",1,40,2005,"02","105",99
"02105",1,55,2005,"02","105",124
"02105",1,50,2005,"02","105",120
"02275",1,35,2005,"02","275",57
"02105",1,20,2005,"02","105",68
"02195",1,0,2005,"02","195",117
"02275",1,70,2005,"02","275",35
"02230",1,80,2005,"02","230",5
"02198",1,55,2005,"02","198",238
"02230",2,40,2005,"02","230",43
"02198",1,25,2005,"02","198",197
"02105",2,5,2005,"02","105",48
"02105",1,75,2005,"02","105",28
