"sex","age","year","stateFips","pop.old","pop.new","diff","percent.change"
1,0,2005,"01",152198,150960,1238,0.813414105310188
1,0,2005,"02",25557,25326,231,0.903861955628595
1,0,2005,"04",237977,227461,10516,4.41891443290738
1,0,2005,"05",96739,97390,651,0.672944727565925
1,0,2005,"06",1362013,1306586,55427,4.06949126036242
1,0,2005,"08",172774,169234,3540,2.04891939759455
1,0,2005,"09",107342,108196,854,0.795587933893537
1,0,2005,"10",28733,28016,717,2.49538857759371
1,0,2005,"11",17808,16296,1512,8.49056603773585
1,0,2005,"12",562475,546474,16001,2.8447486554958
1,0,2005,"13",351928,341559,10369,2.94634129708349
1,0,2005,"15",45297,42690,2607,5.75534803629379
1,0,2005,"16",56394,56822,428,0.758945987161755
1,0,2005,"17",457353,442699,14654,3.20408962005278
1,0,2005,"18",220745,219722,1023,0.46343065528098
1,0,2005,"19",97211,96981,230,0.236598738825853
1,0,2005,"20",98730,98265,465,0.470981464600425
1,0,2005,"21",140270,139649,621,0.442717616026235
1,0,2005,"22",163936,165029,1093,0.666723599453445
1,0,2005,"23",36309,36482,173,0.476465889999725
1,0,2005,"24",188399,187056,1343,0.712848794314195
1,0,2005,"25",200160,192409,7751,3.87240207833733
1,0,2005,"26",332348,330971,1377,0.414324743943096
1,0,2005,"27",175168,175061,107,0.0610842162952137
1,0,2005,"28",106685,105716,969,0.908281389136242
1,0,2005,"29",196074,193127,2947,1.50300396788967
1,0,2005,"30",29194,29074,120,0.411043365075015
1,0,2005,"31",64651,64742,91,0.140755750104407
1,0,2005,"32",90519,90152,367,0.405439741932633
1,0,2005,"33",37889,38432,543,1.43313362717411
1,0,2005,"34",288482,288175,307,0.106419118003896
1,0,2005,"35",71146,69637,1509,2.12099063896776
1,0,2005,"36",631624,603961,27663,4.379662584069
1,0,2005,"37",307190,303441,3749,1.22041733129334
1,0,2005,"38",19853,19876,23,0.115851508588123
1,0,2005,"39",379462,375691,3771,0.993775397800043
1,0,2005,"40",128343,126222,2121,1.6526027909586
1,0,2005,"41",117155,115224,1931,1.64824377960821
1,0,2005,"42",369832,368365,1467,0.396666594561855
1,0,2005,"44",32221,31618,603,1.87145029639055
1,0,2005,"45",143237,142314,923,0.644386576094166
1,0,2005,"46",27359,27166,193,0.705435140173252
1,0,2005,"47",201185,199788,1397,0.694385764346248
1,0,2005,"48",959990,933497,26493,2.75971624704424
1,0,2005,"49",125545,120183,5362,4.27097853359353
1,0,2005,"50",16964,17013,49,0.288846970054232
1,0,2005,"51",258537,255788,2749,1.06329074755257
1,0,2005,"53",207978,206129,1849,0.889036340382156
1,0,2005,"54",53550,53207,343,0.640522875816993
1,0,2005,"55",177623,178489,866,0.487549472759721
1,0,2005,"56",16791,17234,443,2.63831814662617
1,10,2005,"01",161999,165333,3334,2.05803739529256
1,10,2005,"02",27050,27892,842,3.11275415896488
1,10,2005,"04",220358,217232,3126,1.41860064077547
1,10,2005,"05",97687,99201,1514,1.54984798386684
1,10,2005,"06",1403663,1421246,17583,1.25265109930233
1,10,2005,"08",162502,165204,2702,1.66274876616903
1,10,2005,"09",125744,128290,2546,2.02474869576282
1,10,2005,"10",29582,30125,543,1.83557568791833
1,10,2005,"11",16443,15796,647,3.93480508423037
1,10,2005,"12",577493,590420,12927,2.23846869139539
1,10,2005,"13",338807,338187,620,0.182995038473231
1,10,2005,"15",43521,44798,1277,2.93421566600032
1,10,2005,"16",54958,56826,1868,3.39895920521125
1,10,2005,"17",468203,473075,4872,1.04057428081409
1,10,2005,"18",228522,233435,4913,2.14990241639755
1,10,2005,"19",104179,106397,2218,2.12902792309391
1,10,2005,"20",99697,101806,2109,2.11540969136484
1,10,2005,"21",144680,147050,2370,1.63809787116395
1,10,2005,"22",169231,172735,3504,2.07054263107823
1,10,2005,"23",43453,44907,1454,3.34614410972775
1,10,2005,"24",202304,207769,5465,2.70138010123379
1,10,2005,"25",215927,220487,4560,2.11182482968781
1,10,2005,"26",377869,384421,6552,1.73393424705387
1,10,2005,"27",183895,188136,4241,2.30620734658365
1,10,2005,"28",110120,111665,1545,1.40301489284417
1,10,2005,"29",206375,210197,3822,1.85196850393701
1,10,2005,"30",32472,33209,737,2.26964769647696
1,10,2005,"31",63127,64386,1259,1.99439225687899
1,10,2005,"32",87527,88560,1033,1.18020725033418
1,10,2005,"33",46559,47992,1433,3.07781524517279
1,10,2005,"34",310478,314863,4385,1.41233839434678
1,10,2005,"35",72884,73548,664,0.911036715877284
1,10,2005,"36",673658,678708,5050,0.749638540624471
1,10,2005,"37",303146,308390,5244,1.72985953962777
1,10,2005,"38",21498,21864,366,1.70248395199553
1,10,2005,"39",411018,420141,9123,2.21961081996409
1,10,2005,"40",125894,126841,947,0.752220121689675
1,10,2005,"41",123066,124649,1583,1.28630165927226
1,10,2005,"42",426050,437069,11019,2.58631616007511
1,10,2005,"44",36565,36567,2,0.00546971147271981
1,10,2005,"45",149982,152036,2054,1.3694976730541
1,10,2005,"46",28096,28335,239,0.850654897494305
1,10,2005,"47",207311,213528,6217,2.99887608472295
1,10,2005,"48",881347,894335,12988,1.47365339644884
1,10,2005,"49",101987,102917,930,0.911880926000373
1,10,2005,"50",20928,21878,950,4.53937308868502
1,10,2005,"51",260181,266559,6378,2.45137039215008
1,10,2005,"53",223702,226454,2752,1.2302080446308
1,10,2005,"54",57521,58201,680,1.1821769440726
1,10,2005,"55",195772,202239,6467,3.30333244794966
1,10,2005,"56",17742,18298,556,3.13380678615714
1,15,2005,"01",163691,169052,5361,3.27507315612954
1,15,2005,"02",27738,28762,1024,3.69168649506093
1,15,2005,"04",212876,218017,5141,2.41502095116406
1,15,2005,"05",99840,101808,1968,1.97115384615385
1,15,2005,"06",1372528,1390427,17899,1.30408997120642
1,15,2005,"08",163001,172217,9216,5.65395304323286
1,15,2005,"09",126048,127917,1869,1.48276846915461
1,15,2005,"10",30043,30919,876,2.91582065705822
1,15,2005,"11",18351,18306,45,0.245218244237371
1,15,2005,"12",582152,608537,26385,4.53232145556487
1,15,2005,"13",339385,338996,389,0.114619090413542
1,15,2005,"15",43435,43805,370,0.851847588350409
1,15,2005,"16",55141,57016,1875,3.4003735877115
1,15,2005,"17",469910,471806,1896,0.403481517737439
1,15,2005,"18",228796,237578,8782,3.83835381737443
1,15,2005,"19",110713,112648,1935,1.74776223207753
1,15,2005,"20",105127,107972,2845,2.70625053506711
1,15,2005,"21",143878,148960,5082,3.53215919042522
1,15,2005,"22",172743,177103,4360,2.52398071122998
1,15,2005,"23",46521,48740,2219,4.76988886739322
1,15,2005,"24",205132,206297,1165,0.567926993350623
1,15,2005,"25",223953,232943,8990,4.01423512969239
1,15,2005,"26",378219,386090,7871,2.08106943331773
1,15,2005,"27",190356,194612,4256,2.23581079661266
1,15,2005,"28",112527,113696,1169,1.03886178428288
1,15,2005,"29",210715,217843,7128,3.38276819400612
1,15,2005,"30",35051,36792,1741,4.96704801574848
1,15,2005,"31",67374,68477,1103,1.63713005016772
1,15,2005,"32",78231,82461,4230,5.4070636959773
1,15,2005,"33",47249,48977,1728,3.65722025862981
1,15,2005,"34",301548,302449,901,0.298791568838129
1,15,2005,"35",75238,77608,2370,3.15000398734682
1,15,2005,"36",702813,699618,3195,0.454601721937414
1,15,2005,"37",304105,314065,9960,3.27518455796518
1,15,2005,"38",25908,26851,943,3.63980237764397
1,15,2005,"39",414911,425070,10159,2.44847690227543
1,15,2005,"40",128971,134714,5743,4.45293903280582
1,15,2005,"41",124836,129985,5149,4.12461149027524
1,15,2005,"42",454616,463247,8631,1.89852534886586
1,15,2005,"44",40903,41182,279,0.682101557342982
1,15,2005,"45",157000,162296,5296,3.37324840764331
1,15,2005,"46",29945,31114,1169,3.90382367674069
1,15,2005,"47",203913,212235,8322,4.08115225610922
1,15,2005,"48",875398,900604,25206,2.8793760095408
1,15,2005,"49",100394,105004,4610,4.59190788294121
1,15,2005,"50",23776,25321,1545,6.49814939434724
1,15,2005,"51",266767,274179,7412,2.77845460645432
1,15,2005,"53",224714,231427,6713,2.98735281290885
1,15,2005,"54",60797,61691,894,1.47046729279405
1,15,2005,"55",206832,213692,6860,3.31670147752766
1,15,2005,"56",19417,20299,882,4.54241128907658
1,20,2005,"01",162590,163055,465,0.28599544867458
1,20,2005,"02",28242,29526,1284,4.54642022519652
1,20,2005,"04",222041,216575,5466,2.46170752248459
1,20,2005,"05",100665,99276,1389,1.37982416927433
1,20,2005,"06",1401034,1384388,16646,1.1881224866777
1,20,2005,"08",177752,177397,355,0.199716458886539
1,20,2005,"09",111571,109140,2431,2.17888160902026
1,20,2005,"10",29135,29275,140,0.480521709284366
1,20,2005,"11",22997,24536,1539,6.69217724050963
1,20,2005,"12",589480,590942,1462,0.248015199837145
1,20,2005,"13",336443,325141,11302,3.35926144993357
1,20,2005,"15",50325,53966,3641,7.23497267759563
1,20,2005,"16",57544,56431,1113,1.93417211177534
1,20,2005,"17",468085,453595,14490,3.09559161263446
1,20,2005,"18",231664,230723,941,0.406191725947925
1,20,2005,"19",115226,114122,1104,0.958117091628625
1,20,2005,"20",109631,108660,971,0.885698388229607
1,20,2005,"21",147437,152177,4740,3.21493247963537
1,20,2005,"22",177392,180247,2855,1.60942996301975
1,20,2005,"23",42764,40601,2163,5.05799270414367
1,20,2005,"24",186293,185350,943,0.506191859060727
1,20,2005,"25",221222,215967,5255,2.37544186382909
1,20,2005,"26",358336,350134,8202,2.2889131987855
1,20,2005,"27",189064,186726,2338,1.23661828798714
1,20,2005,"28",114582,112143,2439,2.12860658742211
1,20,2005,"29",210694,208889,1805,0.856692644308808
1,20,2005,"30",36258,36639,381,1.05080258149926
1,20,2005,"31",69181,69616,435,0.628785360142236
1,20,2005,"32",81451,82985,1534,1.8833409043474
1,20,2005,"33",43812,41796,2016,4.60147904683648
1,20,2005,"34",273863,263232,10631,3.8818679412699
1,20,2005,"35",75647,74508,1139,1.50567768715217
1,20,2005,"36",684819,666809,18010,2.62989198605763
1,20,2005,"37",306341,311112,4771,1.55741477634401
1,20,2005,"38",30320,32906,2586,8.52902374670185
1,20,2005,"39",404517,385851,18666,4.61439197858186
1,20,2005,"40",144318,143780,538,0.372787871228814
1,20,2005,"41",128326,127241,1085,0.845502859903683
1,20,2005,"42",424976,414143,10833,2.54908512480705
1,20,2005,"44",40051,39762,289,0.721579985518464
1,20,2005,"45",151316,155718,4402,2.90914377858257
1,20,2005,"46",31707,31109,598,1.8860188601886
1,20,2005,"47",205992,209466,3474,1.68647326109752
1,20,2005,"48",918129,903404,14725,1.60380512978024
1,20,2005,"49",128030,122423,5607,4.37944231820667
1,20,2005,"50",22425,22531,106,0.472686733556299
1,20,2005,"51",274613,285461,10848,3.9502864030472
