cause,cause.sub
9100,Accidental drowning and submersion
9101,Accidental drowning and submersion
9102,Accidental drowning and submersion
9103,Accidental drowning and submersion
9104,Accidental drowning and submersion
9108,Accidental drowning and submersion
9109,Accidental drowning and submersion
W650,Accidental drowning and submersion
W660,Accidental drowning and submersion
W670,Accidental drowning and submersion
W680,Accidental drowning and submersion
W690,Accidental drowning and submersion
W700,Accidental drowning and submersion
W730,Accidental drowning and submersion
W740,Accidental drowning and submersion
8800,Accidental falls
8809,Accidental falls
8810,Accidental falls
8811,Accidental falls
8820,Accidental falls
8830,Accidental falls
8831,Accidental falls
8832,Accidental falls
8839,Accidental falls
8840,Accidental falls
8841,Accidental falls
8842,Accidental falls
8849,Accidental falls
8850,Accidental falls
8860,Accidental falls
8869,Accidental falls
8870,Accidental falls
8880,Accidental falls
W000,Accidental falls
W010,Accidental falls
W020,Accidental falls
W030,Accidental falls
W040,Accidental falls
W050,Accidental falls
W060,Accidental falls
W070,Accidental falls
W080,Accidental falls
W090,Accidental falls
W100,Accidental falls
W110,Accidental falls
W120,Accidental falls
W130,Accidental falls
W140,Accidental falls
W150,Accidental falls
W160,Accidental falls
W170,Accidental falls
W180,Accidental falls
W190,Accidental falls
9600,Assault
9601,Assault
9610,Assault
9620,Assault
9621,Assault
9622,Assault
9629,Assault
9630,Assault
9640,Assault
9650,Assault
9651,Assault
9652,Assault
9653,Assault
9654,Assault
9655,Assault
9656,Assault
9657,Assault
9658,Assault
9659,Assault
9660,Assault
9670,Assault
9671,Assault
9679,Assault
9680,Assault
9681,Assault
9682,Assault
9683,Assault
9684,Assault
9688,Assault
9689,Assault
9690,Assault
X850,Assault
X860,Assault
X870,Assault
X880,Assault
X890,Assault
X900,Assault
X910,Assault
X920,Assault
X930,Assault
X940,Assault
X950,Assault
X960,Assault
X970,Assault
X980,Assault
X990,Assault
Y000,Assault
Y010,Assault
Y020,Assault
Y030,Assault
Y040,Assault
Y050,Assault
Y060,Assault
Y061,Assault
Y062,Assault
Y068,Assault
Y069,Assault
Y070,Assault
Y071,Assault
Y072,Assault
Y073,Assault
Y078,Assault
Y079,Assault
Y080,Assault
Y090,Assault
9500,Intentional self-harm
9501,Intentional self-harm
9502,Intentional self-harm
9503,Intentional self-harm
