sex,age,(Intercept),year.centre,start.value,end.value,sex.long,Estimate,Std. Error,t value,Pr(>|t|),sig.test.10,sig.test.5,start.value.2,end.value.2,change.2
1,0,1.133877495,-0.004242716,1.133877495,1.002353292,Men,-0.004242716,0.000833996,-5.087213628,1.82E-05,1,1,13.4,0.2,-13.2
1,15,1.370701329,-0.007927772,1.370701329,1.124940397,Men,-0.007927772,0.001548569,-5.11941704,1.66E-05,1,1,37.1,12.5,-24.6
1,25,1.146065457,-0.00236369,1.146065457,1.07279107,Men,-0.00236369,0.001167917,-2.023850327,0.051971454,1,0,14.6,7.3,-7.3
1,35,1.011685206,-0.000211554,1.011685206,1.00512702,Men,-0.000211554,0.000929697,-0.227551904,0.821538321,0,0,1.2,0.5,-0.7
1,45,1.088292842,-0.001302143,1.088292842,1.047926394,Men,-0.001302143,0.000549842,-2.368213776,0.024515171,1,1,8.8,4.8,-4
1,5,1.392460902,-0.008585498,1.392460902,1.126310458,Men,-0.008585498,0.00175149,-4.901826444,3.07E-05,1,1,39.2,12.6,-26.6
1,55,1.135887197,-0.000718933,1.135887197,1.113600266,Men,-0.000718933,0.000706798,-1.017169217,0.317206424,0,0,13.6,11.4,-2.2
1,65,1.170459685,-0.00059938,1.170459685,1.151878898,Men,-0.00059938,0.000715267,-0.837981626,0.408667995,0,0,17,15.2,-1.8
1,75,1.248963954,-0.00068262,1.248963954,1.22780274,Men,-0.00068262,0.001334354,-0.511573294,0.612694811,0,0,24.9,22.8,-2.1
1,85,1.350069881,-0.001995817,1.350069881,1.288199551,Men,-0.001995817,0.002012993,-0.991467667,0.329387221,0,0,35,28.8,-6.2
2,0,1.091910888,-0.00161466,1.091910888,1.041856427,Women,-0.00161466,0.00115612,-1.396619908,0.172775636,0,0,9.2,4.2,-5
2,15,1.137780117,-0.004047321,1.137780117,1.012313176,Women,-0.004047321,0.001157291,-3.497236108,0.001487683,1,1,13.8,1.2,-12.6
2,25,1.02904445,-0.000407519,1.02904445,1.016411376,Women,-0.000407519,0.000763947,-0.533438019,0.597660743,0,0,2.9,1.6,-1.3
2,35,1.05618584,-7.69E-05,1.05618584,1.053800541,Women,-7.69E-05,0.000713804,-0.107795901,0.914875311,0,0,5.6,5.4,-0.2
2,45,1.101545739,-0.000398247,1.101545739,1.089200094,Women,-0.000398247,0.000722046,-0.551553132,0.585339817,0,0,10.2,8.9,-1.3
2,5,1.094634328,-0.00108019,1.094634328,1.061148435,Women,-0.00108019,0.002123952,-0.508575569,0.614769654,0,0,9.5,6.1,-3.4
2,55,1.133812901,-0.000128685,1.133812901,1.129823657,Women,-0.000128685,0.000912174,-0.141075348,0.888753467,0,0,13.4,13,-0.4
2,65,1.163451197,0.000135626,1.163451197,1.167655611,Women,0.000135626,0.000817291,0.165945999,0.869312771,0,0,16.3,16.8,0.5
2,75,1.245918739,-0.000341016,1.245918739,1.235347236,Women,-0.000341016,0.001431145,-0.238282131,0.813282381,0,0,24.6,23.5,-1.1
2,85,1.345064758,-0.000897298,1.345064758,1.317248514,Women,-0.000897298,0.002145092,-0.418302955,0.678704986,0,0,34.5,31.7,-2.8
