"","Age","Sex","Change per year","Per year 95% CI lower","Per year 95% CI higher","Change per decade","Per decade 95% CI lower","Per decade 95% CI higher","p-value"
"1","0-4","Men",0.1814,-0.8043,1.1672,1.814,-8.043,11.672,0.7205
"2","0-4","Women",-0.2304,-1.1036,0.6428,-2.304,-11.036,6.428,0.6083
"3","5-14","Men",-0.2902,-0.8794,0.299,-2.902,-8.794,2.99,0.3409
"4","5-14","Women",-0.3164,-1.0702,0.4373,-3.164,-10.702,4.373,0.4162
"5","15-24","Women",-0.073,-0.7386,0.5927,-0.73,-7.386,5.927,0.8312
"6","15-24","Men",-0.2058,-0.6822,0.2706,-2.058,-6.822,2.706,0.4029
"7","25-34","Women",0.3469,0.0072,0.6866,3.469,0.072,6.866,0.0532
"8","25-34","Men",-0.1773,-0.4823,0.1276,-1.773,-4.823,1.276,0.2621
"9","35-44","Men",0.1204,-0.0883,0.3292,1.204,-0.883,3.292,0.2658
"10","35-44","Women",-5e-04,-0.2204,0.2194,-0.005,-2.204,2.194,0.9964
"11","45-54","Men",-0.0089,-0.1065,0.0886,-0.089,-1.065,0.886,0.8585
"12","45-54","Women",-0.0615,-0.1936,0.0706,-0.615,-1.936,0.706,0.368
"13","55-64","Women",0.038,-0.0428,0.1188,0.38,-0.428,1.188,0.3632
"14","55-64","Men",0.0547,0.0018,0.1077,0.547,0.018,1.077,0.0505
"15","65-74","Women",-0.068,-0.1439,0.0078,-0.68,-1.439,0.078,0.0875
"16","65-74","Men",0.0342,-0.0303,0.0986,0.342,-0.303,0.986,0.3058
"17","75-84","Men",0.0609,-0.0136,0.1355,0.609,-0.136,1.355,0.1181
"18","75-84","Women",0.0207,-0.0525,0.0939,0.207,-0.525,0.939,0.5835
"19","85+","Men",-0.0161,-0.1276,0.0954,-0.161,-1.276,0.954,0.7788
"20","85+","Women",-0.0409,-0.1524,0.0706,-0.409,-1.524,0.706,0.4767
