"","Age","Sex","Change per year","Per year 95% CI lower","Per year 95% CI higher","Change per decade","Per decade 95% CI lower","Per decade 95% CI higher","p-value"
"1","0-4","Men",-1.2059,-1.9524,-0.4595,-12.059,-19.524,-4.595,0.0032
"2","0-4","Women",-0.724,-1.5381,0.09,-7.24,-15.381,0.9,0.0901
"3","5-14","Men",0.2168,-1.0804,1.5141,2.168,-10.804,15.141,0.7452
"4","5-14","Women",0.6423,-0.6512,1.9358,6.423,-6.512,19.358,0.3371
"5","15-24","Women",-0.0674,-0.8083,0.6735,-0.674,-8.083,6.735,0.8595
"6","15-24","Men",0.2119,-0.3737,0.7976,2.119,-3.737,7.976,0.4829
"7","25-34","Women",-0.0768,-0.5133,0.3597,-0.768,-5.133,3.597,0.7323
"8","25-34","Men",0.3675,0.0579,0.677,3.675,0.579,6.77,0.0259
"9","35-44","Men",0.1251,-0.0827,0.3328,1.251,-0.827,3.328,0.246
"10","35-44","Women",0.1431,-0.1391,0.4253,1.431,-1.391,4.253,0.3272
"11","45-54","Men",0.0253,-0.1003,0.151,0.253,-1.003,1.51,0.6949
"12","45-54","Women",0.1143,-0.0906,0.3193,1.143,-0.906,3.193,0.2815
"13","55-64","Women",0.0714,-0.1309,0.2737,0.714,-1.309,2.737,0.4939
"14","55-64","Men",0.0212,-0.1239,0.1663,0.212,-1.239,1.663,0.7765
"15","65-74","Women",0.0697,-0.1327,0.2722,0.697,-1.327,2.722,0.5039
"16","65-74","Men",0.0247,-0.135,0.1845,0.247,-1.35,1.845,0.7633
"17","75-84","Men",-0.0482,-0.2618,0.1655,-0.482,-2.618,1.655,0.6612
"18","75-84","Women",0.0338,-0.2061,0.2737,0.338,-2.061,2.737,0.7839
"19","85+","Men",-0.2732,-0.5358,-0.0107,-2.732,-5.358,-0.107,0.049
"20","85+","Women",-0.3213,-0.6195,-0.023,-3.213,-6.195,-0.23,0.042
