"","Age","Sex","Change per year","Per year 95% CI lower","Per year 95% CI higher","Change per decade","Per decade 95% CI lower","Per decade 95% CI higher","p-value"
"1","0-4","Men",-1.575,-2.7122,-0.4378,-15.75,-27.122,-4.378,0.0102
"2","0-4","Women",-2.0416,-3.7941,-0.289,-20.416,-37.941,-2.89,0.0286
"3","5-14","Men",-0.2507,-1.8984,1.3971,-2.507,-18.984,13.971,0.7673
"4","5-14","Women",-0.4518,-2.63,1.7265,-4.518,-26.3,17.265,0.6868
"5","15-24","Women",0.8198,-0.8109,2.4505,8.198,-8.109,24.505,0.3312
"6","15-24","Men",-0.4634,-1.7867,0.8599,-4.634,-17.867,8.599,0.497
"7","25-34","Women",0.147,-0.7768,1.0707,1.47,-7.768,10.707,0.757
"8","25-34","Men",0.2659,-0.6602,1.1921,2.659,-6.602,11.921,0.5771
"9","35-44","Men",1.0266,0.1733,1.8799,10.266,1.733,18.799,0.0241
"10","35-44","Women",-0.1276,-1.1899,0.9347,-1.276,-11.899,9.347,0.8152
"11","45-54","Men",0.1053,-0.3628,0.5735,1.053,-3.628,5.735,0.6619
"12","45-54","Women",-0.1761,-0.743,0.3907,-1.761,-7.43,3.907,0.5465
"13","55-64","Women",-0.5381,-1.0336,-0.0426,-5.381,-10.336,-0.426,0.0404
"14","55-64","Men",-0.1249,-0.5108,0.2611,-1.249,-5.108,2.611,0.5301
"15","65-74","Women",-0.3586,-0.7326,0.0154,-3.586,-7.326,0.154,0.0685
"16","65-74","Men",-0.0988,-0.488,0.2904,-0.988,-4.88,2.904,0.622
"17","75-84","Men",-0.1399,-0.5081,0.2284,-1.399,-5.081,2.284,0.4615
"18","75-84","Women",-0.2563,-0.7259,0.2133,-2.563,-7.259,2.133,0.2921
"19","85+","Men",-0.4382,-0.9142,0.0378,-4.382,-9.142,0.378,0.0798
"20","85+","Women",-0.8024,-1.3957,-0.2092,-8.024,-13.957,-2.092,0.012
