"","Age","Sex","Change per year","Per year 95% CI lower","Per year 95% CI higher","Change per decade","Per decade 95% CI lower","Per decade 95% CI higher","p-value"
"1","0-4","Men",-0.7043,-2.1534,0.7449,-7.043,-21.534,7.449,0.3473
"2","0-4","Women",1.9645,0.1547,3.7742,19.645,1.547,37.742,0.0405
"3","5-14","Men",0,0,0,0,0,0,0.7471
"4","5-14","Women",0,0,0,0,0,0,0.517
"5","15-24","Women",-0.0047,-225795.0623,225795.0529,-0.047,-2257950.623,2257950.529,1
"6","15-24","Men",-4.18,-294868.4756,294860.1157,-41.8,-2948684.756,2948601.157,1
"7","25-34","Women",-1.2388,-3.5936,1.116,-12.388,-35.936,11.16,0.3096
"8","25-34","Men",0.7037,-0.7697,2.177,7.037,-7.697,21.77,0.3556
"9","35-44","Men",-0.0905,-0.9337,0.7527,-0.905,-9.337,7.527,0.8346
"10","35-44","Women",0.0255,-0.9587,1.0097,0.255,-9.587,10.097,0.9598
"11","45-54","Men",-0.5531,-1.1236,0.0174,-5.531,-11.236,0.174,0.0656
"12","45-54","Women",-0.6283,-1.3104,0.0537,-6.283,-13.104,0.537,0.0796
"13","55-64","Women",-0.3899,-0.7879,0.008,-3.899,-7.879,0.08,0.063
"14","55-64","Men",0.1445,-0.2877,0.5768,1.445,-2.877,5.768,0.5165
"15","65-74","Women",-0.0331,-0.3208,0.2547,-0.331,-3.208,2.547,0.8231
"16","65-74","Men",0.217,-0.0801,0.514,2.17,-0.801,5.14,0.1611
"17","75-84","Men",0.0304,-0.3011,0.3618,0.304,-3.011,3.618,0.8586
"18","75-84","Women",0.0701,-0.179,0.3193,0.701,-1.79,3.193,0.5847
"19","85+","Men",-0.1628,-0.5567,0.2312,-1.628,-5.567,2.312,0.4235
"20","85+","Women",-0.0062,-0.3535,0.341,-0.062,-3.535,3.41,0.9721
