"","Age","Sex","Change per year","Per year 95% CI lower","Per year 95% CI higher","Change per decade","Per decade 95% CI lower","Per decade 95% CI higher","p-value"
"1","0-4","Men",0,0,0,0,0,0,0.6313
"2","0-4","Women",0,0,0,0,0,0,0.2492
"3","5-14","Men",0,0,0,0,0,0,0.98
"4","5-14","Women",0,0,0,0,0,0,0.2591
"5","15-24","Women",-0.9062,-2.2422,0.4298,-9.062,-22.422,4.298,0.1923
"6","15-24","Men",0,0,0,0,0,0,0.5272
"7","25-34","Women",-0.7767,-1.8419,0.2884,-7.767,-18.419,2.884,0.1618
"8","25-34","Men",0,0,0,0,0,0,0.9187
"9","35-44","Men",0,0,0,0,0,0,0.0224
"10","35-44","Women",-0.9763,-2.8908,0.9383,-9.763,-28.908,9.383,0.3244
"11","45-54","Men",0,0,0,0,0,0,0.4387
"12","45-54","Women",-49.9509,-409535.1238,409435.222,-499.509,-4095351.238,4094352.22,0.9998
"13","55-64","Women",0,0,0,0,0,0,0.0295
"14","55-64","Men",0,0,0,0,0,0,0.1673
"15","65-74","Women",0,0,0,0,0,0,0.0313
"16","65-74","Men",0,0,0,0,0,0,0.5018
"17","75-84","Men",0,0,0,0,0,0,0.3584
"18","75-84","Women",0,0,0,0,0,0,0.7984
"19","85+","Men",0,0,0,0,0,0,0.8334
"20","85+","Women",0,0,0,0,0,0,0.0594
