"","Age","Sex","Change per year","Per year 95% CI lower","Per year 95% CI higher","Change per decade","Per decade 95% CI lower","Per decade 95% CI higher","p-value"
"1","0-4","Men",-1.2976,-2.4459,-0.1493,-12.976,-24.459,-1.493,0.0334
"2","0-4","Women",-1.2319,-2.4631,-7e-04,-12.319,-24.631,-0.007,0.0579
"3","5-14","Men",-1.7509,-3.2164,-0.2854,-17.509,-32.164,-2.854,0.025
"4","5-14","Women",-1.2481,-2.898,0.4017,-12.481,-28.98,4.017,0.1471
"5","15-24","Women",-0.5839,-1.5301,0.3623,-5.839,-15.301,3.623,0.2346
"6","15-24","Men",-1.1211,-2.0169,-0.2253,-11.211,-20.169,-2.253,0.0193
"7","25-34","Women",0.513,-0.2053,1.2314,5.13,-2.053,12.314,0.1704
"8","25-34","Men",-0.3283,-1.1417,0.4851,-3.283,-11.417,4.851,0.4343
"9","35-44","Men",0.0771,-0.635,0.7891,0.771,-6.35,7.891,0.8332
"10","35-44","Women",0.4775,-0.157,1.1121,4.775,-1.57,11.121,0.1492
"11","45-54","Men",0.1746,-0.4218,0.7711,1.746,-4.218,7.711,0.5698
"12","45-54","Women",-0.0288,-0.6214,0.5639,-0.288,-6.214,5.639,0.9248
"13","55-64","Women",-0.2478,-0.6102,0.1145,-2.478,-6.102,1.145,0.1887
"14","55-64","Men",0.2015,-0.1153,0.5183,2.015,-1.153,5.183,0.2209
"15","65-74","Women",0.1008,-0.1786,0.3801,1.008,-1.786,3.801,0.4843
"16","65-74","Men",-0.1038,-0.4218,0.2143,-1.038,-4.218,2.143,0.5268
"17","75-84","Men",-0.3142,-0.7157,0.0873,-3.142,-7.157,0.873,0.1341
"18","75-84","Women",-0.2087,-0.6078,0.1903,-2.087,-6.078,1.903,0.3123
"19","85+","Men",-0.1512,-0.7032,0.4008,-1.512,-7.032,4.008,0.5948
"20","85+","Women",-0.1976,-0.7095,0.3143,-1.976,-7.095,3.143,0.4543
