"","Age","Sex","Change per year","Per year 95% CI lower","Per year 95% CI higher","Change per decade","Per decade 95% CI lower","Per decade 95% CI higher","p-value"
"1","0-4","Men",-0.3809,-0.5206,-0.2412,-3.809,-5.206,-2.412,0
"2","0-4","Women",-0.1299,-0.3148,0.055,-1.299,-3.148,0.55,0.1772
"3","5-14","Men",-0.6186,-1.3839,0.1468,-6.186,-13.839,1.468,0.1222
"4","5-14","Women",0.1382,-0.5456,0.822,1.382,-5.456,8.22,0.6945
"5","15-24","Women",-0.1277,-0.4501,0.1947,-1.277,-4.501,1.947,0.4428
"6","15-24","Men",-0.2731,-0.6509,0.1048,-2.731,-6.509,1.048,0.1655
"7","25-34","Women",-0.0215,-0.3098,0.2668,-0.215,-3.098,2.668,0.8846
"8","25-34","Men",0.1209,-0.155,0.3969,1.209,-1.55,3.969,0.3962
"9","35-44","Men",-0.0395,-0.2699,0.1908,-0.395,-2.699,1.908,0.7385
"10","35-44","Women",0.0885,-0.1901,0.3671,0.885,-1.901,3.671,0.5376
"11","45-54","Men",-0.1028,-0.2635,0.058,-1.028,-2.635,0.58,0.2185
"12","45-54","Women",0.0217,-0.1647,0.2081,0.217,-1.647,2.081,0.8209
"13","55-64","Women",-0.1026,-0.2982,0.0929,-1.026,-2.982,0.929,0.3107
"14","55-64","Men",-0.0395,-0.2135,0.1345,-0.395,-2.135,1.345,0.659
"15","65-74","Women",0.0699,-0.1235,0.2633,0.699,-1.235,2.633,0.4835
"16","65-74","Men",0.0533,-0.1492,0.2559,0.533,-1.492,2.559,0.6091
"17","75-84","Men",0.0209,-0.251,0.2927,0.209,-2.51,2.927,0.8813
"18","75-84","Women",0.1352,-0.1389,0.4093,1.352,-1.389,4.093,0.3402
"19","85+","Men",0.0178,-0.3634,0.3989,0.178,-3.634,3.989,0.9277
"20","85+","Women",0.1094,-0.2653,0.4841,1.094,-2.653,4.841,0.5707
