"","Age","Sex","Change per year","Per year 95% CI lower","Per year 95% CI higher","Change per decade","Per decade 95% CI lower","Per decade 95% CI higher","p-value"
"1","0-4","Men",3.4523,1.1731,5.7316,34.523,11.731,57.316,0.0054
"2","0-4","Women",3.7151,0.7608,6.6694,37.151,7.608,66.694,0.0188
"3","5-14","Men",7.9278,-779428.1012,779443.9569,79.278,-7794281.012,7794439.569,1
"4","5-14","Women",26.9976,-862586.5393,862640.5346,269.976,-8625865.393,8626405.346,1
"5","15-24","Women",-2.0064,-8.2925,4.2798,-20.064,-82.925,42.798,0.5357
"6","15-24","Men",2.0722,-1.3182,5.4626,20.722,-13.182,54.626,0.239
"7","25-34","Women",-1.6279,-5.3222,2.0664,-16.279,-53.222,20.664,0.3936
"8","25-34","Men",2.1458,-1.455,5.7466,21.458,-14.55,57.466,0.2507
"9","35-44","Men",2.4982,0.8485,4.1479,24.982,8.485,41.479,0.0054
"10","35-44","Women",0.8856,-1.8259,3.5971,8.856,-18.259,35.971,0.5262
"11","45-54","Men",1.438,0.0977,2.7784,14.38,0.977,27.784,0.0427
"12","45-54","Women",1.2933,-0.5683,3.1549,12.933,-5.683,31.549,0.182
"13","55-64","Women",0.126,-1.0351,1.2871,1.26,-10.351,12.871,0.8328
"14","55-64","Men",1.4177,0.2726,2.5628,14.177,2.726,25.628,0.0205
"15","65-74","Women",-0.9652,-1.7658,-0.1646,-9.652,-17.658,-1.646,0.0238
"16","65-74","Men",-0.0533,-0.7862,0.6797,-0.533,-7.862,6.797,0.8876
"17","75-84","Men",-0.4588,-1.2341,0.3165,-4.588,-12.341,3.165,0.2539
"18","75-84","Women",-1.196,-2.3871,-0.0048,-11.96,-23.871,-0.048,0.057
"19","85+","Men",-0.6432,-1.6703,0.3839,-6.432,-16.703,3.839,0.2279
"20","85+","Women",-1.5053,-3.0141,0.0035,-15.053,-30.141,0.035,0.0585
