"","Age","Sex","Change per year","Per year 95% CI lower","Per year 95% CI higher","Change per decade","Per decade 95% CI lower","Per decade 95% CI higher","p-value"
"1","0-4","Men",-69.5158,-1863198.9058,1863059.8741,-695.158,-18631989.058,18630598.741,0.9999
"2","0-4","Women",0,0,0,0,0,0,0.4474
"3","5-14","Men",0,0,0,0,0,0,0.5378
"4","5-14","Women",0,0,0,0,0,0,0.4989
"5","15-24","Women",-0.0406,-1.472,1.3909,-0.406,-14.72,13.909,0.956
"6","15-24","Men",-0.1749,-1.0767,0.7269,-1.749,-10.767,7.269,0.7062
"7","25-34","Women",0.3506,-0.4522,1.1534,3.506,-4.522,11.534,0.3978
"8","25-34","Men",-0.2775,-0.6468,0.0917,-2.775,-6.468,0.917,0.1496
"9","35-44","Men",-0.3276,-0.7004,0.0452,-3.276,-7.004,0.452,0.0939
"10","35-44","Women",0.3219,-0.2487,0.8926,3.219,-2.487,8.926,0.2764
"11","45-54","Men",-0.0851,-0.5055,0.3353,-0.851,-5.055,3.353,0.6939
"12","45-54","Women",-0.1356,-0.8079,0.5368,-1.356,-8.079,5.368,0.6951
"13","55-64","Women",-0.6275,-1.3492,0.0943,-6.275,-13.492,0.943,0.0973
"14","55-64","Men",-0.7564,-1.221,-0.2919,-7.564,-12.21,-2.919,0.003
"15","65-74","Women",-1.0261,-2.0673,0.0152,-10.261,-20.673,0.152,0.0616
"16","65-74","Men",-0.3247,-0.8863,0.2369,-3.247,-8.863,2.369,0.2649
"17","75-84","Men",-0.4057,-1.5569,0.7456,-4.057,-15.569,7.456,0.4944
"18","75-84","Women",-2.6134,-5.3528,0.126,-26.134,-53.528,1.26,0.0699
"19","85+","Men",-3.0104,-247820.276,247814.2553,-30.104,-2478202.76,2478142.553,1
"20","85+","Women",3.3899,-544410.8183,544417.5981,33.899,-5444108.183,5444175.981,1
