"","Age","Sex","Change per year","Per year 95% CI lower","Per year 95% CI higher","Change per decade","Per decade 95% CI lower","Per decade 95% CI higher","p-value"
"1","0-4","Men",0.9725,0.5547,1.3904,9.725,5.547,13.904,1e-04
"2","0-4","Women",1.1194,0.5409,1.698,11.194,5.409,16.98,6e-04
"3","5-14","Men",-0.9324,-1.7195,-0.1452,-9.324,-17.195,-1.452,0.0262
"4","5-14","Women",-0.1968,-1.1578,0.7642,-1.968,-11.578,7.642,0.6906
"5","15-24","Women",-1.1744,-1.6023,-0.7464,-11.744,-16.023,-7.464,0
"6","15-24","Men",-1.4834,-1.9054,-1.0614,-14.834,-19.054,-10.614,0
"7","25-34","Women",-0.776,-1.1172,-0.4348,-7.76,-11.172,-4.348,1e-04
"8","25-34","Men",-0.9294,-1.2009,-0.6578,-9.294,-12.009,-6.578,0
"9","35-44","Men",-0.2904,-0.5368,-0.044,-2.904,-5.368,-0.44,0.0269
"10","35-44","Women",-0.5793,-0.8994,-0.2591,-5.793,-8.994,-2.591,0.0011
"11","45-54","Men",0.0163,-0.188,0.2206,0.163,-1.88,2.206,0.8768
"12","45-54","Women",-0.4841,-0.7518,-0.2163,-4.841,-7.518,-2.163,0.0011
"13","55-64","Women",-0.5032,-0.7935,-0.2129,-5.032,-7.935,-2.129,0.0017
"14","55-64","Men",0.1082,-0.0971,0.3134,1.082,-0.971,3.134,0.3087
"15","65-74","Women",-0.3042,-0.5635,-0.0449,-3.042,-5.635,-0.449,0.0276
"16","65-74","Men",-0.2557,-0.4969,-0.0145,-2.557,-4.969,-0.145,0.0451
"17","75-84","Men",-0.383,-0.605,-0.161,-3.83,-6.05,-1.61,0.0018
"18","75-84","Women",-0.4589,-0.7836,-0.1343,-4.589,-7.836,-1.343,0.0089
"19","85+","Men",-0.6215,-1.0172,-0.2258,-6.215,-10.172,-2.258,0.004
"20","85+","Women",-0.6783,-1.0044,-0.3522,-6.783,-10.044,-3.522,3e-04
