"","start.year.month.max","start.pred.max","start.year.month.min","start.pred.min","start.seas.index","end.year.month.max","end.pred.max","end.year.month.min","end.pred.min","end.seas.index","diff","per.year.perc","per.decade.perc","age","sex","cause"
"88",2,2422.37273807531,8,2300.99066047732,1.05275209486196,434,1198.13011481562,440,1124.72873890345,1.06526140337067,0.0125093085087087,0.0338089419154289,0.338089419154289,0,1,"AllCause"
"81",2,1830.55515086936,8,1743.48692677959,1.04993913217955,434,950.920199655578,440,895.100154590354,1.06236178686705,0.0124226546874933,0.0335747423986304,0.335747423986304,0,2,"AllCause"
"163",6,635.920957606212,12,488.249717052031,1.30245023273294,438,272.941856213819,444,210.974004169951,1.29372269009005,-0.00872754264289166,-0.0235879530888964,-0.235879530888964,5,1,"AllCause"
"152",5,355.313580374456,12,324.275031415599,1.09571674027248,437,187.071390382894,444,172.162354980842,1.08659869577012,-0.00911804450236331,-0.0246433635199008,-0.246433635199008,5,2,"AllCause"
"185",7,3235.82750510142,1,2622.96164046766,1.23365414696819,439,2013.36657072878,433,1637.07884808455,1.22985314548808,-0.00380100148011575,-0.0102729769732858,-0.102729769732858,15,1,"AllCause"
"219",8,1011.65257130939,12,950.64426828155,1.06417574382279,440,677.312089527211,434,637.616488874816,1.06225623293156,-0.0019195108912291,-0.00518786727359217,-0.0518786727359217,15,2,"AllCause"
"208",8,3309.04903203473,1,2964.25744371579,1.11631634392954,439,2797.71348542492,433,2543.53586711375,1.09993081740954,-0.0163855265199966,-0.0442852068108016,-0.442852068108016,25,1,"AllCause"
"74",12,1202.98817994202,4,1162.23360749404,1.03506573221184,443,1235.18767740903,437,1219.06582294386,1.01322476125714,-0.0218409709546972,-0.0590296512289113,-0.590296512289113,25,2,"AllCause"
"63",12,3479.41045728689,1,3430.50247619721,1.0142567980723,433,3779.64630251914,444,3743.17502829495,1.00974340605195,-0.00451339202035528,-0.012198356811771,-0.12198356811771,35,1,"AllCause"
"68",12,1685.82975576891,7,1595.96537364392,1.05630722546305,433,2403.60551454399,439,2280.44192574408,1.05400864955582,-0.00229857590723137,-0.00621236731684154,-0.0621236731684154,35,2,"AllCause"
"18",1,6736.8066544949,8,6275.15119380977,1.0735688187307,433,8882.55325297198,440,8275.96520777255,1.07329514201313,-0.00027367671756795,-0.000739666804237703,-0.00739666804237703,45,1,"AllCause"
"10",1,3885.71154365326,7,3533.09963442871,1.09980242441749,433,5781.71123216084,439,5261.69096484295,1.09883139674916,-0.000971027668329016,-0.00262439910359194,-0.0262439910359194,45,2,"AllCause"
"19",1,16340.3946685547,7,14678.8077144016,1.11319631583721,433,17837.7273965815,440,16002.06354137,1.11471419610763,0.00151788027041988,0.00410237910924292,0.0410237910924292,55,1,"AllCause"
"9",1,10118.75299887,7,9012.3551440596,1.12276456454777,433,12071.8799586611,439,10736.5748021451,1.12436975302861,0.00160518848083901,0.00433834724551085,0.0433834724551085,55,2,"AllCause"
"99",2,26117.8351178435,8,22716.648365647,1.14972220802343,434,25610.4536304401,440,22346.9848094218,1.14603620349007,-0.00368600453335266,-0.00996217441446665,-0.0996217441446665,65,1,"AllCause"
"100",2,18211.3531660058,8,15774.6299925687,1.15447101926226,434,20432.3504938886,440,17766.0187685446,1.15008042939057,-0.00439058987169028,-0.0118664591126764,-0.118664591126764,65,2,"AllCause"
"6",1,24347.9999096534,7,20218.1899245073,1.20426210261979,434,30459.428402056,440,25243.082933599,1.20664454821855,0.00238244559876599,0.00643904215882701,0.0643904215882701,75,1,"AllCause"
"91",2,24539.6394297634,7,20250.9312323661,1.21177832012697,434,30177.9109953049,440,24770.9467638405,1.21827846480851,0.00650014468153692,0.0175679585987484,0.175679585987484,75,2,"AllCause"
"16",1,12643.5435461,7,9933.1342275026,1.27286546788957,433,30449.5130088651,439,23813.9759492375,1.27864045356274,0.00577498567316237,0.0156080693869253,0.156080693869253,85,1,"AllCause"
"66",12,22333.1219193937,7,17472.2170537063,1.27820767397439,433,51276.5017811495,439,39512.7888739902,1.29771912442513,0.0195114504507319,0.0527336498668429,0.527336498668429,85,2,"AllCause"
