"","start.year.month.max","start.pred.max","start.year.month.min","start.pred.min","start.seas.index","end.year.month.max","end.pred.max","end.year.month.min","end.pred.min","end.seas.index","diff","per.year.perc","per.decade.perc","age","sex","cause"
"88",2,39.3350920645653,8,36.9551051789168,1.06440211370326,434,21.3900853284582,440,19.8598841657635,1.0770498533588,0.0126477396555353,0.0341830801500955,0.341830801500955,0,1,"Cancer"
"79",12,31.4460884643346,7,30.8884966088043,1.01805176414353,433,18.4228627472888,440,17.9178880417855,1.02818271351655,0.0101309493730259,0.0273809442514215,0.273809442514215,0,2,"Cancer"
"15",1,72.6945526185024,9,70.3348795268999,1.03354911684607,433,40.0138320162327,440,39.0385141444669,1.02498347831981,-0.00856563852626535,-0.0231503743953118,-0.231503743953118,5,1,"Cancer"
"236",9,53.570880337817,4,51.3017651178764,1.04423074361529,441,34.8365134060569,436,33.1590204015992,1.05058934142629,0.00635859781099479,0.0171853994891751,0.171853994891751,5,2,"Cancer"
"14",1,134.435134701504,5,129.623824751336,1.03711748175459,433,79.476195673126,437,76.4117694426977,1.04010411292368,0.00298663116909137,0.00807197613267938,0.0807197613267938,15,1,"Cancer"
"26",10,92.137485768851,5,88.8552291489893,1.03693937488314,442,53.3807812014419,437,51.3836585623038,1.0388668828771,0.0019275079939638,0.00520948106476701,0.0520948106476701,15,2,"Cancer"
"75",12,228.969927846922,1,224.414340655805,1.02029989339275,435,155.315415137138,444,153.649539942914,1.01084204479131,-0.00945784860144316,-0.0255617529768734,-0.255617529768734,25,1,"Cancer"
"74",12,240.470910290771,5,230.611299145703,1.04275424136455,433,163.945285770803,438,159.133853832305,1.03023512485011,-0.0125191165144463,-0.0338354500390439,-0.338354500390439,25,2,"Cancer"
"63",12,513.662156949673,6,501.122876600159,1.02502236663907,433,418.536509961744,438,406.280745329835,1.03016575304832,0.00514338640925471,0.0139010443493371,0.139010443493371,35,1,"Cancer"
"46",11,624.440186956916,5,607.781226873112,1.02740946799149,433,554.697125012802,438,541.289801377736,1.02476921530932,-0.00264025268216295,-0.00713581805989986,-0.0713581805989986,35,2,"Cancer"
"18",1,1823.00871417062,7,1771.35187264353,1.02916238288105,433,1850.55334068917,439,1797.78284836306,1.02935309588372,0.000190713002675702,0.000515440547772168,0.00515440547772168,45,1,"Cancer"
"10",1,1801.58368599151,7,1743.81650796567,1.03312686728332,433,1859.81889009608,438,1801.05579140206,1.03262702853212,-0.000499838751197856,-0.00135091554377799,-0.0135091554377799,45,2,"Cancer"
"19",1,5150.12210594776,7,4991.59096111288,1.03175964258088,433,5555.78307825517,439,5380.22020659248,1.03263116841344,0.000871525832558451,0.00235547522313095,0.0235547522313095,55,1,"Cancer"
"9",1,4119.30388565363,6,4017.19049850686,1.02541910501499,433,4598.60191976662,439,4479.55217732125,1.02657625979849,0.00115715478349743,0.00312744536080386,0.0312744536080386,55,2,"Cancer"
"64",12,7312.98793951352,6,7086.64994342226,1.0319386449025,444,8703.78661298913,439,8488.80628087788,1.02532515467994,-0.00661349022256075,-0.0178742978988128,-0.178742978988128,65,1,"Cancer"
"71",12,5448.89300625928,6,5248.09036996483,1.03826203859668,444,7285.68973410635,438,7071.14469019231,1.03034092121062,-0.00792111738605539,-0.0214084253677173,-0.214084253677173,65,2,"Cancer"
"77",12,5094.1168448698,6,4839.35532220637,1.05264369026478,444,7984.0020591046,439,7671.28497830081,1.04076462831043,-0.0118790619543503,-0.0321055728495954,-0.321055728495954,75,1,"Cancer"
"61",12,4324.47323326195,6,4098.99539381391,1.05500807338996,444,7083.48737051983,439,6792.42620389011,1.04285083972838,-0.0121572336615881,-0.0328573882745623,-0.328573882745623,75,2,"Cancer"
"62",12,1657.53319398881,6,1548.7105772829,1.07026659357931,444,4690.02213068078,439,4417.47699959903,1.06169701191574,-0.00856958166356825,-0.0231610315231574,-0.231610315231574,85,1,"Cancer"
"66",12,1935.81931467466,6,1783.21261246698,1.08557964492891,444,5171.60525434274,439,4860.62261945231,1.06397999993784,-0.0215996449910725,-0.0583774188947905,-0.583774188947905,85,2,"Cancer"
