"","start.year.month.max","start.pred.max","start.year.month.min","start.pred.min","start.seas.index","end.year.month.max","end.pred.max","end.year.month.min","end.pred.min","end.seas.index","diff","per.year.perc","per.decade.perc","age","sex","cause"
"1",1,82.4708951354937,7,70.5831736878834,1.16842146401885,433,30.2999302121703,439,25.6305855431135,1.18217861863524,0.013757154616391,0.037181498963219,0.37181498963219,0,1,"Cardiovascular"
"3",1,64.7183572267803,7,56.7964280078614,1.13947935630428,433,25.6184233953705,439,22.2223074205364,1.15282463294949,0.0133452766452096,0.0360683152573232,0.360683152573232,0,2,"Cardiovascular"
"89",2,22.9751727057108,9,21.4160632449059,1.07280093652019,434,13.446527688231,441,12.6345284704581,1.06426826451588,-0.0085326720043104,-0.0230612756873254,-0.230612756873254,5,1,"Cardiovascular"
"2",1,21.9664895324386,8,18.0976623746516,1.21377496594288,433,11.7575686202102,440,9.77165757726564,1.20323174724879,-0.0105432186940932,-0.0284951856597115,-0.284951856597115,5,2,"Cardiovascular"
"97",2,87.5704322344926,8,81.5181371151008,1.07424476728223,434,73.125439449391,440,67.943240393163,1.07627247429237,0.0020277070101391,0.00548028921659217,0.0548028921659217,15,1,"Cardiovascular"
"12",1,59.9545194877968,6,58.406513847587,1.02650398967912,433,38.150770026535,438,37.0328097833081,1.03018837214266,0.00368438246354152,0.00995779044200412,0.0995779044200412,15,2,"Cardiovascular"
"75",12,239.598557101152,8,222.828598724383,1.075259452659,434,249.227802410971,440,229.209244964575,1.08733747824827,0.0120780255892687,0.032643312403429,0.32643312403429,25,1,"Cardiovascular"
"74",12,140.374012781179,7,131.880941817058,1.06439953223797,434,134.388124664617,440,127.167839438494,1.05677760397601,-0.00762192826196006,-0.0205998061134056,-0.205998061134056,25,2,"Cardiovascular"
"95",2,808.468603837047,8,745.047905341778,1.08512298073796,434,736.572936764881,440,669.582755578303,1.1000476500156,0.0149246692776335,0.040336943993604,0.40336943993604,35,1,"Cardiovascular"
"68",12,319.366029599594,7,294.542579822198,1.08427796684737,433,395.942465606763,440,360.907168877765,1.09707564645485,0.0127976796074718,0.0345883232634373,0.345883232634373,35,2,"Cardiovascular"
"92",2,2874.47912743485,8,2531.67249379363,1.13540718022635,434,2322.43067123897,440,2046.25816761822,1.13496464326503,-0.000442536961321682,-0.00119604584140995,-0.0119604584140995,45,1,"Cardiovascular"
"10",1,1103.77940721487,8,954.933973921736,1.15586986886837,433,1127.73455916459,440,977.183622704477,1.15406616828416,-0.0018037005842122,-0.00487486644381675,-0.0487486644381675,45,2,"Cardiovascular"
"19",1,7985.40275524721,8,6827.25557133882,1.16963583270126,433,5160.79470325573,440,4406.11540139335,1.17127996729812,0.00164413459685497,0.00444360701852696,0.0444360701852696,55,1,"Cardiovascular"
"9",1,3837.77038414908,8,3238.98931146108,1.18486664051938,433,2608.59218099387,440,2197.21824692568,1.18722488521283,0.00235824469344448,0.0063736343066067,0.063736343066067,55,2,"Cardiovascular"
"17",1,13830.3940652858,8,11410.5372377283,1.21207212045691,434,7562.74333603914,440,6265.63251669966,1.20701993228654,-0.0050521881703709,-0.013654562622624,-0.13654562622624,65,1,"Cardiovascular"
"4",1,9204.86947099141,8,7633.85765538014,1.20579527239469,434,4936.18836596921,440,4112.6184730157,1.20025438740725,-0.00554088498743965,-0.014975364830918,-0.14975364830918,65,2,"Cardiovascular"
"6",1,14209.1756556993,7,11330.9057621872,1.25401940091297,433,9799.05416996386,440,7790.11858463933,1.25788254228707,0.00386314137409327,0.0104409226326845,0.104409226326845,75,1,"Cardiovascular"
"7",1,15956.672767622,7,12847.1613728554,1.2420387900892,433,9139.78363715002,440,7309.88244807656,1.25033250562804,0.00829371553884539,0.0224154474022848,0.224154474022848,75,2,"Cardiovascular"
"16",1,8023.20594437399,7,6203.99666295652,1.29323182784411,433,11569.2807866778,439,8905.61755994728,1.29909921561311,0.00586738776900209,0.0158578047810867,0.158578047810867,85,1,"Cardiovascular"
"5",1,16453.829217626,7,12984.3387513224,1.26720578789199,433,19908.622947494,439,15394.8657385753,1.29319886808811,0.0259930801961206,0.0702515680976231,0.702515680976231,85,2,"Cardiovascular"
