"","start.year.month.max","start.pred.max","start.year.month.min","start.pred.min","start.seas.index","end.year.month.max","end.pred.max","end.year.month.min","end.pred.min","end.seas.index","diff","per.year.perc","per.decade.perc","age","sex","cause"
"76",12,29.8561367357885,6,26.9120037714544,1.10939850444941,444,34.1373306974778,438,31.1767181666823,1.09496228932651,-0.014436215122906,-0.0390167976294758,-0.390167976294758,0,1,"Intentional"
"132",4,24.3345610003562,9,23.6817878402438,1.02756435301743,435,25.2978438434109,441,24.3412115214133,1.03930093295299,0.0117365799355547,0.0317204863123099,0.317204863123099,0,2,"Intentional"
"89",2,42.0410234403643,8,39.5975462737198,1.06170779244133,434,35.019893500169,440,33.2106485845779,1.05447785552828,-0.00722993691304596,-0.0195403700352594,-0.195403700352594,5,1,"Intentional"
"182",7,22.1343621892564,12,20.2823390747106,1.09131210693815,439,19.1574163535727,444,17.6574115393292,1.08495043630276,-0.00636167063538506,-0.0171937044199596,-0.171937044199596,5,2,"Intentional"
"211",8,924.249406059147,2,849.302128330552,1.08824571990172,440,728.267214182607,434,670.475291259333,1.0861954551893,-0.00205026471242786,-0.00554125597953476,-0.0554125597953476,15,1,"Intentional"
"165",6,196.751156287407,12,185.694389790557,1.05954281391765,438,120.940173621173,444,114.588989731806,1.0554257778538,-0.00411703606384872,-0.0111271244968884,-0.111271244968884,15,2,"Intentional"
"208",8,883.844429251066,1,789.824092887557,1.11903959022037,439,762.40997523561,433,691.642869676391,1.10231740781529,-0.0167221824050769,-0.045195087581289,-0.45195087581289,25,1,"Intentional"
"196",7,226.623439486441,1,205.190129494195,1.10445585294517,439,161.194464454609,444,147.620946344894,1.09194845613578,-0.0125073968093945,-0.0338037751605257,-0.338037751605257,25,2,"Intentional"
"184",7,476.505621915248,1,435.509814298687,1.09413291335943,439,598.216998307282,444,554.435318733814,1.07896625285967,-0.0151666604997598,-0.0409909743236751,-0.409909743236751,35,1,"Intentional"
"162",6,144.244533253378,1,134.006097027125,1.07640276415319,438,181.045028876694,444,168.363920354377,1.07531963199494,-0.00108313215824629,-0.00292738421147646,-0.0292738421147646,35,2,"Intentional"
"177",6,338.846066357706,12,309.083395683489,1.0962933340641,438,651.20592376035,444,595.691706953412,1.0931928649651,-0.00310046909900108,-0.00837964621351643,-0.0837964621351643,45,1,"Intentional"
"172",6,113.49998042027,12,103.915469216249,1.09223372878272,438,218.920374858992,444,201.311883701163,1.08746871190161,-0.00476501688110864,-0.0128784240029963,-0.128784240029963,45,2,"Intentional"
"159",5,301.749309563777,11,276.205552344515,1.09248096934489,437,529.584319052681,443,483.266266357622,1.09584375306011,0.00336278371521304,0.00908860463571091,0.0908860463571091,55,1,"Intentional"
"166",6,98.5888132793204,1,89.5512329602896,1.10092078043234,438,170.943096581708,444,154.947723525331,1.10323077159479,0.0023099911624509,0.0062432193579754,0.062432193579754,55,2,"Intentional"
"180",6,251.568810488511,12,216.769406558971,1.16053650965766,438,312.606431320195,444,267.36994990164,1.16919059690588,0.00865408724821792,0.0233894249951836,0.233894249951836,65,1,"Intentional"
"178",6,75.4483850056421,1,68.0246398012242,1.10913317918494,438,77.0762168535682,433,68.9449952502473,1.11793780786854,0.00880462868360032,0.0237962937394603,0.237962937394603,65,2,"Intentional"
"171",6,163.160919201383,1,141.068234546513,1.15660991807186,438,190.669520872244,444,163.607564782256,1.16540773115231,0.00879781308045691,0.0237778731904241,0.237778731904241,75,1,"Intentional"
"194",7,47.0270348907783,1,41.2958262605619,1.1387842101537,439,36.2544194632324,444,31.8271074677152,1.13910506947602,0.000320859322322731,0.000867187357629002,0.00867187357629002,75,2,"Intentional"
"173",6,45.6296988879824,1,39.9458102848292,1.14228998141795,438,93.9941823686858,444,81.7706455392358,1.14948563446995,0.00719565305200032,0.0194477109513522,0.194477109513522,85,1,"Intentional"
"191",7,14.2808939769188,1,12.5972919899988,1.13364792911497,439,17.4756291203134,444,15.5998636467193,1.12024242750279,-0.013405501612183,-0.0362310854383325,-0.362310854383325,85,2,"Intentional"
