"","start.year.month.max","start.pred.max","start.year.month.min","start.pred.min","start.seas.index","end.year.month.max","end.pred.max","end.year.month.min","end.pred.min","end.seas.index","diff","per.year.perc","per.decade.perc","age","sex","cause"
"1",1,52.0882280793192,7,39.5987070221117,1.31540224407412,433,23.1720126524424,439,17.4109153761971,1.33088997055959,0.0154877264854691,0.0418587202309977,0.418587202309977,0,1,"Neuropsychiatric disorders"
"3",1,42.1930818598692,7,31.8766827254164,1.32363465242973,433,18.4202987334837,439,13.7553534630384,1.33913670651797,0.0155020540882389,0.0418974434817268,0.418974434817268,0,2,"Neuropsychiatric disorders"
"89",2,35.4779888740137,8,25.1583757438247,1.41018598478966,434,23.2336049726248,440,16.5885240977789,1.40058300760678,-0.00960297718287362,-0.0259539923861449,-0.259539923861449,5,1,"Neuropsychiatric disorders"
"82",2,28.3337602363953,8,18.1282749604358,1.56295953686893,434,18.6561638158029,440,12.0253405651858,1.55140419638623,-0.0115553404826976,-0.0312306499532367,-0.312306499532367,5,2,"Neuropsychiatric disorders"
"97",2,59.9301223904106,8,47.9527358111979,1.24977483300162,434,56.2928653911971,440,44.9575456661693,1.25213386445065,0.00235903144902849,0.00637576067304998,0.0637576067304998,15,1,"Neuropsychiatric disorders"
"86",2,27.0180411004667,8,22.6151879414265,1.19468567630053,434,30.7486679221172,440,25.6970854333447,1.19658192373122,0.00189624743069494,0.00512499305593227,0.0512499305593227,15,2,"Neuropsychiatric disorders"
"75",12,42.9343789314147,7,38.4299620183917,1.11721106856331,434,63.1187681141214,440,56.8565873134547,1.11013993446604,-0.00707113409726601,-0.0191111732358541,-0.191111732358541,25,1,"Neuropsychiatric disorders"
"74",12,28.8342830571798,7,25.4599863945117,1.13253332544575,434,44.6796632726284,440,39.6862430425144,1.12582244746031,-0.00671087798543457,-0.0181375080687421,-0.181375080687421,25,2,"Neuropsychiatric disorders"
"63",12,44.817040827075,7,40.3659314082013,1.11026896354408,434,96.3090703143302,440,86.6529706777393,1.11143414427766,0.0011651807335793,0.00314913711778188,0.0314913711778188,35,1,"Neuropsychiatric disorders"
"68",12,34.3164485163393,8,29.8330108424469,1.15028445159526,434,80.9468104050412,440,69.5983089996327,1.16305714274564,0.0127726911503874,0.0345207868929388,0.345207868929388,35,2,"Neuropsychiatric disorders"
"92",2,69.4883800384006,7,60.1417819501957,1.15540939734617,434,245.670280249752,439,212.615456358086,1.15546764312372,5.82457775495371e-05,0.000157421020404154,0.00157421020404154,45,1,"Neuropsychiatric disorders"
"10",1,62.2512935033599,7,52.3775300374206,1.18851143723053,433,211.599595863826,439,178.194822478464,1.18746208739818,-0.00104934983234584,-0.00283608062796172,-0.0283608062796172,45,2,"Neuropsychiatric disorders"
"72",12,148.203523198845,7,126.539219661717,1.17120623625658,444,570.297306769453,439,488.399394600568,1.16768635070865,-0.00351988554793015,-0.00951320418359499,-0.0951320418359499,55,1,"Neuropsychiatric disorders"
"67",12,131.905246796054,7,108.134170114981,1.2198294642276,444,534.408216305105,439,439.419786129786,1.21616784945424,-0.00366161477335969,-0.00989625614421538,-0.0989625614421538,55,2,"Neuropsychiatric disorders"
"64",12,302.47183023838,7,246.805717298873,1.22554628615875,444,1458.78152594329,439,1197.66444956731,1.21802189792835,-0.00752438823039769,-0.0203361844064803,-0.203361844064803,65,1,"Neuropsychiatric disorders"
"71",12,256.355126615757,7,202.305116399022,1.26717075266712,444,1466.54685470145,439,1164.71009938037,1.25915183141424,-0.00801892125287473,-0.0216727601429047,-0.216727601429047,65,2,"Neuropsychiatric disorders"
"77",12,428.087325110098,7,326.908357731433,1.30950254095916,444,4052.17906635639,439,3125.41181655517,1.2965264432969,-0.0129760976622557,-0.0350705342223127,-0.350705342223127,75,1,"Neuropsychiatric disorders"
"61",12,476.050455987672,7,357.262815675627,1.33249371359122,444,5404.18033967108,439,4098.72623227344,1.3185023915768,-0.0139913220144239,-0.0378143838227672,-0.378143838227672,75,2,"Neuropsychiatric disorders"
"62",12,249.100868702838,7,186.417303611763,1.33625400580635,444,6282.57840219771,439,4735.92539976473,1.32657883557663,-0.00967517022971909,-0.0261491087289705,-0.261491087289705,85,1,"Neuropsychiatric disorders"
"66",12,540.017012129322,7,389.606510702091,1.38605746386574,444,15485.1257264809,439,11361.2236150808,1.36298045449313,-0.0230770093726156,-0.0623702956016637,-0.623702956016637,85,2,"Neuropsychiatric disorders"
