"","start.year.month.max","start.pred.max","start.year.month.min","start.pred.min","start.seas.index","end.year.month.max","end.pred.max","end.year.month.min","end.pred.min","end.seas.index","diff","per.year.perc","per.decade.perc","age","sex","cause"
"175",6,968.087369945893,12,892.958778091227,1.08413444573025,438,518.462175879144,444,472.003828258157,1.09842790426602,0.014293458535767,0.0386309690155865,0.386309690155865,0,1,"Perinatal conditions"
"193",7,732.964073660075,1,666.195092068514,1.10022436728593,438,411.440862667074,444,370.663743925898,1.11001107987872,0.00978671259278419,0.0264505745750924,0.264505745750924,0,2,"Perinatal conditions"
"15",1,1.43773121604901e-12,12,1.41092746706319e-12,1.0189972550762,433,1.32506561868093e-12,444,1.31677227942974e-12,1.00629823347647,-0.0126990215997298,-0.0343216799992697,-0.343216799992697,5,1,"Perinatal conditions"
"2",1,1.44517888404762e-12,12,1.41674787172024e-12,1.02006779956751,433,1.32954979073545e-12,444,1.32107735844035e-12,1.00641327492366,-0.0136545246438509,-0.0369041206590564,-0.369041206590564,5,2,"Perinatal conditions"
"14",1,1.55046227958725e-12,12,1.54161842816836e-12,1.00573673177311,433,1.40838761905485e-12,444,1.39954332605903e-12,1.00631941350521,0.000582681732098633,0.00157481549215847,0.0157481549215847,15,1,"Perinatal conditions"
"12",1,1.56739762729307e-12,12,1.55830634413393e-12,1.00583407953986,433,1.42243617571916e-12,444,1.41462475516155e-12,1.00552190291391,-0.000312176625947291,-0.000843720610668355,-0.00843720610668355,15,2,"Perinatal conditions"
"75",12,1.29770715126894e-12,1,1.25486883908237e-12,1.03413768104872,438,1.46398508137972e-12,433,1.45707379723447e-12,1.00474326294136,-0.0293944181073549,-0.0794443732631213,-0.794443732631213,25,1,"Perinatal conditions"
"74",12,1.30520231438477e-12,1,1.26308000467443e-12,1.03334888491185,438,1.47806379489604e-12,433,1.47188373803143e-12,1.00419873982226,-0.0291501450895864,-0.078784175917801,-0.78784175917801,25,2,"Perinatal conditions"
"63",12,1.12080443464431e-12,1,1.10704091942782e-12,1.01243270684484,433,1.19726887283329e-12,444,1.18358350862258e-12,1.0115626519895,-0.000870054855344193,-0.00235149960903836,-0.0235149960903836,35,1,"Perinatal conditions"
"68",12,1.12667460250633e-12,1,1.11273502980843e-12,1.01252730643368,433,1.21002186203185e-12,444,1.19680357789988e-12,1.01104465626279,-0.00148265017089488,-0.00400716262404023,-0.0400716262404023,35,2,"Perinatal conditions"
"18",1,1.49748723207382e-12,12,1.45693757138537e-12,1.027832119567,433,1.17922437697648e-12,444,1.14977121899958e-12,1.02561653787309,-0.00221558169390512,-0.00598805863217601,-0.05988058632176,45,1,"Perinatal conditions"
"10",1,1.51073754953658e-12,12,1.46745145415358e-12,1.02949746327926,433,1.18326474974931e-12,444,1.1545486917655e-12,1.02487210646777,-0.00462535681149179,-0.0125009643553832,-0.125009643553832,45,2,"Perinatal conditions"
"19",1,1.6548019168399e-12,12,1.63956801569319e-12,1.00929141151871,433,1.50540314825803e-12,444,1.48580692007622e-12,1.01318894663703,0.00389753511832192,0.0105338786981673,0.105338786981673,55,1,"Perinatal conditions"
"9",1,1.65362524811911e-12,12,1.64207143638849e-12,1.00703612003387,433,1.52405304051457e-12,444,1.50670759046766e-12,1.01151215415429,0.00447603412041953,0.0120973895146474,0.120973895146474,55,2,"Perinatal conditions"
"155",5,1.41596221125349e-12,1,1.41215669450255e-12,1.00269482612358,438,1.6608690679626e-12,433,1.64477806122507e-12,1.00978308692028,0.00708826079669245,0.0191574616126823,0.191574616126823,65,1,"Perinatal conditions"
"71",12,1.3959028871114e-12,1,1.38740685655169e-12,1.00612367635318,438,1.67269831461029e-12,433,1.65274754462168e-12,1.0120712749225,0.0059475985693227,0.0160745907278992,0.160745907278992,65,2,"Perinatal conditions"
"77",12,1.31578815790104e-12,1,1.31170528651403e-12,1.00311264384538,438,1.33120376670003e-12,444,1.31771062854232e-12,1.0102398340466,0.00712719020121999,0.0192626762195135,0.192626762195135,75,1,"Perinatal conditions"
"61",12,1.26124316676903e-12,1,1.24603912070806e-12,1.01220190105454,438,1.30354555407202e-12,444,1.29529435219197e-12,1.00637013653776,-0.00583176451677936,-0.0157615257210253,-0.157615257210253,75,2,"Perinatal conditions"
"16",1,1.51810358657534e-12,12,1.50255658272012e-12,1.01034703387148,433,1.38438827442622e-12,444,1.3541458698336e-12,1.0223331956079,0.011986161736421,0.0323950317200567,0.323950317200567,85,1,"Perinatal conditions"
"66",12,1.30855217698402e-12,1,1.2871769759473e-12,1.01660626427923,433,1.2824119095957e-12,444,1.25623401402929e-12,1.02083839099567,0.00423212671644113,0.0114381803147058,0.114381803147058,85,2,"Perinatal conditions"
