"","start.year.month.max","start.pred.max","start.year.month.min","start.pred.min","start.seas.index","end.year.month.max","end.pred.max","end.year.month.min","end.pred.min","end.seas.index","diff","per.year.perc","per.decade.perc","age","sex","cause"
"175",6,234.455855450117,12,166.249805297996,1.41026243627693,438,135.563376603978,444,94.8754886376202,1.42885563542936,0.018593199152432,0.0502518896011675,0.502518896011675,0,1,"Unintentional"
"167",6,156.105655092349,1,118.853076467841,1.31343386079357,438,89.9420682081869,444,67.6788274860242,1.32895429115937,0.015520430365809,0.041947109096781,0.41947109096781,0,2,"Unintentional"
"192",7,437.105208219742,12,215.874065696099,2.02481574991544,439,110.125977464805,444,54.6918085771436,2.01357351913991,-0.0112422307755238,-0.0303844075014156,-0.303844075014156,5,1,"Unintentional"
"182",7,179.820270125779,12,114.502595949208,1.57044710327393,439,63.9451876280151,444,40.9565746334455,1.56129237369858,-0.00915472957534624,-0.0247425123658007,-0.247425123658007,5,2,"Unintentional"
"185",7,1983.26873596415,1,1262.45311468383,1.57096427019458,439,796.238112928021,433,508.413203804363,1.56612398531336,-0.00484028488121813,-0.0130818510303193,-0.130818510303193,15,1,"Unintentional"
"219",8,505.63632475333,2,411.779685658043,1.22792926014623,440,276.099619186453,434,225.206665610964,1.22598333596131,-0.00194592418492268,-0.00525925455384507,-0.0525925455384507,15,2,"Unintentional"
"186",7,1245.87628617897,1,915.510935816487,1.36085352718135,439,862.028208816761,433,642.227693843969,1.34224702092369,-0.0186065062576586,-0.0502878547504286,-0.502878547504286,25,1,"Unintentional"
"206",8,277.608091404086,2,244.842971114071,1.13382095528791,440,313.197230226493,434,280.311096225553,1.11732012911283,-0.0165008261750823,-0.0445968275002224,-0.445968275002224,25,2,"Unintentional"
"184",7,665.36700070204,1,539.897534711627,1.23239496001298,439,785.15349339127,433,646.357918750168,1.21473485605233,-0.0176601039606465,-0.0477300107044501,-0.477300107044501,35,1,"Unintentional"
"201",8,172.582605064418,2,158.359963766794,1.0898121024994,440,368.774044207227,434,342.991052844933,1.07517103186348,-0.0146410706359223,-0.0395704611781685,-0.395704611781685,35,2,"Unintentional"
"218",8,477.329733717347,2,417.110060208784,1.14437358206709,440,948.167087585398,434,828.223880980548,1.14481978769176,0.00044620562466835,0.0012059611477523,0.012059611477523,45,1,"Unintentional"
"48",11,147.412189645893,5,141.080541164832,1.044879672482,443,484.355556795534,437,461.850717114917,1.04872751918888,0.00384784670688165,0.0103995856942747,0.103995856942747,45,2,"Unintentional"
"233",9,468.68808255085,2,419.844526887125,1.11633724518423,441,872.668404303822,434,783.275833977708,1.11412655216509,-0.0022106930191399,-0.0059748459976754,-0.059748459976754,55,1,"Unintentional"
"45",11,199.983852196012,5,187.30093811864,1.06771409798993,443,431.563714464597,437,405.484856091892,1.06431524625619,-0.00339885173374332,-0.00918608576687385,-0.0918608576687385,55,2,"Unintentional"
"44",11,418.099368331235,5,388.766493499756,1.07545113923635,443,688.339913399691,436,642.560761706791,1.07124486028574,-0.00420627895061165,-0.0113683214881396,-0.113683214881396,65,1,"Unintentional"
"71",12,280.10335055568,6,248.496659489258,1.12719161348641,444,431.191941401445,438,385.477393324833,1.11859203384747,-0.00859957963894264,-0.0232421071322774,-0.232421071322774,65,2,"Unintentional"
"77",12,370.430385376551,6,320.206746438371,1.15684753521534,444,777.318189532762,438,680.048842067859,1.14303288447508,-0.0138146507402572,-0.0373368938925871,-0.373368938925871,75,1,"Unintentional"
"61",12,350.837231474702,6,299.005510265964,1.17334704354657,444,663.780790228194,438,572.965497550869,1.15850045607548,-0.0148465874710932,-0.0401259120840358,-0.401259120840358,75,2,"Unintentional"
"62",12,215.052468549342,7,178.242317838156,1.20651745981338,444,836.568605302064,439,698.431643029022,1.19778164928776,-0.00873581052562145,-0.0236102987178958,-0.236102987178958,85,1,"Unintentional"
"66",12,290.128081825486,7,237.547387488062,1.22134823242401,444,1212.56730141646,439,1009.62001681238,1.2010135310558,-0.0203347013682031,-0.054958652346495,-0.54958652346495,85,2,"Unintentional"
