,start.year.month.max,start.pred.max,start.pred.max.ll,start.pred.max.ul,start.se.max,start.year.month.min,start.pred.min,start.pred.min.ll,start.pred.min.ul,start.se.min,start.seas.index,end.year.month.max,end.pred.max,end.pred.max.ll,end.pred.max.ul,end.se.max,end.year.month.min,end.pred.min,end.pred.min.ll,end.pred.min.ul,end.se.min,end.seas.index,diff,per.year.perc,per.decade.perc,p-value,age,sex,cause,,sex,age,per.decade.perc,p-value,,start.seas.index,end.seas.index,,start.seas.index,end.seas.index
1,1,2514.685608,2489.726218,2539.895216,1.005102277,8,2247.56734,2227.18765,2268.133512,1.004658164,1.118847727,436,1185.783122,1173.22568,1198.474969,1.005446652,444,1108.96799,1095.882218,1122.210018,1.006074563,1.069267221,-0.049580505,-0.134001366,-1.340013656,4.36E-33,0,1,AllCause,,1,0,-1.340013656,0.00E+00,,1.118847727,1.069267221,,11.9,6.9
3,1,1890.806573,1869.363587,1912.495526,1.005836072,7,1710.223134,1692.622761,1728.006519,1.005291806,1.105590572,435,942.7817587,931.4054418,954.2970275,1.006213176,443,882.004748,871.2726034,892.8690887,1.006265739,1.068907804,-0.036682768,-0.099142616,-0.991426162,1.84E-21,0,2,AllCause,,2,0,-0.991426162,0.00E+00,,1.105590572,1.068907804,,10.6,6.9
192,7,739.0139722,726.0849476,752.1732175,1.009045673,11,473.2323878,463.7715479,482.8862267,1.010356576,1.561630166,438,263.8251305,258.0099425,269.7713848,1.011436524,442,220.8933038,215.5485652,226.3705704,1.01257512,1.194355492,-0.367274674,-0.992634254,-9.926342541,3.59E-41,5,1,AllCause,,1,5,-9.926342541,0.00E+00,,1.561630166,1.194355492,,56.2,19.4
182,7,390.6267528,381.6612521,399.8028595,1.01191691,10,309.3829214,301.6579157,317.3057529,1.012984645,1.2625996,434,192.3428,187.1442024,197.6858072,1.014077629,442,159.0335598,154.4379592,163.7659114,1.015073078,1.209447869,-0.053151731,-0.143653327,-1.436533268,1.15E-10,5,2,AllCause,,2,5,-1.436533268,0.00E+00,,1.2625996,1.209447869,,26.3,20.9
185,7,3502.795944,3475.770628,3530.03139,1.003959488,2,2518.526491,2496.902506,2540.337746,1.004409201,1.390811634,439,1910.796284,1894.061652,1927.678773,1.004498103,434,1724.117454,1708.061369,1740.32447,1.004785021,1.108275007,-0.282536627,-0.763612504,-7.636125041,1.29E-129,15,1,AllCause,,1,15,-7.636125041,0.00E+00,,1.390811634,1.108275007,,39.1,10.8
187,7,1066.840926,1052.249021,1081.635181,1.007051314,3,928.876509,915.4707419,942.4785845,1.007444613,1.148528265,444,665.592019,654.3403132,677.0372035,1.008736579,439,650.4816364,640.6553483,660.4586388,1.007796271,1.02322953,-0.125298736,-0.338645231,-3.386452312,9.38E-19,15,2,AllCause,,2,15,-3.386452312,0.00E+00,,1.148528265,1.02322953,,14.9,2.3
186,7,3461.306109,3437.071751,3485.71134,1.003591194,1,2951.136822,2926.671127,2975.80704,1.004256388,1.172872123,439,2758.193796,2737.064847,2779.485851,1.003931136,433,2576.979863,2554.348929,2599.811302,1.004510524,1.070320275,-0.102551847,-0.277167155,-2.771671552,2.49E-35,25,1,AllCause,,1,25,-2.771671552,0.00E+00,,1.172872123,1.070320275,,17.3,7
196,7,1215.400424,1201.510875,1229.450537,1.005881392,4,1137.456119,1124.293112,1150.773236,1.005956343,1.068525109,444,1260.330792,1243.864774,1277.014784,1.00673222,438,1208.223174,1193.907047,1222.710966,1.006099992,1.043127478,-0.025397632,-0.068642247,-0.686422475,4.46E-06,25,2,AllCause,,2,25,-0.686422475,0.00E+00,,1.068525109,1.043127478,,6.9,4.3
63,12,3534.817436,3509.876441,3559.935661,1.003619196,4,3368.921215,3347.208519,3390.774758,1.003304355,1.049243129,433,3832.336793,3805.371814,3859.492846,1.003609069,442,3683.654557,3659.709332,3707.756454,1.003332898,1.040362698,-0.008880431,-0.024001165,-0.240011647,0.068490677,35,1,AllCause,,1,35,-0.240011647,7.00E-02,,1.049243129,1.040362698,,4.9,4
11,1,1687.541089,1670.995387,1704.250621,1.005039699,4,1583.959083,1569.632565,1598.416364,1.004646427,1.06539437,433,2440.89844,2418.384218,2463.622261,1.004739023,438,2279.044493,2259.747116,2298.506663,1.004347875,1.071018336,0.005623966,0.015199909,0.151999087,0.000669983,35,2,AllCause,,2,35,0.151999087,0.00E+00,,1.06539437,1.071018336,,6.5,7.1
18,1,6891.155173,6854.143913,6928.366289,1.002751385,9,6211.342408,6180.157481,6242.684693,1.002571304,1.109446996,433,8992.638083,8949.181167,9036.306025,1.002474594,442,8331.593639,8294.423745,8368.930104,1.00228388,1.079341897,-0.030105099,-0.081365132,-0.813651318,1.50E-07,45,1,AllCause,,1,45,-0.813651318,0.00E+00,,1.109446996,1.079341897,,10.9,7.9
10,1,3957.302051,3929.72798,3985.069603,1.003573864,9,3551.802102,3528.512159,3575.24577,1.003362176,1.114167382,433,5877.228136,5841.362166,5913.314322,1.003127957,439,5286.927814,5257.303878,5316.718676,1.00287095,1.111652805,-0.002514577,-0.006796154,-0.067961545,2.70E-05,45,2,AllCause,,2,45,-0.067961545,0.00E+00,,1.114167382,1.111652805,,11.4,11.2
19,1,16675.10526,16613.62454,16736.8135,1.001886364,9,14663.7345,14613.06373,14714.58096,1.001767632,1.137166338,433,18070.47418,18006.02457,18135.15447,1.001824594,441,16177.28662,16124.26424,16230.48336,1.001676386,1.117027509,-0.020138829,-0.054429268,-0.544292675,3.07E-06,55,1,AllCause,,1,55,-0.544292675,0.00E+00,,1.137166338,1.117027509,,13.7,11.7
9,1,10253.1947,10205.67753,10300.93311,1.002372785,9,9063.407842,9023.961214,9103.026904,1.002227883,1.131273676,433,12243.43998,12189.55785,12297.56029,1.002252845,440,10804.0555,10759.88311,10848.40923,1.002092432,1.133226313,0.001952638,0.005277399,0.052773989,1.73E-08,55,2,AllCause,,2,55,0.052773989,0.00E+00,,1.131273676,1.133226313,,13.1,13.3
17,1,26594.86284,26518.0946,26671.85333,1.001475964,8,22621.02424,22559.03768,22683.18113,1.00140097,1.175670145,433,25922.93614,25845.13978,26000.96668,1.001534633,440,22642.60039,22578.04567,22707.33969,1.001457746,1.144874515,-0.03079563,-0.083231431,-0.832314313,1.20E-24,65,1,AllCause,,1,65,-0.832314313,0.00E+00,,1.175670145,1.144874515,,17.6,14.5
4,1,18485.75599,18423.33446,18548.38901,1.00172723,8,15860.79026,15809.82296,15911.92186,1.001643486,1.165500312,434,20664.03472,20600.73666,20727.52727,1.001566481,440,17909.99152,17851.68504,17968.48844,1.001665078,1.153771329,-0.011728982,-0.031699952,-0.316999523,1.35E-10,65,2,AllCause,,2,65,-0.316999523,0.00E+00,,1.165500312,1.153771329,,16.6,15.4
6,1,25103.69145,25033.84802,25173.72973,1.001422478,8,20193.97282,20138.80243,20249.29435,1.001396771,1.243127921,433,30836.28678,30754.00002,30918.79371,1.001364231,440,25655.40571,25589.14619,25721.83679,1.001320265,1.201941109,-0.041186812,-0.111315709,-1.113157089,8.36E-73,75,1,AllCause,,1,75,-1.113157089,0.00E+00,,1.243127921,1.201941109,,24.3,20.2
7,1,25405.24001,25335.85477,25474.81528,1.001396319,8,20381.69316,20326.87038,20436.66381,1.001375143,1.24647348,433,30552.47471,30471.69187,30633.47171,1.001351714,440,25200.7302,25135.77662,25265.85163,1.00131759,1.21236466,-0.03410882,-0.092186001,-0.921860006,1.09E-76,75,2,AllCause,,2,75,-0.921860006,0.00E+00,,1.24647348,1.21236466,,24.6,21.2
16,1,13410.67918,13362.20554,13459.32866,1.001849209,8,9920.731196,9883.876101,9957.723715,1.00190072,1.351783343,433,30750.37591,30658.84153,30842.18357,1.001522142,440,24502.56445,24432.2702,24573.06094,1.001466879,1.254986023,-0.09679732,-0.261614378,-2.616143783,5.61E-187,85,1,AllCause,,1,85,-2.616143783,0.00E+00,,1.351783343,1.254986023,,35.2,25.5
5,1,23603.86957,23542.46679,23665.43249,1.001329851,7,17584.30884,17537.36493,17631.37841,1.001364817,1.342325694,433,51809.38402,51695.14579,51923.8747,1.001126862,439,40618.05152,40530.73591,40705.55523,1.001098556,1.27552608,-0.066799614,-0.180539498,-1.80539498,0,85,2,AllCause,,2,85,-1.80539498,0.00E+00,,1.342325694,1.27552608,,34.2,27.6
